date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-04-10,0.88,0.88,0.0,-0.4,0.0,0.8347,0.8,2.0,15.0,-0.16,-0.4,-0.4,-0.4,0.0,1.0
2026-04-13,0.9756,0.9756,0.0,-0.6829,0.0,0.735,0.8293,3.0,18.0,-0.3171,-1.0829,-1.0829,-1.0829,0.0,1.0
2026-04-15,0.9841,0.9841,0.0,-0.5238,0.0,0.8205,0.8889,4.0,29.0,-0.1587,-1.6067,-1.6067,-1.6067,0.0,1.0
2026-04-16,0.881,0.881,0.0,-0.5952,0.0,0.7999,0.7857,4.0,19.0,-0.1429,-2.2019,-2.2019,-2.2019,0.0,1.0
2026-04-17,1.0,1.0,0.0,-0.6364,0.0,0.5035,0.6909,6.0,17.0,-0.2545,-2.8383,-2.8383,-2.8383,0.0,1.0
2026-04-20,0.9889,0.9889,0.0,-0.5667,0.0,0.9558,0.9667,3.0,34.0,-0.1,-3.005,-3.405,-3.405,0.0,1.0
2026-04-21,1.0,0.98,0.02,-0.45,0.0,0.922,0.96,5.0,35.0,-0.17,-2.7721,-3.855,-3.855,0.002857142857142857,1.0
2026-04-22,0.9828,0.8851,0.0977,-0.5747,0.0,0.9884,0.977,2.0,37.0,-0.1552,-2.823,-4.4297,-4.4297,0.0147125,1.0
2026-04-23,0.9916,0.8466,0.145,-0.6176,0.0,0.3434,0.4139,4.0,36.0,-0.1218,-2.8454,-5.0473,-5.0473,0.02918888888888889,1.0
2026-04-24,0.9967,0.8105,0.1863,-0.585,0.0,0.4213,0.5447,4.0,36.0,-0.134,-2.794,-5.6323,-5.6323,0.044899999999999995,1.0
2026-04-27,0.6896,0.5099,0.1797,-0.2746,0.0,0.3161,0.3515,13.0,24.0,-0.0823,-2.5019,-5.9069,-5.9069,0.05715454545454546,1.0
2026-04-28,0.2669,0.3073,-0.0405,-0.1682,0.0,0.0702,0.0327,20.0,20.0,-0.0845,-2.2201,-6.0751,-6.0751,0.04901666666666666,1.0
2026-04-29,0.3815,0.429,-0.0475,-0.2177,0.0,0.066,0.0428,20.0,20.0,-0.1336,-1.8631,-6.2928,-6.2928,0.04159230769230769,1.0
2026-04-30,0.3689,0.3963,-0.0274,-0.1717,0.0,0.0742,0.0639,20.0,20.0,-0.0813,-1.4171999999999998,-6.4645,-6.4645,0.03666428571428571,1.0
2026-05-04,0.3679,0.3849,-0.0171,-0.0138,0.0,0.0786,0.0662,20.0,20.0,-0.0918,-0.846,-6.4783,-6.4783,0.03308,1.0
2026-05-05,0.4157,0.4196,-0.0039,-0.1599,0.0,0.0688,0.0521,20.0,20.0,-0.0801,-0.7313,-6.6382,-6.6382,0.030768749999999997,1.0
2026-05-06,0.5746,0.554,0.0206,0.1336,1.0,0.1835,0.22,20.0,20.0,-0.0937,-0.4295,-6.5046,-6.5046,0.03017058823529412,1.0
