date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,61182.0,57808.0,0.0213,-15854.0,0.0,0.2481,0.1543,14.0,26.0,-770.0,-15854.0,-15854.0,-15854.0,0.0213,1.0
2023-01-24,26770.0,25623.0,0.0142,-227.0,0.0,0.1537,0.0979,19.0,21.0,849.0,-16081.0,-16081.0,-16081.0,0.017750000000000002,1.0
2023-01-25,14744.0,14727.0,0.0004,-3105.0,0.0,0.1453,0.0816,18.0,22.0,-2856.0,-19186.0,-19186.0,-19186.0,0.011966666666666667,1.0
2023-01-26,11068.0,11148.0,-0.0028,-2281.0,0.0,0.1038,0.0977,26.0,14.0,285.0,-21467.0,-21467.0,-21467.0,0.008275,1.0
2023-01-29,19694.0,19622.0,0.0012,-4783.0,0.0,0.1538,0.0833,20.0,20.0,-961.0,-26250.0,-26250.0,-26250.0,0.00686,1.0
2023-01-30,16902.0,17052.0,-0.0033,-1667.0,0.0,0.244,0.1772,20.0,20.0,-670.0,-12063.0,-27917.0,-27917.0,0.005166666666666667,1.0
2023-01-31,8592.0,8596.0,-0.0002,1616.0,1.0,0.1904,0.1135,20.0,20.0,2882.0,-10220.0,-26301.0,-26301.0,0.0044,1.0
2023-02-01,8257.0,8207.0,0.0022,2387.0,1.0,0.1577,0.1067,15.0,25.0,-415.0,-4728.0,-23914.0,-23914.0,0.004125,1.0
2023-02-02,5993.0,5993.0,0.0,-410.0,0.0,0.153,0.0812,15.0,21.0,-526.0,-2857.0,-24324.0,-24324.0,0.003666666666666667,1.0
2023-02-05,67737.0,59859.0,0.046,7395.0,1.0,0.2999,0.1599,10.0,30.0,-5690.0,9321.0,-16929.0,-16929.0,0.0079,0.0
2023-02-06,39484.0,36927.0,0.0271,-14765.0,0.0,0.6221,0.3288,13.0,27.0,-1002.0,-3777.0,-31694.0,-31694.0,0.009645454545454546,1.0
2023-02-07,50126.0,53948.0,-0.0253,-639.0,0.0,0.0925,0.0803,24.0,16.0,12142.0,-6032.0,-32333.0,-32333.0,0.006733333333333333,1.0
2023-02-08,60402.0,65668.0,-0.0382,-8854.0,0.0,0.0599,0.0456,33.0,7.0,3178.0,-17273.0,-41187.0,-41187.0,0.003276923076923077,1.0
2023-02-09,10649.0,10771.0,-0.0036,206.0,1.0,0.0939,0.0583,20.0,20.0,-1074.0,-16657.0,-40981.0,-40981.0,0.002785714285714286,1.0
2023-02-12,13687.0,13827.0,-0.0034,-8373.0,0.0,0.115,0.086,26.0,14.0,-2235.0,-32425.0,-49354.0,-49354.0,0.002373333333333333,1.0
