date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,28108.0,28458.0,-0.0047,-4160.0,0.0,0.0988,0.0732,20.0,20.0,-560.0,-4160.0,-4160.0,-4160.0,-0.0047,1.0
2023-01-24,20564.0,20481.0,0.0013,-3828.0,0.0,0.1312,0.082,20.0,20.0,-1800.0,-7988.0,-7988.0,-7988.0,-0.0017000000000000001,1.0
2023-01-25,32593.0,30170.0,0.0263,-8303.0,0.0,0.2928,0.1469,12.0,28.0,372.0,-16291.0,-16291.0,-16291.0,0.007633333333333333,1.0
2023-01-26,23061.0,22116.0,0.0141,-1045.0,0.0,0.1523,0.0886,17.0,23.0,90.0,-17336.0,-17336.0,-17336.0,0.00925,1.0
2023-01-29,15950.0,15480.0,0.0093,-6422.0,0.0,0.1929,0.1223,18.0,22.0,-160.0,-23758.0,-23758.0,-23758.0,0.009260000000000001,1.0
2023-01-30,16017.0,15667.0,0.0075,-6938.0,0.0,0.1299,0.0759,18.0,21.0,-330.0,-26536.0,-30696.0,-30696.0,0.008966666666666666,1.0
2023-01-31,16636.0,16436.0,0.0041,-5556.0,0.0,0.1644,0.1151,20.0,20.0,358.0,-28264.0,-36252.0,-36252.0,0.008271428571428572,1.0
2023-02-01,8260.0,7805.0,0.0186,-2118.0,0.0,0.143,0.0696,13.0,27.0,-500.0,-22079.0,-38370.0,-38370.0,0.0095625,1.0
2023-02-02,11682.0,11162.0,0.0184,-4210.0,0.0,0.1711,0.1158,12.0,27.0,-760.0,-25244.0,-42580.0,-42580.0,0.010544444444444445,1.0
2023-02-05,7795.0,7455.0,0.0149,-2690.0,0.0,0.0948,0.0581,17.0,23.0,-1150.0,-21512.0,-45270.0,-45270.0,0.01098,1.0
2023-02-06,4220.0,4110.0,0.0091,-1198.0,0.0,0.1955,0.1219,14.0,26.0,-610.0,-15772.0,-46468.0,-46468.0,0.010809090909090909,1.0
2023-02-07,15599.0,15369.0,0.0051,851.0,1.0,0.1049,0.0619,20.0,20.0,1742.0,-9365.0,-45617.0,-45617.0,0.010333333333333333,1.0
2023-02-08,13525.0,13135.0,0.0094,-580.0,0.0,0.1221,0.0614,14.0,26.0,-4010.0,-7827.0,-46197.0,-46197.0,0.01026153846153846,1.0
2023-02-09,9698.0,9498.0,0.0087,4180.0,1.0,0.2629,0.1965,15.0,25.0,-370.0,563.0,-42017.0,-42017.0,0.010150000000000001,0.0
2023-02-12,11277.0,11157.0,0.0036,-2245.0,0.0,0.1612,0.0986,17.0,23.0,-1360.0,1008.0,-44262.0,-44262.0,0.009713333333333333,0.0
