date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8511,0.8511,0.0,0.4202,1.0,0.3384,0.4562,12.0,26.0,0.4562,0.4202,0.4202,0.4202,0.0,0.0
2023-01-24,0.8918,0.8918,0.0,0.0576,1.0,0.1156,0.1435,15.0,13.0,0.0825,0.4778,0.4778,0.4778,0.0,0.0
2023-01-25,0.8363,0.8363,0.0,0.1346,1.0,0.2325,0.3641,13.0,20.0,0.1144,0.6124,0.6124,0.6124,0.0,0.0
2023-01-26,0.8976,0.8976,0.0,0.0179,1.0,0.3509,0.514,14.0,18.0,0.514,0.6303,0.6303,0.6303,0.0,0.0
2023-01-29,0.7609,0.7609,0.0,-0.0208,0.0,0.1415,0.1332,13.0,22.0,-0.0558,0.6095,0.6095,0.6095,0.0,0.0
2023-01-30,0.7136,0.7136,0.0,0.1478,1.0,0.175,0.2392,15.0,17.0,0.0426,0.33709999999999996,0.7573,0.7573,0.0,0.0
2023-01-31,0.8067,0.8067,0.0,0.2026,1.0,0.2266,0.3348,15.0,15.0,0.0042,0.4821,0.9599,0.9599,0.0,0.0
2023-02-01,0.9359,0.9359,0.0,0.4701,1.0,0.2769,0.413,11.0,14.0,0.413,0.8176,1.43,1.43,0.0,0.0
2023-02-02,0.9165,0.9165,0.0,0.3609,1.0,0.391,0.4568,7.0,21.0,0.4568,1.1606,1.7909,1.7909,0.0,0.0
2023-02-05,0.8463,0.8463,0.0,0.2543,1.0,0.0999,0.1281,19.0,10.0,0.1176,1.4357,2.0452,2.0452,0.0,0.0
2023-02-06,0.7298,0.7298,0.0,-0.2966,0.0,0.164,0.2349,13.0,10.0,0.0989,0.9913000000000001,1.7486000000000002,1.7486000000000002,0.0,0.0
2023-02-07,0.8692,0.8692,0.0,-0.1575,0.0,0.1307,0.2329,17.0,11.0,0.0,0.6312000000000001,1.5911,1.5911,0.0,0.0
2023-02-08,0.7394,0.7394,0.0,-0.0775,0.0,0.1551,0.1945,13.0,20.0,-0.137,0.08360000000000005,1.5136,1.5136,0.0,0.0
2023-02-09,0.981,0.981,0.0,0.3158,1.0,0.1834,0.2464,10.0,9.0,0.0,0.03850000000000009,1.8294000000000001,1.8294000000000001,0.0,0.0
2023-02-12,0.7131,0.7131,0.0,-0.0008,0.0,0.129,0.1431,16.0,14.0,0.1369,-0.21659999999999993,1.8286,1.8286,0.0,1.0
2023-02-14,0.9945,0.9945,0.0,-0.3424,0.0,0.2697,0.3735,10.0,12.0,-0.2001,-0.26239999999999997,1.4862000000000002,1.4862000000000002,0.0,1.0
2023-02-15,0.9343,0.9343,0.0,-0.278,0.0,0.1218,0.2545,18.0,9.0,-0.113,-0.3828999999999999,1.2082000000000002,1.2082000000000002,0.0,1.0
2023-02-16,0.6931,0.6931,0.0,0.4243,1.0,0.2388,0.3029,13.0,14.0,0.0,0.11890000000000006,1.6325,1.6325,0.0,0.0
2023-02-20,0.729,0.729,0.0,0.5184,1.0,0.2498,0.3157,11.0,14.0,0.0,0.3215,2.1509,2.1509,0.0,0.0
2023-02-22,0.8621,0.8621,0.0,0.2102,1.0,0.1879,0.2715,10.0,13.0,-0.013,0.5325,2.3611,2.3611,0.0,0.0
2023-02-23,0.9259,0.9259,0.0,-0.0033,0.0,0.1277,0.1858,18.0,18.0,0.0199,0.8716,1.9376000000000002,2.3578,0.0,0.0
2023-02-26,0.5048,0.5048,0.0,-0.0182,0.0,0.4261,0.3233,16.0,13.0,0.3233,1.1314,1.8618000000000001,2.3396,0.0,0.0
2023-02-27,0.8982,0.8982,0.0,0.1771,1.0,0.2247,0.3425,11.0,7.0,0.3425,0.8842000000000001,1.9043,2.5167,0.0,0.0
2023-02-28,0.8398,0.8398,0.0,0.4185,1.0,0.1476,0.2474,12.0,4.0,0.0433,0.7843000000000001,2.3049,2.9352,0.0,0.0
2023-03-01,0.8383,0.8383,0.0,0.1735,1.0,0.1507,0.2208,11.0,8.0,0.2208,0.7476,2.4992,3.1087,0.0,0.0
2023-03-02,0.8257,0.8257,0.0,0.2053,1.0,0.2232,0.3102,9.0,7.0,0.3102,0.9562000000000002,2.5567,3.314,0.0,0.0
2023-03-05,0.9289,0.9289,0.0,-0.0919,0.0,0.1156,0.2002,17.0,16.0,0.0451,0.8825000000000002,2.2622,3.2221,0.0,0.0
2023-03-07,0.6589,0.6589,0.0,-0.1366,0.0,0.1793,0.235,12.0,13.0,-0.005,0.5688000000000001,1.6555,3.0855,0.0,0.0
2023-03-09,0.6284,0.6284,0.0,0.1569,1.0,0.2064,0.2412,13.0,16.0,0.0169,0.30720000000000014,1.4515,3.2424,0.0,0.0
2023-03-12,0.8855,0.8855,0.0,-0.1368,0.0,0.2194,0.2513,12.0,9.0,0.2303,-0.0030999999999998806,1.0604,3.1056,0.0,1.0
2023-03-13,0.9422,0.9422,0.0,0.193,1.0,0.1727,0.2771,15.0,9.0,0.0,-0.015399999999999886,1.5499999999999998,3.2986,0.0,1.0
2023-03-14,0.9377,0.9377,0.0,-0.354,0.0,0.1887,0.3157,15.0,9.0,0.0,-0.27749999999999986,1.3535000000000001,2.9446,0.0,1.0
2023-03-15,0.9091,0.9091,0.0,-0.2455,0.0,0.1473,0.2318,11.0,7.0,0.0591,-0.38639999999999985,1.1855,2.6991,0.0,1.0
2023-03-16,0.8358,0.8358,0.0,-0.3374,0.0,0.3338,0.4406,7.0,11.0,0.1604,-0.8806999999999998,0.5323,2.3617,0.0,1.0
2023-03-19,0.8381,0.8381,0.0,-0.1296,0.0,0.1321,0.1536,12.0,7.0,0.0,-0.8734999999999998,0.40349999999999997,2.2321,0.0,1.0
2023-03-20,0.8391,0.8391,0.0,-0.2576,0.0,0.1185,0.1582,14.0,10.0,0.084,-1.3240999999999998,0.4883,1.9745000000000001,0.0,1.0
2023-03-22,0.9656,0.9656,0.0,-0.2041,0.0,0.3364,0.5319,13.0,11.0,0.5319,-1.1742,0.5622,1.7704,0.0,1.0
2023-03-23,0.8841,0.8841,0.0,0.3008,1.0,0.2364,0.3557,10.0,7.0,0.0068,-0.6278999999999999,0.43870000000000003,2.0712,0.0,1.0
2023-03-26,0.5746,0.5746,0.0,-0.1983,0.0,0.2299,0.1981,12.0,7.0,-0.2255,-0.4887999999999999,-0.2779999999999999,1.8729,0.0,1.0
2023-03-27,0.952,0.952,0.0,0.8497,1.0,0.3908,0.5297,8.0,11.0,0.2535,0.4905000000000001,0.3615000000000001,2.7226,0.0,0.0
2023-03-28,0.9024,0.9024,0.0,0.4105,1.0,0.6737,0.7361,10.0,19.0,0.7361,1.1586,0.7753000000000001,3.1331,0.0,0.0
