date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,14831.0,14831.0,0.0,-5275.0,0.0,0.1274,0.0737,18.0,22.0,356.0,-5275.0,-5275.0,-5275.0,0.0,1.0
2023-01-24,18612.0,18552.0,0.0012,7430.0,1.0,0.3161,0.1873,18.0,22.0,9488.0,2155.0,2155.0,2155.0,0.0006,0.0
2023-01-25,22889.0,22889.0,0.0,3882.0,1.0,0.2578,0.1515,13.0,27.0,9055.0,6037.0,6037.0,6037.0,0.00039999999999999996,0.0
2023-01-26,29816.0,29049.0,0.008,-16373.0,0.0,0.5301,0.2214,10.0,30.0,-3210.0,-10336.0,-10336.0,-10336.0,0.0023,1.0
2023-01-29,11012.0,11012.0,0.0,-4616.0,0.0,0.2093,0.1556,16.0,23.0,-1320.0,-14952.0,-14952.0,-14952.0,0.00184,1.0
2023-01-30,11276.0,11276.0,0.0,284.0,1.0,0.1106,0.071,19.0,20.0,307.0,-9393.0,-14668.0,-14668.0,0.0015333333333333334,1.0
2023-01-31,12780.0,12780.0,0.0,-2537.0,0.0,0.1987,0.1385,14.0,24.0,2977.0,-19360.0,-17205.0,-17205.0,0.0013142857142857142,1.0
2023-02-01,12675.0,12675.0,0.0,1105.0,1.0,0.2249,0.1361,12.0,25.0,97.0,-22137.0,-16100.0,-16100.0,0.00115,1.0
2023-02-02,18084.0,18084.0,0.0,-9471.0,0.0,0.311,0.1685,14.0,24.0,-788.0,-15235.0,-25571.0,-25571.0,0.0010222222222222221,1.0
2023-02-05,22940.0,22940.0,0.0,-5056.0,0.0,0.4226,0.2753,8.0,31.0,1704.0,-15675.0,-30627.0,-30627.0,0.00092,1.0
2023-02-06,13513.0,13513.0,0.0,-6481.0,0.0,0.1379,0.1016,14.0,22.0,1317.0,-22440.0,-37108.0,-37108.0,0.0008363636363636364,1.0
2023-02-07,53677.0,51860.0,0.0107,21423.0,1.0,0.2211,0.1177,14.0,26.0,20046.0,1520.0,-15685.0,-15685.0,0.0016583333333333335,0.0
2023-02-08,41361.0,42321.0,-0.0088,-24486.0,0.0,0.0844,0.0571,22.0,17.0,-31007.0,-24071.0,-40171.0,-40171.0,0.0008538461538461537,1.0
2023-02-09,14193.0,14093.0,0.0029,2580.0,1.0,0.1119,0.0754,16.0,23.0,-1845.0,-12020.0,-37591.0,-37591.0,0.0009999999999999998,1.0
2023-02-12,22991.0,23071.0,-0.0011,-6219.0,0.0,0.1032,0.0618,20.0,20.0,-6671.0,-13183.0,-43810.0,-43810.0,0.0008599999999999999,1.0
2023-02-14,14713.0,14713.0,0.0,8084.0,1.0,0.3795,0.267,21.0,12.0,8821.0,1382.0,-35726.0,-35726.0,0.0008062499999999999,0.0
2023-02-15,13193.0,13193.0,0.0,4972.0,1.0,0.1742,0.1388,19.0,18.0,4780.0,-15069.0,-30754.0,-30754.0,0.0007588235294117646,1.0
2023-02-16,6823.0,6823.0,0.0,1577.0,1.0,0.089,0.0497,16.0,12.0,450.0,10994.0,-29177.0,-29177.0,0.0007166666666666666,0.0
2023-02-20,12461.0,12461.0,0.0,248.0,1.0,0.3257,0.2062,14.0,23.0,2235.0,8662.0,-28929.0,-28929.0,0.0006789473684210525,0.0
2023-02-22,6638.0,6638.0,0.0,3349.0,1.0,0.2346,0.1504,13.0,19.0,2117.0,18230.0,-25580.0,-25580.0,0.000645,0.0
2023-02-23,11335.0,11335.0,0.0,1174.0,1.0,0.1141,0.0663,18.0,18.0,1168.0,11320.0,-19131.0,-24406.0,0.000645,0.0
2023-02-26,14119.0,14119.0,0.0,1072.0,1.0,0.1496,0.084,18.0,21.0,45.0,7420.0,-25489.0,-23334.0,0.0005849999999999999,0.0
2023-02-27,9883.0,9883.0,0.0,1864.0,1.0,0.1711,0.1045,15.0,19.0,1661.0,7707.0,-27507.0,-21470.0,0.0005849999999999999,0.0
2023-02-28,3060.0,3060.0,0.0,-778.0,0.0,0.1981,0.1147,11.0,14.0,685.0,6681.0,-11912.0,-22248.0,0.00018499999999999992,0.0
2023-03-01,2896.0,2896.0,0.0,-409.0,0.0,0.4173,0.2141,10.0,9.0,-399.0,2923.0,-7705.0,-22657.0,0.00018499999999999992,0.0
2023-03-02,8179.0,8179.0,0.0,927.0,1.0,0.4907,0.0547,9.0,13.0,-3154.0,2676.0,-7062.0,-21730.0,0.00018499999999999992,0.0
2023-03-05,10688.0,10688.0,0.0,-1288.0,0.0,0.3873,0.2481,12.0,16.0,-1096.0,316.0,-5813.0,-23018.0,0.00018499999999999992,0.0
2023-03-07,2851.0,2851.0,0.0,-512.0,0.0,0.1813,0.1005,10.0,17.0,174.0,-2060.0,-7430.0,-23530.0,0.00018499999999999992,1.0
