date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-06-08,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,1.0,1.0,0.0,-0.8636,0.0,0.3719,0.4545,3.0,10.0,-0.0455,-0.8636,-0.8636,-0.8636,0.0,1.0
2023-06-13,0.8626,0.8626,0.0,-0.0332,0.0,0.4073,0.4739,9.0,15.0,-0.0616,-0.8968,-0.8968,-0.8968,0.0,1.0
2023-06-14,0.9615,0.9615,0.0,0.6795,1.0,0.5285,0.6667,3.0,11.0,-0.0256,-0.21730000000000005,-0.21730000000000005,-0.21730000000000005,0.0,1.0
2023-06-15,0.9615,0.9615,0.0,-0.3077,0.0,1.0,0.9615,1.0,10.0,-0.1538,-0.525,-0.525,-0.525,0.0,1.0
2023-06-18,0.931,0.931,0.0,-0.069,0.0,0.7787,0.8161,3.0,8.0,0.0,-0.5940000000000001,-0.5940000000000001,-0.5940000000000001,0.0,1.0
2023-06-19,0.963,0.963,0.0,0.4444,1.0,0.4822,0.5556,3.0,11.0,-0.2222,0.714,-0.1496,-0.1496,0.0,0.0
2023-06-20,1.0,1.0,0.0,0.3333,1.0,0.5556,0.6667,2.0,4.0,-0.5,1.0805,0.18369999999999997,0.18369999999999997,0.0,0.0
2023-06-21,1.0,1.0,0.0,-0.3333,0.0,0.5556,0.6667,2.0,5.0,-0.3333,0.06770000000000004,-0.1496,-0.1496,0.0,0.0
2023-06-22,0.6667,0.6667,0.0,0.0,0.0,0.5,0.3333,2.0,5.0,-0.2222,0.3754,-0.1496,-0.1496,0.0,0.0
2023-06-25,1.0,1.0,0.0,-0.893,0.0,0.9353,0.9666,2.0,8.0,-0.1773,-0.4486,-1.0426,-1.0426,0.0,1.0
2023-06-26,0.9531,0.9531,0.0,-0.7656,0.0,0.4792,0.625,5.0,6.0,0.1406,-1.6585999999999999,-1.8081999999999998,-1.8081999999999998,0.0,1.0
2023-06-27,1.0,1.0,0.0,0.3732,1.0,0.3427,0.4507,5.0,9.0,-0.0775,-1.6187,-1.435,-1.435,0.0,1.0
2023-06-28,0.9545,0.9545,0.0,0.1364,1.0,0.619,0.7273,3.0,5.0,-0.0455,-1.149,-1.2986,-1.2986,0.0,1.0
2023-07-02,0.9877,0.9877,0.0,0.6721,1.0,0.3113,0.4303,5.0,9.0,-0.0164,-0.4769,-0.6265,-0.6265,0.0,1.0
2023-07-03,0.8889,0.8889,0.0,-0.3333,0.0,1.0,0.8889,1.0,4.0,0.0,0.08280000000000004,-0.9598,-0.9598,0.0,0.0
2023-07-04,0.9692,0.9692,0.0,0.1692,1.0,0.5253,0.6154,3.0,4.0,-0.7692,1.0176,-0.7906,-0.7906,0.0,0.0
2023-07-05,0.9853,0.9853,0.0,0.0,0.0,1.0,0.9853,1.0,2.0,0.0,0.6444,-0.7906,-0.7906,0.0,0.0
2023-07-06,1.0,1.0,0.0,0.7059,1.0,0.8893,0.9412,2.0,6.0,-0.0588,1.2139,-0.0847,-0.0847,0.0,0.0
2023-07-09,1.0,1.0,0.0,0.2778,1.0,1.0,1.0,1.0,9.0,-0.2222,0.8195999999999999,0.1931,0.1931,0.0,0.0
2023-07-10,0.9984,0.9984,0.0,0.582,1.0,0.4972,0.5721,3.0,2.0,-0.0066,1.7348999999999999,0.7750999999999999,0.7750999999999999,0.0,0.0
2023-07-11,0.5377,0.5377,0.0,0.3794,1.0,0.3592,0.2931,8.0,7.0,-0.0101,1.9450999999999998,2.0181,1.1545,0.0,0.0
2023-07-12,0.9984,0.9984,0.0,0.9842,1.0,0.3176,0.3956,7.0,9.0,-0.0095,2.9292999999999996,3.0355,2.1387,0.0,0.0
2023-07-13,0.9713,0.9713,0.0,0.8682,1.0,0.6084,0.7221,5.0,11.0,-0.0029,3.0916,3.2242,3.0069,0.0,0.0
2023-07-16,0.9931,0.9931,0.0,0.5073,1.0,0.7759,0.8678,3.0,14.0,0.0,3.3211,4.0392,3.5141999999999998,0.0,0.0
2023-07-17,1.0,1.0,0.0,0.991,1.0,0.9841,0.992,2.0,4.0,-0.0006,3.7300999999999997,5.0992,4.5052,0.0,0.0
2023-07-19,1.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,4.0,0.0,4.2507,5.5548,5.4052,0.0,0.0
2023-07-23,0.9912,0.9912,0.0,0.9912,1.0,0.8049,0.885,3.0,3.0,0.0,4.2577,6.2127,6.3964,0.0,0.0
2023-08-02,0.3247,0.3247,0.0,-0.0247,0.0,0.7921,0.2877,3.0,4.0,-0.037,3.3648,6.5213,6.3717,0.0,0.0
2023-08-03,1.0,1.0,0.0,0.7391,1.0,0.9168,0.9565,2.0,8.0,-0.2174,3.5966,7.260400000000001,7.1108,0.0,0.0
2023-08-06,0.9787,0.9787,0.0,0.0213,1.0,0.4591,0.5809,4.0,8.0,-0.4468,2.6269,8.174700000000001,7.1321,0.0,0.0
2023-08-07,1.0,1.0,0.0,-0.0833,0.0,0.375,0.4167,3.0,8.0,-0.1667,1.6436,8.857,7.0488,0.0,0.0
2023-08-08,0.989,0.989,0.0,-0.728,0.0,0.2066,0.2747,7.0,7.0,-0.011,-0.0756,7.755799999999999,6.3208,0.0,1.0
2023-08-09,0.9389,0.9389,0.0,0.3889,1.0,0.3544,0.4944,4.0,7.0,-0.05,0.338,8.0083,6.7097,0.0,0.0
2023-08-10,0.9444,0.9444,0.0,-0.9259,0.0,0.9616,0.9259,2.0,5.0,0.0,-1.327,6.410299999999999,5.7838,0.0,1.0
2023-08-13,1.0,1.0,0.0,-0.7826,0.0,0.4291,0.6087,5.0,9.0,-0.087,-2.1309,5.961,5.0012,0.0,1.0
2023-08-14,0.9333,0.9333,0.0,0.1111,1.0,1.0,0.9333,1.0,9.0,0.0,-1.9365,5.902900000000001,5.1123,0.0,1.0
2023-08-15,1.0,1.0,0.0,-0.9608,0.0,0.9616,0.9804,2.0,7.0,-0.0098,-2.1693,4.9421,4.1515,0.0,1.0
2023-08-16,0.9333,0.9333,0.0,-0.8,0.0,0.3571,0.4,3.0,3.0,0.0,-3.3582,3.4362000000000004,3.3515,0.0,1.0
2023-08-17,1.0,1.0,0.0,0.5882,1.0,0.2872,0.4118,5.0,7.0,-0.1176,-1.8441,3.7466,3.9397,0.0,1.0
2023-08-20,0.8125,0.8125,0.0,-0.1875,0.0,0.2456,0.25,5.0,11.0,-0.125,-1.249,2.9771,3.7522,0.0,1.0
2023-08-21,1.0,1.0,0.0,-0.1111,0.0,0.5062,0.6667,3.0,4.0,-0.2222,-1.4712,2.4866,3.6411,0.0,1.0
2023-08-22,0.9909,0.9909,0.0,-0.9819,0.0,0.5636,0.6798,4.0,6.0,0.003,-1.4923000000000002,0.5205000000000002,2.6592000000000002,0.0,1.0
2023-08-23,0.9868,0.9868,0.0,-0.2763,0.0,0.4965,0.6579,4.0,8.0,-0.0132,-0.9686,-0.6239999999999998,2.3829000000000002,0.0,1.0
