date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.5717,0.573,-0.0013,-0.1464,0.0,0.0981,0.1225,20.0,20.0,0.0177,-0.1464,-0.1464,-0.1464,-0.0013,1.0
2023-01-24,0.5788,0.5787,0.0002,-0.1064,0.0,0.1098,0.1471,20.0,20.0,0.0495,-0.2528,-0.2528,-0.2528,-0.0005499999999999999,1.0
2023-01-25,0.4828,0.5,-0.0172,-0.0956,0.0,0.1015,0.0923,22.0,18.0,-0.0046,-0.3484,-0.3484,-0.3484,-0.0061,1.0
2023-01-26,0.5306,0.5189,0.0117,-0.0501,0.0,0.1708,0.1979,20.0,20.0,0.0386,-0.3985,-0.3985,-0.3985,-0.00165,1.0
2023-01-29,0.5985,0.5967,0.0019,0.0876,1.0,0.1532,0.2043,20.0,20.0,0.034,-0.3109,-0.3109,-0.3109,-0.0009400000000000001,1.0
2023-01-30,0.6624,0.7003,-0.0379,0.4193,1.0,0.0785,0.096,23.0,17.0,0.0119,0.2548,0.1084,0.1084,-0.007100000000000001,0.0
2023-01-31,0.6427,0.6809,-0.0382,0.1491,1.0,0.1557,0.2171,20.0,20.0,0.008,0.5103,0.2575,0.2575,-0.011542857142857145,0.0
2023-02-01,0.7679,0.8039,-0.0361,-0.1226,0.0,0.078,0.1436,21.0,18.0,0.0,0.48330000000000006,0.13490000000000002,0.13490000000000002,-0.0146125,0.0
2023-02-02,0.7185,0.7717,-0.0532,-0.003,0.0,0.0684,0.0894,27.0,11.0,0.054,0.5304000000000001,0.13190000000000002,0.13190000000000002,-0.0189,0.0
2023-02-05,0.6842,0.6934,-0.0092,-0.3036,0.0,0.1169,0.1859,20.0,20.0,0.0286,0.1392000000000001,-0.17169999999999996,-0.17169999999999996,-0.01793,0.0
2023-02-06,0.6492,0.6529,-0.0038,-0.4364,0.0,0.1455,0.2088,24.0,16.0,0.0,-0.7164999999999999,-0.6081,-0.6081,-0.016645454545454547,1.0
2023-02-07,0.7201,0.7134,0.0066,0.0702,1.0,0.2914,0.3695,20.0,20.0,-0.0327,-0.7953999999999999,-0.5378999999999999,-0.5378999999999999,-0.014708333333333332,1.0
2023-02-08,0.7197,0.7206,-0.0009,0.1543,1.0,0.1629,0.2322,20.0,20.0,-0.0621,-0.5185,-0.3836,-0.3836,-0.013646153846153846,1.0
2023-02-09,0.6486,0.6537,-0.0052,0.1174,1.0,0.1231,0.1544,22.0,17.0,0.0488,-0.3980999999999999,-0.2662,-0.2662,-0.013042857142857144,1.0
2023-02-12,0.5829,0.6241,-0.0413,-0.2416,0.0,0.1013,0.1113,25.0,15.0,0.0291,-0.33609999999999995,-0.5078,-0.5078,-0.014926666666666666,1.0
2023-02-14,0.6551,0.6755,-0.0204,-0.0211,0.0,0.0938,0.1323,22.0,18.0,0.0803,0.07920000000000002,-0.5289,-0.5289,-0.015268750000000001,0.0
2023-02-15,0.7287,0.7793,-0.0505,-0.2491,0.0,0.0573,0.081,30.0,10.0,0.0445,-0.24009999999999998,-0.778,-0.778,-0.017341176470588235,1.0
2023-02-16,0.4839,0.5039,-0.0201,0.0135,1.0,0.0704,0.0604,20.0,20.0,-0.0504,-0.38089999999999996,-0.7645,-0.7645,-0.017494444444444444,1.0
2023-02-20,0.7267,0.7505,-0.0239,0.1512,1.0,0.0899,0.1489,20.0,20.0,0.0685,-0.34709999999999996,-0.6133,-0.6133,-0.01783157894736842,1.0
2023-02-22,0.7645,0.7556,0.0089,0.0939,1.0,0.1072,0.132,20.0,20.0,0.0358,-0.011599999999999958,-0.5194,-0.5194,-0.016495000000000003,1.0
2023-02-23,0.4819,0.4815,0.0004,0.174,1.0,0.1169,0.0968,20.0,20.0,-0.0038,0.18350000000000002,-0.199,-0.3454,-0.01641,0.0
2023-02-26,0.6972,0.7254,-0.0282,-0.2409,0.0,0.0657,0.0815,22.0,18.0,0.0451,0.19169999999999998,-0.3335,-0.5863,-0.017830000000000002,0.0
2023-02-27,0.7872,0.8738,-0.0866,0.0856,1.0,0.0633,0.0881,28.0,12.0,0.0201,0.2638,-0.1523,-0.5007,-0.021300000000000003,0.0
2023-02-28,0.755,0.7742,-0.0192,0.4359,1.0,0.0994,0.1519,24.0,16.0,0.1213,0.5485,0.3337,-0.06479999999999997,-0.022845,0.0
2023-03-01,0.6889,0.6793,0.0096,0.321,1.0,0.4103,0.4285,17.0,23.0,0.0,0.7756000000000001,0.5671,0.25620000000000004,-0.02246,0.0
2023-03-02,0.6656,0.6706,-0.005,0.0536,1.0,0.2928,0.3467,23.0,17.0,-0.0133,0.6552000000000001,0.2014,0.3098,-0.020814999999999997,0.0
2023-03-05,0.776,0.7499,0.0261,-0.1166,0.0,0.3518,0.4426,18.0,22.0,0.0347,0.7795000000000001,-0.06430000000000002,0.19320000000000004,-0.0176,0.0
