date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,11600.0,11600.0,0.0,1900.0,1.0,0.5896,0.3667,6.0,12.0,-100.0,1900.0,1900.0,1900.0,0.0,0.0
2023-01-24,19200.0,19200.0,0.0,-2900.0,0.0,0.4423,0.3125,5.0,10.0,-300.0,-1000.0,-1000.0,-1000.0,0.0,1.0
2023-01-25,16350.0,16350.0,0.0,1130.0,1.0,0.1832,0.1195,10.0,10.0,-200.0,130.0,130.0,130.0,0.0,0.0
2023-01-26,8300.0,8300.0,0.0,-2700.0,0.0,0.4025,0.2217,4.0,14.0,600.0,-2570.0,-2570.0,-2570.0,0.0,1.0
2023-01-29,14200.0,14200.0,0.0,-3000.0,0.0,0.274,0.1748,8.0,10.0,-300.0,-5570.0,-5570.0,-5570.0,0.0,1.0
2023-01-30,4000.0,4000.0,0.0,-600.0,0.0,0.205,0.15,6.0,13.0,-200.0,-8070.0,-6170.0,-6170.0,0.0,1.0
2023-01-31,6640.0,6640.0,0.0,-460.0,0.0,0.2025,0.1335,6.0,16.0,-2600.0,-5630.0,-6630.0,-6630.0,0.0,1.0
2023-02-01,21870.0,21870.0,0.0,-1810.0,0.0,0.1761,0.1147,7.0,15.0,-200.0,-8570.0,-8440.0,-8440.0,0.0,1.0
2023-02-02,1300.0,1300.0,0.0,100.0,1.0,0.3728,0.0882,4.0,5.0,0.0,-5770.0,-8340.0,-8340.0,0.0,1.0
2023-02-05,9300.0,9300.0,0.0,-3900.0,0.0,0.5562,0.3548,5.0,13.0,-600.0,-6670.0,-12240.0,-12240.0,0.0,1.0
2023-02-06,6200.0,6200.0,0.0,-1100.0,0.0,0.4922,0.2941,3.0,7.0,-500.0,-7170.0,-13340.0,-13340.0,0.0,1.0
2023-02-07,12100.0,12100.0,0.0,-5100.0,0.0,0.4605,0.2984,6.0,15.0,-5450.0,-11810.0,-18440.0,-18440.0,0.0,1.0
2023-02-08,19501.0,19501.0,0.0,4261.0,1.0,0.3486,0.2397,6.0,11.0,-500.0,-5739.0,-14179.0,-14179.0,0.0,1.0
2023-02-09,11640.0,11640.0,0.0,-11110.0,0.0,0.8959,0.4572,4.0,7.0,-200.0,-16949.0,-25289.0,-25289.0,0.0,1.0
2023-02-12,7900.0,7900.0,0.0,-1650.0,0.0,0.2758,0.1734,7.0,10.0,-2800.0,-14699.0,-26939.0,-26939.0,0.0,1.0
2023-02-14,5100.0,5100.0,0.0,-2400.0,0.0,0.7586,0.4151,3.0,7.0,0.0,-15999.0,-29339.0,-29339.0,0.0,1.0
2023-02-15,4700.0,4700.0,0.0,-1500.0,0.0,0.3065,0.1842,4.0,11.0,-300.0,-12399.0,-30839.0,-30839.0,0.0,1.0
2023-02-16,5050.0,5050.0,0.0,1500.0,1.0,0.3824,0.2179,3.0,6.0,-200.0,-15160.0,-29339.0,-29339.0,0.0,1.0
2023-02-20,14600.0,14600.0,0.0,4400.0,1.0,0.4946,0.3185,5.0,10.0,-800.0,350.0,-24939.0,-24939.0,0.0,0.0
2023-02-22,13250.0,13250.0,0.0,-5350.0,0.0,0.2737,0.1828,7.0,11.0,-100.0,-3350.0,-30289.0,-30289.0,0.0,1.0
