date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-07-05,1320.0,1320.0,0.0,200.0,1.0,0.6488,0.3168,2.0,36.0,-270.0,200.0,200.0,200.0,0.0,0.0
2023-07-06,17237.0,16357.0,0.0182,-209.0,0.0,0.1747,0.1178,12.0,28.0,-1240.0,-9.0,-9.0,-9.0,0.0091,1.0
2023-07-09,9128.0,8428.0,0.0218,-2029.0,0.0,0.3656,0.166,16.0,24.0,-560.0,-2038.0,-2038.0,-2038.0,0.013333333333333334,1.0
2023-07-10,16735.0,16725.0,0.0002,-2794.0,0.0,0.0942,0.0487,20.0,20.0,3043.0,-4832.0,-4832.0,-4832.0,0.01005,1.0
2023-07-11,5309.0,4869.0,0.0236,-1817.0,0.0,0.1265,0.0728,17.0,23.0,-629.0,-6649.0,-6649.0,-6649.0,0.012759999999999999,1.0
2023-07-12,14175.0,14181.0,-0.0001,2286.0,1.0,0.1304,0.0622,20.0,20.0,-311.0,-4563.0,-4363.0,-4363.0,0.010616666666666665,1.0
2023-07-13,7206.0,6596.0,0.0178,202.0,1.0,0.0959,0.0337,18.0,22.0,1152.0,-4152.0,-4161.0,-4161.0,0.011642857142857144,1.0
2023-07-16,8919.0,8499.0,0.0191,680.0,1.0,0.6133,0.3142,7.0,33.0,-508.0,-1443.0,-3481.0,-3481.0,0.012575,1.0
2023-07-17,6248.0,5938.0,0.0195,-1811.0,0.0,0.1587,0.1099,14.0,26.0,-1905.0,-460.0,-5292.0,-5292.0,0.013344444444444443,1.0
2023-07-18,4500.0,4230.0,0.0218,-1560.0,0.0,0.2569,0.1548,10.0,30.0,-550.0,-203.0,-6852.0,-6852.0,0.01419,1.0
2023-07-19,6688.0,6388.0,0.0163,-1948.0,0.0,0.153,0.1061,12.0,28.0,-178.0,-4437.0,-8800.0,-8800.0,0.014381818181818183,1.0
2023-07-20,5931.0,5421.0,0.0297,-2165.0,0.0,0.1512,0.0942,14.0,26.0,-760.0,-6804.0,-10965.0,-10965.0,0.015658333333333333,1.0
2023-07-23,12621.0,11600.0,0.0273,-209.0,0.0,0.1865,0.1064,16.0,24.0,-4366.0,-7693.0,-11174.0,-11174.0,0.016553846153846155,1.0
2023-07-24,9008.0,8558.0,0.0158,-1440.0,0.0,0.1087,0.0551,16.0,24.0,-555.0,-7322.0,-12614.0,-12614.0,0.0165,1.0
2023-07-25,5423.0,5263.0,0.011,-1980.0,0.0,0.1344,0.0829,15.0,23.0,-460.0,-7742.0,-14594.0,-14594.0,0.016133333333333333,1.0
2023-07-26,18851.0,18676.0,0.0031,-5134.0,0.0,0.1536,0.1027,20.0,20.0,-1525.0,-10928.0,-19728.0,-19728.0,0.01531875,1.0
2023-07-27,5880.0,5500.0,0.024,-870.0,0.0,0.1522,0.0921,12.0,27.0,-310.0,-9633.0,-20598.0,-20598.0,0.015829411764705884,1.0
2023-07-30,7635.0,7635.0,0.0,-2445.0,0.0,0.1024,0.0544,20.0,20.0,260.0,-11869.0,-23043.0,-23043.0,0.01495,1.0
2023-07-31,5980.0,5910.0,0.0046,-995.0,0.0,0.1686,0.1386,19.0,21.0,-190.0,-11424.0,-24038.0,-24038.0,0.014405263157894737,1.0
2023-08-01,5036.0,4986.0,0.004,-802.0,0.0,0.1596,0.1071,18.0,21.0,22.0,-10246.0,-24840.0,-24840.0,0.013885,1.0
2023-08-02,3770.0,3720.0,0.0054,190.0,1.0,0.1364,0.1114,17.0,20.0,70.0,-4922.0,-24850.0,-24650.0,0.014155000000000001,1.0
2023-08-03,4655.0,4565.0,0.0068,-2345.0,0.0,0.3422,0.1958,14.0,24.0,-60.0,-6397.0,-26986.0,-26995.0,0.013585,1.0
2023-08-06,9782.0,9652.0,0.0051,340.0,1.0,0.2092,0.1431,20.0,20.0,-320.0,-3612.0,-24617.0,-26655.0,0.012750000000000001,1.0
2023-08-07,4652.0,4462.0,0.0144,646.0,1.0,0.1644,0.0915,15.0,24.0,-262.0,-1971.0,-21177.0,-26009.0,0.01346,1.0
