date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-08-04,0.7143,0.7143,0.0,0.0,0.0,1.0,0.7143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,1.0,1.0,0.0,-0.7619,0.0,0.3707,0.4762,4.0,5.0,-0.2857,-0.7619,-0.7619,-0.7619,0.0,1.0
2025-08-06,0.98,0.98,0.0,-0.78,0.0,0.2599,0.428,6.0,4.0,-0.4,-1.5419,-1.5419,-1.5419,0.0,1.0
2025-08-07,0.7333,0.7333,0.0,-0.4667,0.0,0.3858,0.4133,4.0,8.0,-0.0667,-2.0086,-2.0086,-2.0086,0.0,1.0
2025-08-11,0.873,0.873,0.0,-0.2063,0.0,0.3944,0.4762,4.0,6.0,-0.2063,-2.2149,-2.2149,-2.2149,0.0,1.0
2025-08-12,1.0,1.0,0.0,-0.625,0.0,0.3438,0.375,3.0,2.0,0.0,-2.8399,-2.8399,-2.8399,0.0,1.0
2025-08-13,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,0.0,-3.0780000000000003,-3.8399,-3.8399,0.0,1.0
2025-08-14,1.0,1.0,0.0,-0.5714,0.0,0.3469,0.4286,3.0,4.0,0.0,-2.8694,-4.4113,-4.4113,0.0,1.0
2025-08-17,0.9,0.9,0.0,-0.8,0.0,0.28,0.3,4.0,2.0,0.0,-3.2027,-5.2113000000000005,-5.2113000000000005,0.0,1.0
2025-08-18,0.9016,0.9016,0.0,-0.2459,0.0,0.6033,0.6557,2.0,4.0,0.0,-3.2423,-5.4572,-5.4572,0.0,1.0
2025-08-19,1.0,1.0,0.0,-1.0,0.0,0.5988,0.7222,2.0,2.0,0.0,-3.6173,-6.4572,-6.4572,0.0,1.0
2025-08-20,0.9186,0.9186,0.0,0.7524,1.0,0.7037,0.7524,2.0,3.0,0.0,-1.8649,-5.7048000000000005,-5.7048000000000005,0.0,1.0
2025-08-21,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.2934999999999999,-5.7048000000000005,-5.7048000000000005,0.0,1.0
2025-08-24,1.0,1.0,0.0,0.0435,1.0,0.4934,0.6087,3.0,3.0,0.0435,-0.45000000000000007,-5.6613,-5.6613,0.0,1.0
2025-08-25,0.9626,0.9626,0.0,0.4299,1.0,0.5894,0.7103,3.0,10.0,0.7103,0.22579999999999995,-5.2314,-5.2314,0.0,0.0
2025-08-26,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2258,-6.231400000000001,-6.231400000000001,0.0,0.0
2025-08-27,0.9206,0.9206,0.0,0.3651,1.0,0.6165,0.6825,2.0,4.0,0.6825,-0.16149999999999998,-5.866300000000001,-5.866300000000001,0.0,1.0
2025-08-28,1.0,1.0,0.0,-0.8,0.0,0.36,0.4,3.0,2.0,0.0,-0.9615,-6.666300000000001,-6.666300000000001,0.0,1.0
2025-08-31,1.0,1.0,0.0,0.2174,1.0,0.414,0.5652,3.0,5.0,0.0,-0.7876000000000001,-6.4489,-6.4489,0.0,1.0
2025-09-01,1.0,1.0,0.0,-1.0,0.0,0.5225,0.6061,2.0,3.0,-0.0606,-2.2175000000000002,-7.4489,-7.4489,0.0,1.0
2025-09-02,0.8935,0.8935,0.0,-0.3742,0.0,1.0,0.8935,1.0,19.0,-0.0226,-1.5917,-7.8231,-7.8231,0.0,1.0
2025-09-03,0.9561,0.9561,0.0,0.0,0.0,0.8798,0.8947,2.0,7.0,0.0614,-1.9567999999999999,-7.0612,-7.8231,0.0,1.0
2025-09-04,0.8521,0.8521,0.0,-0.1479,0.0,0.7131,0.7041,2.0,3.0,0.1479,-1.3047,-6.4291,-7.971,0.0,1.0
2025-09-07,0.9566,0.9566,0.0,0.8194,1.0,1.0,0.9566,1.0,11.0,-0.0289,-0.7027,-5.143,-7.1516,0.0,1.0
2025-09-08,0.8718,0.8718,0.0,-0.2564,0.0,1.0,0.8718,1.0,4.0,0.0,0.04089999999999999,-5.1931,-7.408,0.0,0.0
2025-09-21,0.7587,0.7587,0.0,0.4765,1.0,1.0,0.7587,1.0,6.0,-0.0455,0.8916,-4.091600000000001,-6.931500000000001,0.0,0.0
2025-09-23,1.0,1.0,0.0,-0.4444,0.0,1.0,1.0,1.0,2.0,0.0,0.44719999999999993,-3.5360000000000005,-7.375900000000001,0.0,0.0
2025-09-24,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5951,-1.9646000000000001,-6.375900000000001,0.0,0.0
2025-09-25,0.9091,0.9091,0.0,0.2409,1.0,1.0,0.9091,1.0,6.0,-0.5682,1.0166,-0.9237000000000001,-6.135000000000001,0.0,0.0
2025-09-28,1.0,1.0,0.0,-0.4,0.0,1.0,1.0,1.0,4.0,-0.2,0.8729999999999999,-1.0778000000000003,-6.535,0.0,0.0
2025-10-07,0.9239,0.9239,0.0,0.8152,1.0,1.0,0.9239,1.0,4.0,-0.1087,1.2117,0.7373999999999998,-5.7198,0.0,0.0
2025-10-12,0.9745,0.9745,0.0,-0.7383,0.0,0.6538,0.7582,3.0,2.0,0.2148,0.9178,-0.7533000000000001,-6.4581,0.0,0.0
2025-10-13,0.9808,0.9808,0.0,0.1174,1.0,0.6355,0.7675,4.0,6.0,0.0192,0.035200000000000065,-0.6359000000000001,-6.3407,0.0,0.0
2025-10-14,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.2057,-1.6794000000000002,-7.3407,0.0,1.0
2025-10-15,1.0,1.0,0.0,-0.6429,0.0,1.0,1.0,1.0,2.0,0.0,-1.4485999999999999,-2.7522,-7.9836,0.0,1.0
2025-10-19,0.9545,0.9545,0.0,0.9091,1.0,1.0,0.9545,1.0,2.0,-0.0455,-1.3546999999999998,-0.8431000000000002,-7.0745000000000005,0.0,1.0
2025-10-26,1.0,1.0,0.0,0.0,0.0,0.52,0.6,2.0,3.0,0.0,-0.6164000000000001,-1.2082000000000002,-7.0745000000000005,0.0,1.0
2025-10-28,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.7338,-1.4082000000000001,-8.0745,0.0,1.0
2025-10-29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.7338,-1.6256000000000002,-8.0745,0.0,1.0
2025-10-30,0.9375,0.9375,0.0,0.4375,1.0,0.3472,0.4375,4.0,1.0,0.4375,0.3466,-0.18810000000000016,-7.6370000000000005,0.0,0.0
2025-11-03,0.9577,0.9577,0.0,0.8169,1.0,1.0,0.9577,1.0,3.0,-0.1408,0.25439999999999996,1.0029999999999997,-6.8201,0.0,0.0
2025-11-05,1.0,1.0,0.0,-0.5,0.0,0.5,0.5,2.0,2.0,0.5,-0.24560000000000004,0.5029999999999998,-7.3201,0.0,1.0
2025-11-06,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.7544,0.6508999999999998,-7.3201,0.0,0.0
2025-11-10,1.0,1.0,0.0,-0.0361,0.0,0.8258,0.9036,2.0,4.0,-0.0602,0.7182999999999999,-0.2046000000000002,-7.3562,0.0,0.0
2025-11-12,0.952,0.952,0.0,-0.952,0.0,0.654,0.752,3.0,1.0,0.0,-0.6712,-0.9002000000000001,-8.3082,0.0,1.0
2025-11-13,1.0,1.0,0.0,-0.1667,0.0,0.2222,0.3333,5.0,3.0,0.0,-1.6548,-1.5434,-8.4749,0.0,1.0
