date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,408.0,408.0,0.0,-225.0,0.0,0.0871,0.0781,16.0,5.0,0.0,-225.0,-225.0,-225.0,0.0,1.0
2023-01-24,157.0,157.0,0.0,-10.0,0.0,0.2551,0.1872,7.0,5.0,0.0,-235.0,-235.0,-235.0,0.0,1.0
2023-01-25,513.0,513.0,0.0,-12.0,0.0,0.3837,0.2753,11.0,15.0,0.0,-247.0,-247.0,-247.0,0.0,1.0
2023-01-26,242.0,242.0,0.0,-113.0,0.0,0.3178,0.2099,6.0,12.0,-10.0,-360.0,-360.0,-360.0,0.0,1.0
2023-01-29,258.0,258.0,0.0,-35.0,0.0,0.3968,0.2788,7.0,8.0,-25.0,-395.0,-395.0,-395.0,0.0,1.0
2023-01-30,410.0,410.0,0.0,-160.0,0.0,0.0958,0.0745,17.0,7.0,-230.0,-330.0,-555.0,-555.0,0.0,1.0
2023-01-31,440.0,440.0,0.0,-150.0,0.0,0.1064,0.0598,15.0,14.0,-45.0,-470.0,-705.0,-705.0,0.0,1.0
2023-02-01,295.0,295.0,0.0,-45.0,0.0,0.0997,0.0968,17.0,9.0,0.0,-503.0,-750.0,-750.0,0.0,1.0
2023-02-02,102.0,102.0,0.0,30.0,1.0,0.2426,0.1311,5.0,7.0,0.0,-360.0,-720.0,-720.0,0.0,1.0
2023-02-05,214.0,214.0,0.0,-56.0,0.0,0.1469,0.092,11.0,10.0,0.0,-381.0,-776.0,-776.0,0.0,1.0
2023-02-06,70.0,70.0,0.0,25.0,1.0,0.3878,0.2105,4.0,5.0,0.0,-196.0,-751.0,-751.0,0.0,1.0
2023-02-07,510.0,510.0,0.0,170.0,1.0,0.491,0.2982,5.0,19.0,-100.0,124.0,-581.0,-581.0,0.0,0.0
2023-02-08,219.0,219.0,0.0,-169.0,0.0,0.1235,0.0772,11.0,9.0,-90.0,0.0,-750.0,-750.0,0.0,0.0
2023-02-09,170.0,170.0,0.0,20.0,1.0,0.4394,0.2895,7.0,8.0,-60.0,-10.0,-730.0,-730.0,0.0,1.0
2023-02-12,510.0,510.0,0.0,-70.0,0.0,0.1657,0.1356,13.0,11.0,-170.0,-24.0,-800.0,-800.0,0.0,1.0
2023-02-14,185.0,185.0,0.0,-40.0,0.0,0.1702,0.1224,9.0,6.0,-30.0,-89.0,-840.0,-840.0,0.0,1.0
2023-02-15,303.0,303.0,0.0,-10.0,0.0,0.277,0.2143,13.0,9.0,10.0,-269.0,-850.0,-850.0,0.0,1.0
2023-02-16,130.0,130.0,0.0,-30.0,0.0,0.3136,0.1786,5.0,4.0,0.0,-130.0,-880.0,-880.0,0.0,1.0
2023-02-20,155.0,155.0,0.0,-5.0,0.0,0.1217,0.0345,10.0,5.0,-10.0,-155.0,-885.0,-885.0,0.0,1.0
2023-02-22,60.0,60.0,0.0,50.0,1.0,0.62,0.2674,3.0,4.0,10.0,-35.0,-835.0,-835.0,0.0,1.0
2023-02-23,230.0,230.0,0.0,0.0,0.0,0.138,0.087,10.0,9.0,0.0,5.0,-610.0,-835.0,0.0,0.0
2023-02-26,152.0,152.0,0.0,-10.0,0.0,0.1136,0.0833,11.0,3.0,-50.0,5.0,-610.0,-845.0,0.0,0.0
2023-02-27,120.0,120.0,0.0,-60.0,0.0,0.1806,0.1538,8.0,6.0,10.0,-25.0,-658.0,-905.0,0.0,1.0
2023-02-28,50.0,50.0,0.0,0.0,0.0,0.52,0.3,2.0,1.0,0.0,-20.0,-545.0,-905.0,0.0,1.0
2023-03-01,290.0,290.0,0.0,40.0,1.0,0.6052,0.3793,3.0,1.0,0.0,-30.0,-470.0,-865.0,0.0,1.0
2023-03-02,75.0,75.0,0.0,-5.0,0.0,0.2,0.1316,6.0,5.0,-15.0,-35.0,-315.0,-870.0,0.0,1.0
2023-03-05,110.0,110.0,0.0,-30.0,0.0,0.124,0.0667,9.0,6.0,0.0,-55.0,-195.0,-900.0,0.0,1.0
2023-03-07,40.0,40.0,0.0,-30.0,0.0,0.375,0.2,3.0,3.0,0.0,-25.0,-180.0,-930.0,0.0,1.0
2023-03-09,60.0,60.0,0.0,20.0,1.0,0.2222,0.1667,5.0,6.0,0.0,-5.0,-190.0,-910.0,0.0,1.0
2023-03-12,71.0,71.0,0.0,31.0,1.0,0.1867,0.1479,6.0,3.0,0.0,-14.0,-103.0,-879.0,0.0,1.0
2023-03-13,224.0,224.0,0.0,101.0,1.0,0.1498,0.1518,11.0,9.0,0.0,92.0,-27.0,-778.0,0.0,0.0
2023-03-14,112.0,112.0,0.0,52.0,1.0,0.2411,0.1786,6.0,3.0,0.0,174.0,-145.0,-726.0,0.0,0.0
2023-03-15,95.0,95.0,0.0,45.0,1.0,0.1911,0.1316,6.0,3.0,0.0,249.0,69.0,-681.0,0.0,0.0
2023-03-16,180.0,180.0,0.0,40.0,1.0,0.2346,0.2,10.0,3.0,0.0,269.0,89.0,-641.0,0.0,0.0
2023-03-19,133.0,133.0,0.0,-20.0,0.0,0.2165,0.1748,7.0,3.0,0.0,218.0,139.0,-661.0,0.0,0.0
2023-03-20,40.0,40.0,0.0,0.0,0.0,0.5,0.2,2.0,3.0,20.0,117.0,179.0,-661.0,0.0,0.0
2023-03-22,190.0,190.0,0.0,-30.0,0.0,0.3352,0.2381,7.0,4.0,0.0,35.0,159.0,-691.0,0.0,0.0
2023-03-23,225.0,225.0,0.0,50.0,1.0,0.0973,0.0877,15.0,7.0,0.0,40.0,239.0,-641.0,0.0,0.0
2023-03-26,305.0,305.0,0.0,175.0,1.0,0.2142,0.101,11.0,7.0,0.0,175.0,419.0,-466.0,0.0,0.0
2023-03-27,150.0,150.0,0.0,0.0,0.0,0.1467,0.1,9.0,7.0,0.0,195.0,369.0,-466.0,0.0,0.0
2023-03-28,90.0,90.0,0.0,-40.0,0.0,0.2346,0.1364,5.0,7.0,0.0,155.0,329.0,-506.0,0.0,0.0
2023-03-29,100.0,100.0,0.0,20.0,1.0,0.16,0.1,7.0,5.0,0.0,205.0,359.0,-486.0,0.0,0.0
2023-03-30,135.0,135.0,0.0,-25.0,0.0,0.2209,0.1613,7.0,6.0,-50.0,130.0,394.0,-511.0,0.0,0.0
2023-04-02,50.0,50.0,0.0,0.0,0.0,0.28,0.2,4.0,5.0,0.0,-45.0,394.0,-511.0,0.0,1.0
2023-04-03,95.0,95.0,0.0,-20.0,0.0,0.3352,0.2381,5.0,6.0,-10.0,-65.0,334.0,-531.0,0.0,1.0
2023-04-04,30.0,30.0,0.0,0.0,0.0,0.3333,0.1667,3.0,3.0,0.0,-25.0,339.0,-531.0,0.0,1.0
2023-04-05,400.0,400.0,0.0,90.0,1.0,0.2562,0.2125,11.0,5.0,20.0,45.0,459.0,-441.0,0.0,0.0
2023-04-06,125.0,125.0,0.0,-75.0,0.0,0.3216,0.2097,6.0,6.0,0.0,-5.0,414.0,-516.0,0.0,1.0
2023-04-09,120.0,120.0,0.0,0.0,0.0,0.1667,0.1333,9.0,7.0,0.0,-5.0,394.0,-516.0,0.0,1.0
2023-04-10,90.0,90.0,0.0,-10.0,0.0,0.358,0.2778,5.0,3.0,0.0,5.0,353.0,-526.0,0.0,0.0
