date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8538,0.8538,0.0,-0.4032,0.0,0.5483,0.6224,7.0,12.0,-0.0853,-0.4032,-0.4032,-0.4032,0.0,1.0
2023-01-24,1.0,1.0,0.0,-0.7281,0.0,0.4489,0.6344,4.0,5.0,0.0,-1.1313,-1.1313,-1.1313,0.0,1.0
2023-01-25,0.8764,0.8764,0.0,0.1011,1.0,0.3577,0.4831,7.0,11.0,0.4831,-1.0302,-1.0302,-1.0302,0.0,1.0
2023-01-26,0.8421,0.8421,0.0,0.2632,1.0,0.7734,0.7368,3.0,7.0,0.0,-0.767,-0.767,-0.767,0.0,1.0
2023-01-29,0.5902,0.5902,0.0,-0.0984,0.0,0.2299,0.1967,7.0,10.0,-0.0328,-0.8654000000000001,-0.8654000000000001,-0.8654000000000001,0.0,1.0
2023-01-30,0.5312,0.5312,0.0,0.25,1.0,1.0,0.5312,1.0,6.0,-0.25,-0.2122,-0.6154,-0.6154,0.0,1.0
2023-01-31,0.8485,0.8485,0.0,-0.0303,0.0,0.2781,0.3333,7.0,6.0,-0.0606,0.48560000000000003,-0.6457,-0.6457,0.0,0.0
2023-02-01,1.0,1.0,0.0,-0.2143,0.0,0.4592,0.5714,3.0,5.0,0.0,0.17020000000000007,-0.86,-0.86,0.0,0.0
2023-02-02,0.5922,0.5922,0.0,0.1845,1.0,0.5512,0.4272,6.0,9.0,-0.0485,0.09150000000000008,-0.6755,-0.6755,0.0,0.0
2023-02-05,0.8889,0.8889,0.0,-0.2222,0.0,0.4062,0.4444,3.0,5.0,0.0,-0.03229999999999994,-0.8976999999999999,-0.8976999999999999,0.0,1.0
2023-02-06,1.0,1.0,0.0,0.0,0.0,0.7812,0.875,2.0,2.0,0.0,-0.28229999999999994,-0.8976999999999999,-0.8976999999999999,0.0,1.0
2023-02-07,1.0,1.0,0.0,0.6858,1.0,0.861,0.9261,3.0,7.0,0.0,0.4338,-0.21189999999999998,-0.21189999999999998,0.0,0.0
2023-02-08,0.6667,0.6667,0.0,0.0909,1.0,0.4504,0.4242,5.0,7.0,0.0,0.739,-0.12099999999999998,-0.12099999999999998,0.0,0.0
2023-02-09,0.9355,0.9355,0.0,0.6452,1.0,0.5696,0.6774,4.0,4.0,0.0,1.1997,0.5242,0.5242,0.0,0.0
2023-02-12,0.6667,0.6667,0.0,0.6667,1.0,0.5,0.3333,2.0,2.0,0.0,2.0886,1.1909,1.1909,0.0,0.0
2023-02-14,0.8742,0.8742,0.0,0.0,0.0,0.3851,0.4969,5.0,2.0,0.0,2.0886,1.1909,1.1909,0.0,0.0
2023-02-15,0.2244,0.2244,0.0,0.0748,1.0,0.3086,0.0998,4.0,3.0,0.0,1.4776,1.2657,1.2657,0.0,0.0
2023-02-16,0.75,0.75,0.0,0.25,1.0,0.5556,0.5,2.0,2.0,0.0,1.6367,1.5157,1.5157,0.0,0.0
2023-02-20,0.8696,0.8696,0.0,-0.6957,0.0,0.4287,0.5,3.0,3.0,0.0,0.29579999999999995,0.82,0.82,0.0,0.0
2023-02-22,0.75,0.75,0.0,-0.25,0.0,0.3333,0.25,3.0,2.0,0.0,-0.6209,0.57,0.57,0.0,1.0
2023-02-23,0.8077,0.8077,0.0,0.6154,1.0,0.6372,0.6154,2.0,1.0,0.0,-0.00550000000000006,1.5886,1.1854,0.0,1.0
2023-02-26,1.0,1.0,0.0,0.0769,1.0,0.2308,0.3077,6.0,3.0,0.0,-0.0034000000000000696,2.3935999999999997,1.2623,0.0,1.0
2023-02-27,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.25340000000000007,2.2924999999999995,1.2623,0.0,1.0
2023-02-28,1.0,1.0,0.0,0.905,1.0,0.8235,0.905,3.0,2.0,0.0,1.3473,2.9343,2.1673,0.0,0.0
2023-03-01,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.5972999999999997,4.0327,3.1673,0.0,0.0
2023-03-05,1.0,1.0,0.0,0.5,1.0,0.5,0.5,2.0,1.0,0.0,2.4819,4.2827,3.6673,0.0,0.0
2023-03-07,1.0,1.0,0.0,-0.5,0.0,0.5,0.5,2.0,2.0,0.0,1.9049999999999998,3.8129999999999997,3.1673,0.0,0.0
2023-03-09,0.1579,0.1579,0.0,0.1053,1.0,0.5556,0.1053,2.0,1.0,0.0,2.0103,4.1326,3.2725999999999997,0.0,0.0
2023-03-12,0.75,0.75,0.0,0.25,1.0,0.5556,0.5,2.0,2.0,0.0,1.3553,4.1981,3.5225999999999997,0.0,0.0
2023-03-13,1.0,1.0,0.0,1.0,1.0,0.5814,0.7018,2.0,2.0,0.0,1.3553,5.4203,4.5226,0.0,0.0
2023-03-14,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8553,5.4203,4.5226,0.0,0.0
2023-03-16,0.7207,0.7207,0.0,-0.5405,0.0,0.2188,0.1802,5.0,3.0,0.0,0.8148,4.194000000000001,3.9821,0.0,0.0
2023-03-19,0.9231,0.9231,0.0,0.4769,1.0,1.0,0.9231,1.0,6.0,0.0,1.1864,4.58,4.459,0.0,0.0
2023-03-20,1.0,1.0,0.0,0.75,1.0,0.625,0.75,2.0,3.0,0.0,1.6864,4.6848,5.209,0.0,0.0
2023-03-22,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6864,4.0181000000000004,5.209,0.0,0.0
2023-03-23,1.0,1.0,0.0,-0.3333,0.0,0.3333,0.3333,3.0,1.0,0.0,0.3531,3.6848000000000005,4.8757,0.0,0.0
2023-03-26,0.8571,0.8571,0.0,-0.1429,0.0,0.5,0.5714,3.0,2.0,0.0,0.7506999999999999,3.4671000000000003,4.7328,0.0,0.0
2023-03-27,0.75,0.75,0.0,-0.125,0.0,0.4306,0.4375,3.0,4.0,0.0,0.14879999999999996,3.0921000000000003,4.6078,0.0,0.0
2023-03-28,1.0,1.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,-0.6012000000000001,3.7878000000000003,4.6078,0.0,1.0
2023-03-29,1.0,1.0,0.0,-0.5556,0.0,0.2593,0.3333,4.0,1.0,0.0,-1.1568,3.4821999999999997,4.0522,0.0,1.0
2023-04-02,1.0,1.0,0.0,1.0,1.0,0.5,0.5,2.0,1.0,0.0,0.17649999999999988,3.8668,5.0522,0.0,0.0
2023-04-03,0.7143,0.7143,0.0,0.1905,1.0,0.2889,0.2857,4.0,2.0,0.0,0.5098999999999999,3.9804000000000004,5.2427,0.0,0.0
2023-04-04,1.0,1.0,0.0,0.2,1.0,1.0,1.0,1.0,2.0,0.0,0.8349,4.180400000000001,5.4427,0.0,0.0
2023-04-05,1.0,1.0,0.0,0.4815,1.0,0.6324,0.7778,3.0,6.0,0.0,1.3163999999999998,3.7569,5.9242,0.0,0.0
2023-04-06,1.0,1.0,0.0,-0.4444,0.0,0.4074,0.5556,3.0,3.0,0.0,1.4276,2.3125,5.4798,0.0,0.0
2023-04-09,1.0,1.0,0.0,-0.375,0.0,0.4688,0.625,3.0,1.0,0.0,0.05259999999999998,1.4375,5.1048,0.0,0.0
2023-04-10,1.0,1.0,0.0,0.0,0.0,0.6633,0.7857,2.0,2.0,0.0,-0.13790000000000002,1.9375,5.1048,0.0,1.0
2023-04-12,1.0,1.0,0.0,-0.25,0.0,0.375,0.5,3.0,2.0,0.0,-0.5879000000000001,1.5822,4.8548,0.0,1.0
2023-04-13,0.8889,0.8889,0.0,-0.1111,0.0,0.3438,0.3333,3.0,3.0,0.0,-1.1805,1.2211,4.7437,0.0,1.0
2023-04-16,0.6,0.6,0.0,0.0,0.0,0.5556,0.4,2.0,2.0,0.0,-0.7361,0.22110000000000005,4.7437,0.0,1.0
2023-04-17,0.6667,0.6667,0.0,0.3333,1.0,1.0,0.6667,1.0,2.0,0.0,-0.02779999999999999,0.5544,5.077,0.0,1.0
2023-04-18,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.02779999999999999,1.0949,5.077,0.0,1.0
2023-04-19,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2222,0.6180000000000001,5.077,0.0,0.0
2023-04-20,1.0,1.0,0.0,-0.3333,0.0,0.5556,0.6667,2.0,1.0,0.0,5.551115123125783e-17,-0.46529999999999994,4.7437,0.0,0.0
2023-04-25,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.4653,3.7437,0.0,1.0
2023-04-30,1.0,1.0,0.0,-1.0,0.0,0.5703,0.6875,2.0,1.0,0.0,-2.3333,-2.132,2.7437,0.0,1.0
2023-05-02,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.3333,-2.9891,1.7437,0.0,1.0
2023-05-03,1.0,1.0,0.0,-0.4167,0.0,0.4306,0.5,3.0,1.0,0.0,-3.75,-3.2808,1.327,0.0,1.0
2023-05-04,0.871,0.871,0.0,0.3548,1.0,0.3361,0.4194,5.0,7.0,0.0,-3.0619,-2.926,1.6818,0.0,1.0
2023-05-07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0619,-1.3704,2.6818,0.0,1.0
2023-05-08,1.0,1.0,0.0,0.4,1.0,0.52,0.6,2.0,1.0,0.0,0.33809999999999996,-1.9704000000000002,3.485,0.0,0.0
2023-05-09,1.0,1.0,0.0,0.5932,1.0,0.3617,0.4703,3.0,3.0,0.0,1.9312999999999998,-1.5677000000000003,4.8063,0.0,0.0
2023-05-10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.348,-0.7677000000000003,5.7052000000000005,0.0,0.0
2023-05-11,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9931999999999999,-2.2492,4.442,0.0,0.0
2023-05-14,1.0,1.0,0.0,-0.6,0.0,0.52,0.6,2.0,2.0,0.0,0.3931999999999999,-2.4048000000000003,3.9403999999999995,0.0,0.0
2023-05-15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.006800000000000139,-2.0298000000000003,3.6904,0.0,1.0
2023-05-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3999999999999999,-1.0298000000000003,4.7207,0.0,0.0
2023-05-17,1.0,1.0,0.0,0.3448,1.0,1.0,1.0,1.0,2.0,0.0,-0.2552000000000001,-0.4350000000000003,5.2798,0.0,1.0
2023-05-18,1.0,1.0,0.0,0.8333,1.0,0.3472,0.5,4.0,6.0,0.0,1.5781,0.5093999999999997,5.928599999999999,0.0,0.0
2023-05-21,0.8227,0.8227,0.0,-0.4211,0.0,0.1457,0.1945,12.0,7.0,0.1602,1.7570000000000001,0.08829999999999977,5.729699999999999,0.0,0.0
2023-05-22,0.9574,0.9574,0.0,0.1844,1.0,0.1122,0.1418,12.0,5.0,0.0993,1.9414,-0.060600000000000154,5.9140999999999995,0.0,0.0
2023-05-23,0.74,0.74,0.0,-0.04,0.0,0.3075,0.36,6.0,7.0,0.36,0.9014000000000001,-0.10060000000000016,5.188299999999999,0.0,0.0
2023-05-24,0.931,0.931,0.0,-0.3103,0.0,0.107,0.1724,13.0,4.0,-0.1897,0.24630000000000007,-0.41090000000000015,4.7871,0.0,0.0
2023-05-28,0.9171,0.9171,0.0,0.4362,1.0,0.6672,0.743,6.0,9.0,0.743,-0.1508,0.3585999999999998,4.5781,0.0,1.0
2023-05-30,0.7653,0.7653,0.0,0.0816,1.0,0.2356,0.3061,7.0,7.0,0.3061,0.3519,1.4402,3.993,0.0,0.0
2023-05-31,0.8635,0.8635,0.0,0.3857,1.0,0.2985,0.3515,5.0,8.0,0.1365,0.5531999999999999,2.8259,4.378699999999999,0.0,0.0
2023-06-01,1.0,1.0,0.0,-0.3077,0.0,0.2137,0.3333,8.0,5.0,0.0513,0.28550000000000003,3.5181999999999998,3.9962,0.0,0.0
2023-06-04,0.764,0.764,0.0,-0.2625,0.0,0.2812,0.3245,6.0,5.0,0.3245,0.3333,3.6723999999999997,3.4837,0.0,0.0
2023-06-05,1.0,1.0,0.0,0.6,1.0,0.28,0.4,4.0,1.0,0.2,0.4971,3.9175999999999997,4.779399999999999,0.0,0.0
2023-06-06,0.931,0.931,0.0,0.4655,1.0,0.2435,0.3621,7.0,9.0,0.0517,0.881,3.3830999999999998,5.4948999999999995,0.0,0.0
2023-06-07,0.92,0.92,0.0,0.12,1.0,0.241,0.4,11.0,7.0,0.14,0.6153,3.1031,4.9995,0.0,0.0
2023-06-08,0.8452,0.8452,0.0,0.25,1.0,0.4584,0.4643,5.0,10.0,-0.1429,1.173,2.7599,5.1726,0.0,0.0
