date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,87357.0,95394.0,-0.0226,-18104.0,0.0,0.0749,0.0318,20.0,20.0,-36469.0,-18104.0,-18104.0,-18104.0,-0.0226,1.0
2023-01-24,58030.0,60262.0,-0.0094,12179.0,1.0,0.0773,0.0366,20.0,20.0,-18075.0,-5925.0,-5925.0,-5925.0,-0.016,1.0
2023-01-25,46491.0,47935.0,-0.0075,12816.0,1.0,0.0684,0.0335,20.0,20.0,-8882.0,6891.0,6891.0,6891.0,-0.013166666666666667,0.0
2023-01-26,87442.0,98671.0,-0.0408,40396.0,1.0,0.0587,0.0324,30.0,10.0,1726.0,47287.0,47287.0,47287.0,-0.020075000000000003,0.0
2023-01-29,47691.0,53362.0,-0.0287,-1647.0,0.0,0.0616,0.0246,24.0,16.0,2664.0,45640.0,45640.0,45640.0,-0.0218,0.0
2023-01-30,65372.0,75572.0,-0.0306,18023.0,1.0,0.0597,0.0262,21.0,19.0,-4490.0,81767.0,63663.0,63663.0,-0.023266666666666668,0.0
2023-01-31,133985.0,148999.0,-0.0242,-16812.0,0.0,0.0585,0.0208,25.0,15.0,-31152.0,52776.0,46851.0,46851.0,-0.0234,0.0
2023-02-01,49872.0,51758.0,-0.0084,-7226.0,0.0,0.0865,0.0392,20.0,20.0,-854.0,32734.0,39625.0,39625.0,-0.021525,0.0
2023-02-02,39947.0,42831.0,-0.0151,6094.0,1.0,0.067,0.023,20.0,20.0,-3417.0,-1568.0,45719.0,45719.0,-0.02081111111111111,1.0
2023-02-05,22336.0,23958.0,-0.0148,-6408.0,0.0,0.0655,0.0238,20.0,20.0,-259.0,-6329.0,39311.0,39311.0,-0.02021,1.0
2023-02-06,37638.0,40458.0,-0.0213,2954.0,1.0,0.0799,0.042,21.0,19.0,1468.0,-21398.0,42265.0,42265.0,-0.02030909090909091,1.0
2023-02-07,60068.0,63171.0,-0.0118,30841.0,1.0,0.0782,0.0319,20.0,20.0,-525.0,26255.0,73106.0,73106.0,-0.0196,0.0
2023-02-08,57792.0,55371.0,0.0086,5090.0,1.0,0.0775,0.034,20.0,20.0,-7002.0,38571.0,78196.0,78196.0,-0.01743076923076923,0.0
2023-02-09,62387.0,62488.0,-0.0005,-2648.0,0.0,0.219,0.1266,20.0,20.0,-7800.0,29829.0,75548.0,75548.0,-0.01622142857142857,0.0
2023-02-12,41623.0,46957.0,-0.0263,-11920.0,0.0,0.0674,0.0306,23.0,17.0,-3659.0,24317.0,63628.0,63628.0,-0.016893333333333333,0.0
2023-02-14,35249.0,37367.0,-0.0188,5619.0,1.0,0.0708,0.0368,23.0,17.0,2180.0,26982.0,69247.0,69247.0,-0.0170125,0.0
2023-02-15,23476.0,23480.0,-0.0,12034.0,1.0,0.1208,0.0657,20.0,20.0,3858.0,8175.0,81281.0,81281.0,-0.016011764705882354,0.0
2023-02-16,21968.0,21643.0,0.0041,-3694.0,0.0,0.1314,0.0747,20.0,20.0,-2360.0,-609.0,77587.0,77587.0,-0.014894444444444445,1.0
2023-02-20,24344.0,24538.0,-0.0026,-3185.0,0.0,0.1759,0.1224,20.0,20.0,-1024.0,-1146.0,74402.0,74402.0,-0.014247368421052632,1.0
2023-02-22,26888.0,28024.0,-0.0102,7043.0,1.0,0.1075,0.05,20.0,20.0,-437.0,17817.0,81445.0,81445.0,-0.014044999999999998,0.0
2023-02-23,21856.0,20483.0,0.0151,-3306.0,0.0,0.1237,0.0586,19.0,20.0,1722.0,8892.0,96243.0,78139.0,-0.01216,0.0
2023-02-26,33674.0,32804.0,0.0063,103.0,1.0,0.2372,0.1061,20.0,20.0,-478.0,-3039.0,84167.0,78242.0,-0.011375,1.0
2023-02-27,27832.0,27842.0,-0.0001,-4653.0,0.0,0.1226,0.0841,20.0,20.0,801.0,-3998.0,66698.0,73589.0,-0.011005,1.0
2023-02-28,17696.0,17916.0,-0.0045,-881.0,0.0,0.0822,0.055,24.0,16.0,2718.0,-1694.0,25421.0,72708.0,-0.00919,1.0
2023-03-01,12564.0,12591.0,-0.0006,-2139.0,0.0,0.1144,0.0573,20.0,20.0,66.0,-10876.0,24929.0,70569.0,-0.0077849999999999985,1.0
2023-03-02,16589.0,16595.0,-0.0001,6519.0,1.0,0.1933,0.1032,20.0,20.0,-472.0,-1051.0,13425.0,77088.0,-0.00626,1.0
2023-03-05,30462.0,32182.0,-0.0185,4022.0,1.0,0.0725,0.0406,21.0,19.0,2149.0,2868.0,34259.0,81110.0,-0.005974999999999999,0.0
2023-03-07,24796.0,24903.0,-0.0015,5906.0,1.0,0.1306,0.085,20.0,20.0,1080.0,13427.0,47391.0,87016.0,-0.00563,0.0
