date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-09-17,0.4343,0.4835,-0.0493,-0.1153,0.0,0.0881,0.0844,20.0,20.0,-0.072,-0.1153,-0.1153,-0.1153,-0.0493,1.0
2023-09-18,0.5894,0.5433,0.0461,-0.3584,0.0,0.1431,0.1775,20.0,20.0,-0.1782,-0.4737,-0.4737,-0.4737,-0.0015999999999999973,1.0
2023-09-19,0.5151,0.492,0.0231,-0.1816,0.0,0.1538,0.1324,20.0,20.0,-0.1421,-0.6553,-0.6553,-0.6553,0.006633333333333335,1.0
2023-09-21,0.4215,0.4127,0.0087,-0.0026,0.0,0.1011,0.1052,20.0,20.0,-0.1178,-0.6579,-0.6579,-0.6579,0.007150000000000001,1.0
2023-09-24,0.5954,0.5723,0.023,-0.1767,0.0,0.1304,0.1776,20.0,20.0,-0.1435,-0.8346,-0.8346,-0.8346,0.010320000000000001,1.0
2023-09-25,0.5506,0.514,0.0366,-0.06,0.0,0.1799,0.2081,20.0,20.0,-0.1138,-0.7793000000000001,-0.8946000000000001,-0.8946000000000001,0.0147,1.0
2023-09-26,0.6074,0.5828,0.0246,-0.2784,0.0,0.1016,0.1301,20.0,20.0,-0.1475,-0.6993,-1.173,-1.173,0.016114285714285713,1.0
2023-09-27,0.6767,0.6405,0.0362,-0.2569,0.0,0.3194,0.3464,20.0,20.0,-0.1158,-0.7746,-1.4299,-1.4299,0.018625000000000003,1.0
2023-10-01,0.6075,0.5848,0.0227,-0.2305,0.0,0.0965,0.1314,20.0,20.0,-0.0807,-1.0025,-1.6604,-1.6604,0.01907777777777778,1.0
2023-10-02,0.6859,0.5999,0.0859,-0.1221,0.0,0.1187,0.149,20.0,20.0,-0.1018,-0.9479,-1.7825,-1.7825,0.025759999999999998,1.0
2023-10-03,0.5813,0.5074,0.0739,-0.201,0.0,0.0881,0.0776,20.0,20.0,-0.0121,-1.0889,-1.9835,-1.9835,0.030136363636363638,1.0
2023-10-04,0.6259,0.5411,0.0848,-0.0079,0.0,0.0926,0.1047,20.0,20.0,-0.0678,-0.8184,-1.9914,-1.9914,0.03469166666666667,1.0
2023-10-05,0.7003,0.6657,0.0346,-0.04,0.0,0.0956,0.1456,20.0,20.0,-0.0999,-0.6015000000000001,-2.0314,-2.0314,0.03468461538461538,1.0
2023-10-08,0.7133,0.7044,0.009,-0.1231,0.0,0.0915,0.1098,20.0,20.0,-0.103,-0.49410000000000004,-2.1545,-2.1545,0.03285,1.0
2023-10-09,0.5848,0.5319,0.0529,-0.1595,0.0,0.1204,0.1582,20.0,20.0,-0.0908,-0.5315000000000001,-2.314,-2.314,0.03418666666666667,1.0
2023-10-10,0.7216,0.7017,0.0199,-0.2568,0.0,0.0835,0.1211,20.0,20.0,-0.0851,-0.5872999999999999,-2.5708,-2.5708,0.03329375,1.0
2023-10-11,0.673,0.6648,0.0082,-0.2494,0.0,0.0859,0.1042,20.0,20.0,-0.0883,-0.8288,-2.8202,-2.8202,0.031817647058823534,1.0
2023-10-12,0.6278,0.5785,0.0493,-0.0594,0.0,0.0896,0.1081,20.0,20.0,-0.1217,-0.8482,-2.8796,-2.8796,0.032788888888888895,1.0
2023-10-16,0.623,0.6718,-0.0487,0.0587,1.0,0.0958,0.1111,20.0,20.0,-0.1027,-0.6664,-2.8209,-2.8209,0.028499999999999998,1.0
2023-10-17,0.6664,0.6096,0.0568,-0.307,0.0,0.1831,0.2265,14.0,24.0,-0.1064,-0.8139,-3.1279,-3.1279,0.029915000000000004,1.0
2023-10-18,0.7,0.6336,0.0665,0.277,1.0,0.1167,0.1547,19.0,20.0,-0.0336,-0.2800999999999999,-2.7356,-2.8509,0.035705,1.0
2023-10-19,0.6423,0.6163,0.0259,0.0878,1.0,0.1521,0.1453,20.0,20.0,-0.0947,0.057100000000000053,-2.2894,-2.7631,0.034695,0.0
2023-10-29,0.758,0.7001,0.058,-0.3399,0.0,0.1523,0.1919,20.0,20.0,-0.1529,-0.22339999999999993,-2.4477,-3.1029999999999998,0.03644,1.0
2023-10-30,0.719,0.6619,0.0571,-0.3503,0.0,0.1006,0.1351,20.0,20.0,-0.156,-0.6323999999999999,-2.7954,-3.4533,0.03886,1.0
2023-10-31,0.7638,0.7327,0.0311,-0.2072,0.0,0.1146,0.1783,20.0,20.0,-0.1337,-0.5326,-2.8259,-3.6605,0.039265,1.0
2023-11-01,0.7938,0.7202,0.0736,-0.0164,0.0,0.1036,0.1442,20.0,20.0,-0.1095,-0.826,-2.7822999999999998,-3.6769,0.041115,1.0
2023-11-02,0.6209,0.5616,0.0593,0.0656,1.0,0.1676,0.1657,20.0,20.0,-0.076,-0.8482,-2.4383,-3.6113,0.04285,1.0
2023-11-05,0.6596,0.603,0.0566,-0.303,0.0,0.0941,0.1146,20.0,20.0,-0.0513,-0.8112999999999999,-2.4844,-3.9143,0.04387,1.0
2023-11-06,0.6237,0.5665,0.0572,-0.3932,0.0,0.119,0.1651,20.0,20.0,-0.1197,-0.8541999999999998,-2.6471,-4.3075,0.045595000000000004,1.0
2023-11-07,0.618,0.5582,0.0598,0.1392,1.0,0.1156,0.1193,20.0,20.0,-0.0557,-0.5077999999999998,-2.3857999999999997,-4.1683,0.044289999999999996,1.0
2023-11-08,0.6246,0.5971,0.0275,-0.0872,0.0,0.1378,0.1948,20.0,20.0,-0.0245,-0.5785999999999999,-2.2720000000000002,-4.2555,0.04197,1.0
