date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7639,0.7639,0.0,-0.2464,0.0,0.1373,0.2111,18.0,19.0,-0.0019,-0.2464,-0.2464,-0.2464,0.0,1.0
2023-01-24,0.8083,0.7887,0.0196,0.1473,1.0,0.3058,0.4319,18.0,22.0,0.0061,-0.09910000000000002,-0.09910000000000002,-0.09910000000000002,0.0098,1.0
2023-01-25,0.74,0.7234,0.0167,0.3646,1.0,0.1575,0.2147,18.0,22.0,0.2147,0.26549999999999996,0.26549999999999996,0.26549999999999996,0.0121,0.0
2023-01-26,0.5671,0.5671,0.0,0.1253,1.0,0.1105,0.0851,15.0,23.0,0.0232,0.3907999999999999,0.3907999999999999,0.3907999999999999,0.009075,0.0
2023-01-29,0.79,0.79,0.0,0.431,1.0,0.3862,0.48,15.0,19.0,-0.0831,0.8218,0.8218,0.8218,0.00726,0.0
2023-01-30,0.7118,0.7118,0.0,0.1095,1.0,0.1845,0.2344,17.0,21.0,0.172,1.1777,0.9313,0.9313,0.00605,0.0
2023-01-31,0.6553,0.6553,0.0,-0.1926,0.0,0.0964,0.1179,20.0,19.0,0.01,0.8378000000000001,0.7386999999999999,0.7386999999999999,0.005185714285714286,0.0
2023-02-01,0.9025,0.9025,0.0,-0.1754,0.0,0.2027,0.2853,21.0,14.0,0.2639,0.2978,0.5632999999999999,0.5632999999999999,0.0045375,0.0
2023-02-02,0.7027,0.7027,0.0,0.4322,1.0,0.6496,0.5631,10.0,22.0,0.5631,0.6047,0.9954999999999999,0.9954999999999999,0.004033333333333333,0.0
2023-02-05,0.8189,0.8189,0.0,0.1711,1.0,0.1334,0.1452,11.0,25.0,0.0099,0.3448,1.1665999999999999,1.1665999999999999,0.00363,0.0
2023-02-06,0.8446,0.8446,0.0,0.2176,1.0,0.2283,0.2809,8.0,21.0,-0.0562,0.45289999999999997,1.3841999999999999,1.3841999999999999,0.0033,0.0
2023-02-07,0.7574,0.7574,0.0,0.1715,1.0,0.1356,0.1709,14.0,22.0,-0.0064,0.817,1.5556999999999999,1.5556999999999999,0.003025,0.0
2023-02-08,0.8173,0.7794,0.0379,-0.1277,0.0,0.4021,0.396,6.0,33.0,-0.2043,0.8647,1.428,1.428,0.005707692307692308,0.0
2023-02-09,0.8024,0.8024,0.0,0.3739,1.0,0.1771,0.2428,18.0,14.0,0.0065,0.8064,1.8018999999999998,1.8018999999999998,0.0053,0.0
2023-02-12,0.7922,0.7922,0.0,-0.0657,0.0,0.1036,0.1551,20.0,15.0,0.0367,0.5696,1.7362,1.7362,0.004946666666666667,0.0
2023-02-14,0.7814,0.7814,0.0,0.2392,1.0,0.2691,0.3198,17.0,18.0,-0.0213,0.5912,1.9754,1.9754,0.0046375,0.0
2023-02-15,0.9181,0.9181,0.0,0.1678,1.0,0.4612,0.5985,8.0,18.0,0.0176,0.5875,2.1431999999999998,2.1431999999999998,0.0043647058823529416,0.0
2023-02-16,0.6862,0.6862,0.0,0.2538,1.0,0.2323,0.2476,14.0,17.0,0.2476,0.9690000000000001,2.397,2.397,0.004122222222222222,0.0
