date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-06-26,14900.0,14900.0,0.0,7500.0,1.0,0.1763,0.1149,9.0,20.0,-900.0,7500.0,7500.0,7500.0,0.0,0.0
2025-06-29,12190.0,12190.0,0.0,800.0,1.0,0.1507,0.1146,10.0,20.0,-2800.0,8300.0,8300.0,8300.0,0.0,0.0
2025-06-30,5900.0,5900.0,0.0,3450.0,1.0,0.5921,0.3077,3.0,22.0,-200.0,11750.0,11750.0,11750.0,0.0,0.0
2025-07-01,4900.0,4900.0,0.0,-700.0,0.0,0.2345,0.1545,6.0,18.0,900.0,11050.0,11050.0,11050.0,0.0,0.0
2025-07-02,7800.0,7800.0,0.0,400.0,1.0,0.4671,0.3049,5.0,17.0,1700.0,11450.0,11450.0,11450.0,0.0,0.0
2025-07-03,8400.0,8400.0,0.0,5900.0,1.0,0.71,0.368,4.0,23.0,1000.0,9850.0,17350.0,17350.0,0.0,0.0
2025-07-06,9750.0,9750.0,0.0,2850.0,1.0,0.304,0.1884,5.0,19.0,2400.0,11900.0,20200.0,20200.0,0.0,0.0
2025-07-07,2020.0,2020.0,0.0,-280.0,0.0,0.3109,0.1596,5.0,9.0,220.0,8170.0,19920.0,19920.0,0.0,0.0
2025-07-08,3335.0,3335.0,0.0,-480.0,0.0,0.372,0.1699,4.0,8.0,1320.0,8390.0,19440.0,19440.0,0.0,0.0
2025-07-09,800.0,800.0,0.0,400.0,1.0,1.0,0.2857,1.0,7.0,800.0,8390.0,19840.0,19840.0,0.0,0.0
2025-07-10,2100.0,2100.0,0.0,100.0,1.0,0.2834,0.1176,4.0,9.0,600.0,2590.0,19940.0,19940.0,0.0,0.0
2025-07-13,5710.0,5710.0,0.0,3320.0,1.0,0.3045,0.2067,7.0,18.0,2820.0,3060.0,23260.0,23260.0,0.0,0.0
2025-07-14,104740.0,104740.0,0.0,-22751.0,0.0,0.4001,0.2992,17.0,11.0,63339.0,-19411.0,509.0,509.0,0.0,1.0
2025-07-15,8000.0,8000.0,0.0,-4100.0,0.0,0.6731,0.3693,4.0,15.0,700.0,-23031.0,-3591.0,-3591.0,0.0,1.0
2025-07-16,47570.0,47570.0,0.0,-17720.0,0.0,0.3319,0.2035,5.0,21.0,-14679.0,-41151.0,-21311.0,-21311.0,0.0,1.0
2025-07-17,82799.0,82799.0,0.0,-53699.0,0.0,0.3177,0.2375,13.0,14.0,-58839.0,-94950.0,-75010.0,-75010.0,0.0,1.0
2025-07-20,317951.0,317951.0,0.0,-10651.0,0.0,0.8984,0.4735,5.0,15.0,-7941.0,-108921.0,-85661.0,-85661.0,0.0,1.0
2025-07-21,15980.0,15980.0,0.0,-1880.0,0.0,0.6865,0.3962,3.0,22.0,-700.0,-88050.0,-87541.0,-87541.0,0.0,1.0
2025-07-22,19800.0,19800.0,0.0,700.0,1.0,0.597,0.3416,6.0,17.0,15100.0,-83250.0,-86841.0,-86841.0,0.0,1.0
2025-07-23,19000.0,19000.0,0.0,-4050.0,0.0,0.396,0.1818,6.0,13.0,-400.0,-69580.0,-90891.0,-90891.0,0.0,1.0
2025-07-24,12965.0,12965.0,0.0,-1700.0,0.0,0.6123,0.3632,8.0,17.0,100.0,-17581.0,-100091.0,-92591.0,0.0,1.0
2025-07-27,915211.0,915211.0,0.0,12111.0,1.0,0.9673,0.4887,5.0,19.0,14111.0,5181.0,-88780.0,-80480.0,0.0,0.0
2025-07-28,139480.0,139480.0,0.0,124272.0,1.0,0.9088,0.4675,4.0,21.0,132880.0,131333.0,32042.0,43792.0,0.0,0.0
2025-07-29,119680.0,119680.0,0.0,8500.0,1.0,0.8064,0.4417,5.0,25.0,-200.0,139133.0,41242.0,52292.0,0.0,0.0
2025-07-30,14193.0,14193.0,0.0,6508.0,1.0,0.2561,0.1498,7.0,15.0,3800.0,149691.0,47350.0,58800.0,0.0,0.0
2025-07-31,8600.0,8600.0,0.0,-3600.0,0.0,0.5379,0.3315,4.0,18.0,2200.0,147791.0,37850.0,55200.0,0.0,0.0
2025-08-03,12400.0,12400.0,0.0,5600.0,1.0,1.0,0.4662,1.0,19.0,12400.0,141280.0,40600.0,60800.0,0.0,0.0
2025-08-04,10520.0,10520.0,0.0,-5420.0,0.0,0.8904,0.2799,4.0,23.0,-1920.0,11588.0,35460.0,55380.0,0.0,0.0
2025-08-05,2800.0,2800.0,0.0,-700.0,0.0,0.2009,0.1357,7.0,13.0,400.0,2388.0,35240.0,54680.0,0.0,0.0
2025-08-06,18800.0,18800.0,0.0,16600.0,1.0,0.7405,0.4107,7.0,19.0,-310.0,12480.0,51440.0,71280.0,0.0,0.0
2025-08-07,4600.0,4600.0,0.0,1000.0,1.0,0.3989,0.2596,6.0,16.0,2700.0,17080.0,52340.0,72280.0,0.0,0.0
2025-08-11,7500.0,7500.0,0.0,5600.0,1.0,0.7586,0.3457,5.0,15.0,6500.0,17080.0,54620.0,77880.0,0.0,0.0
2025-08-12,5550.0,5550.0,0.0,1250.0,1.0,0.3867,0.1986,4.0,10.0,1850.0,23750.0,78621.0,79130.0,0.0,0.0
2025-08-13,2910.0,2910.0,0.0,2000.0,1.0,0.4433,0.2068,4.0,14.0,1700.0,26450.0,84721.0,81130.0,0.0,0.0
2025-08-14,2130.0,2130.0,0.0,500.0,1.0,0.7492,0.3352,3.0,11.0,-400.0,10350.0,102941.0,81630.0,0.0,0.0
2025-08-17,5800.0,5800.0,0.0,-800.0,0.0,0.4263,0.2071,4.0,14.0,2900.0,8550.0,155840.0,80830.0,0.0,0.0
2025-08-18,14000.0,14000.0,0.0,10700.0,1.0,0.8127,0.4315,6.0,12.0,12600.0,13650.0,177191.0,91530.0,0.0,0.0
2025-08-19,9590.0,9590.0,0.0,500.0,1.0,0.4442,0.2932,4.0,16.0,5800.0,12900.0,179571.0,92030.0,0.0,0.0
2025-08-20,3850.0,3850.0,0.0,1650.0,1.0,1.0,0.4231,1.0,15.0,3850.0,12550.0,180521.0,93680.0,0.0,0.0
2025-08-21,11320.0,11320.0,0.0,10520.0,1.0,0.3629,0.1824,6.0,8.0,6320.0,22570.0,195091.0,104200.0,0.0,0.0
2025-08-24,5150.0,5150.0,0.0,3250.0,1.0,0.6086,0.3496,4.0,9.0,3950.0,26620.0,200041.0,107450.0,0.0,0.0
2025-08-25,2400.0,2400.0,0.0,-200.0,0.0,0.309,0.1897,4.0,10.0,1100.0,15720.0,187730.0,107250.0,0.0,0.0
2025-08-26,1600.0,1600.0,0.0,-200.0,0.0,0.2656,0.1562,5.0,7.0,-500.0,15020.0,63258.0,107050.0,0.0,0.0
2025-08-27,21810.0,21810.0,0.0,-200.0,0.0,0.7788,0.4172,7.0,15.0,19210.0,13170.0,54558.0,106850.0,0.0,0.0
2025-08-28,2600.0,2600.0,0.0,-1150.0,0.0,0.1723,0.1429,9.0,9.0,-700.0,1500.0,46900.0,105700.0,0.0,0.0
2025-08-31,6540.0,6540.0,0.0,240.0,1.0,0.7073,0.3089,3.0,14.0,1040.0,-1510.0,50740.0,105940.0,0.0,1.0
2025-09-01,4300.0,4300.0,0.0,-1900.0,0.0,0.2764,0.186,5.0,10.0,-1000.0,-3210.0,43240.0,104040.0,0.0,1.0
2025-09-02,5290.0,5290.0,0.0,-1350.0,0.0,0.369,0.2145,5.0,14.0,-1070.0,-4360.0,47310.0,102690.0,0.0,1.0
2025-09-03,1300.0,1300.0,0.0,-800.0,0.0,0.6213,0.3571,3.0,9.0,-400.0,-4960.0,47210.0,101890.0,0.0,1.0
2025-09-04,5600.0,5600.0,0.0,-1100.0,0.0,0.3935,0.2627,4.0,8.0,200.0,-4910.0,29510.0,100790.0,0.0,1.0
2025-09-07,11700.0,11700.0,0.0,-6000.0,0.0,0.4076,0.2227,5.0,9.0,-1100.0,-11150.0,22510.0,94790.0,0.0,1.0
2025-09-08,900.0,900.0,0.0,-300.0,0.0,0.3827,0.2273,4.0,5.0,-100.0,-9550.0,16610.0,94490.0,0.0,1.0
2025-09-21,1900.0,1900.0,0.0,-300.0,0.0,0.2521,0.1579,5.0,9.0,-700.0,-8500.0,15060.0,94190.0,0.0,1.0
2025-09-23,3700.0,3700.0,0.0,-2200.0,0.0,0.1687,0.102,8.0,9.0,-900.0,-9900.0,10860.0,91990.0,0.0,1.0
2025-09-24,15330.0,15330.0,0.0,-7140.0,0.0,0.6212,0.3637,7.0,16.0,-1800.0,-15940.0,3220.0,84850.0,0.0,1.0
2025-09-25,1500.0,1500.0,0.0,-400.0,0.0,0.4133,0.2667,3.0,5.0,0.0,-10340.0,3620.0,84450.0,0.0,1.0
2025-09-28,10200.0,10200.0,0.0,2800.0,1.0,0.2118,0.1346,6.0,8.0,-500.0,-7240.0,-4280.0,87250.0,0.0,1.0
2025-10-07,17000.0,17000.0,0.0,600.0,1.0,0.357,0.2295,6.0,15.0,0.0,-6340.0,-4180.0,87850.0,0.0,1.0
2025-10-08,11000.0,11000.0,0.0,-9300.0,0.0,0.42,0.1988,8.0,8.0,-1300.0,-13440.0,-15130.0,78550.0,0.0,1.0
2025-10-09,2800.0,2800.0,0.0,-800.0,0.0,0.7449,0.4286,3.0,6.0,-700.0,-7100.0,-26450.0,77750.0,0.0,1.0
2025-10-12,4430.0,4430.0,0.0,-4130.0,0.0,0.3804,0.2844,6.0,9.0,-1400.0,-10830.0,-33830.0,66120.0,0.0,1.0
2025-10-13,12800.0,12800.0,0.0,-2600.0,0.0,0.5432,0.3297,6.0,11.0,-500.0,-16230.0,-36230.0,62720.0,0.0,1.0
2025-10-14,7000.0,7000.0,0.0,2100.0,1.0,0.5384,0.3472,4.0,6.0,-1520.0,-14730.0,-33930.0,61370.0,0.0,1.0
2025-10-15,3320.0,3320.0,0.0,-2620.0,0.0,0.7333,0.4247,3.0,7.0,-300.0,-8050.0,-36350.0,59450.0,0.0,1.0
2025-10-16,900.0,900.0,0.0,-700.0,0.0,0.4074,0.25,3.0,5.0,-500.0,-7950.0,-35900.0,58350.0,0.0,1.0
2025-10-19,300.0,300.0,0.0,-100.0,0.0,0.3333,0.125,3.0,3.0,-100.0,-3920.0,-36240.0,52350.0,0.0,1.0
2025-10-26,650.0,650.0,0.0,150.0,1.0,0.503,0.1129,2.0,5.0,350.0,-1170.0,-34190.0,49650.0,0.0,1.0
2025-10-28,2120.0,2120.0,0.0,-500.0,0.0,0.337,0.2523,6.0,9.0,-700.0,-3770.0,-33340.0,49430.0,0.0,1.0
2025-10-29,5120.0,5120.0,0.0,1450.0,1.0,0.2303,0.1589,6.0,7.0,1850.0,300.0,-31090.0,51360.0,0.0,0.0
2025-10-30,900.0,900.0,0.0,-600.0,0.0,0.2593,0.1667,6.0,6.0,-400.0,400.0,-30590.0,50360.0,0.0,0.0
2025-11-02,25200.0,25200.0,0.0,-1700.0,0.0,0.9843,0.4753,2.0,13.0,-500.0,-1200.0,-26290.0,48560.0,0.0,1.0
2025-11-03,28000.0,28000.0,0.0,-2900.0,0.0,0.5397,0.349,8.0,11.0,-1800.0,-4250.0,-28890.0,42340.0,0.0,1.0
2025-11-04,3000.0,3000.0,0.0,500.0,1.0,0.2978,0.1613,4.0,7.0,-1300.0,-3250.0,-28090.0,65591.0,0.0,1.0
2025-11-05,500.0,500.0,0.0,0.0,0.0,0.44,0.3,3.0,4.0,-200.0,-4700.0,-25890.0,69691.0,0.0,1.0
2025-11-06,13700.0,13700.0,0.0,-300.0,0.0,0.7125,0.4197,7.0,10.0,-500.0,-4400.0,-19050.0,87111.0,0.0,1.0
2025-11-09,11700.0,11700.0,0.0,-10050.0,0.0,0.3917,0.2714,7.0,10.0,-10200.0,-12750.0,-28700.0,130760.0,0.0,1.0
2025-11-10,1650.0,1650.0,0.0,950.0,1.0,0.3756,0.2115,4.0,6.0,850.0,-8900.0,-30550.0,142361.0,0.0,1.0
