date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8756,0.8756,0.0,-0.2444,0.0,0.1988,0.2937,14.0,10.0,0.0583,-0.2444,-0.2444,-0.2444,0.0,1.0
2023-01-24,0.8927,0.8927,0.0,0.1684,1.0,0.1412,0.2316,15.0,12.0,0.0576,-0.07600000000000001,-0.07600000000000001,-0.07600000000000001,0.0,1.0
2023-01-25,0.6437,0.6437,0.0,-0.2039,0.0,0.1336,0.1379,16.0,9.0,-0.3251,-0.27990000000000004,-0.27990000000000004,-0.27990000000000004,0.0,1.0
2023-01-26,0.6646,0.6646,0.0,0.0987,1.0,0.4288,0.3527,5.0,10.0,-0.3347,-0.18120000000000003,-0.18120000000000003,-0.18120000000000003,0.0,1.0
2023-01-29,0.9197,0.9197,0.0,0.1105,1.0,0.3243,0.5042,14.0,15.0,-0.1554,-0.07070000000000001,-0.07070000000000001,-0.07070000000000001,0.0,1.0
2023-01-30,0.6763,0.6763,0.0,-0.1746,0.0,0.1901,0.2247,11.0,15.0,-0.04,-0.0009000000000000119,-0.24530000000000002,-0.24530000000000002,0.0,1.0
2023-01-31,0.8943,0.8943,0.0,-0.2363,0.0,0.1227,0.1921,13.0,12.0,-0.1258,-0.4056,-0.48160000000000003,-0.48160000000000003,0.0,1.0
2023-02-01,0.9198,0.9198,0.0,-0.2193,0.0,0.2507,0.3476,8.0,7.0,0.0214,-0.42100000000000004,-0.7009000000000001,-0.7009000000000001,0.0,1.0
2023-02-02,0.8614,0.8614,0.0,-0.1128,0.0,0.1225,0.1912,16.0,9.0,0.1099,-0.6325000000000001,-0.8137,-0.8137,0.0,1.0
2023-02-05,0.8005,0.8005,0.0,0.1752,1.0,0.2738,0.2965,6.0,7.0,0.2965,-0.5678000000000001,-0.6385000000000001,-0.6385000000000001,0.0,1.0
2023-02-06,0.9848,0.9848,0.0,-0.4931,0.0,0.1998,0.3546,10.0,8.0,-0.0194,-0.8863,-1.1316,-1.1316,0.0,1.0
2023-02-07,0.6122,0.6122,0.0,0.0419,1.0,0.2013,0.1784,9.0,14.0,-0.0216,-0.6081,-1.0897,-1.0897,0.0,1.0
2023-02-08,0.9277,0.9277,0.0,0.552,1.0,0.2723,0.3458,14.0,10.0,0.0019,0.16320000000000012,-0.5377,-0.5377,0.0,0.0
2023-02-09,0.7715,0.7715,0.0,-0.3574,0.0,0.2199,0.2724,10.0,11.0,-0.321,-0.08139999999999992,-0.8951,-0.8951,0.0,1.0
