date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-03-15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2023-03-16,0.974,0.974,0.0,0.5234,1.0,1.0,0.974,1.0,12.0,-0.1562,1.5234,1.5234,1.5234,0.0,0.0
2023-03-19,1.0,1.0,0.0,-0.1569,0.0,0.8231,0.902,2.0,12.0,-0.1176,1.3665,1.3665,1.3665,0.0,0.0
2023-03-20,0.9396,0.9396,0.0,-0.5154,0.0,0.5598,0.6846,4.0,14.0,-0.0483,0.8511,0.8511,0.8511,0.0,0.0
2023-03-22,0.8647,0.8647,0.0,-0.6232,0.0,0.348,0.4493,5.0,14.0,-0.087,0.2279,0.2279,0.2279,0.0,0.0
2023-03-23,0.7812,0.7812,0.0,-0.375,0.0,0.1968,0.2188,6.0,10.0,0.0625,-1.1471,-0.1471,-0.1471,0.0,1.0
2023-03-26,0.3333,0.3333,0.0,-0.058,0.0,0.1947,0.087,6.0,8.0,-0.0725,-1.7285000000000001,-0.2051,-0.2051,0.0,1.0
2023-03-27,0.4325,0.4325,0.0,-0.2628,0.0,0.2027,0.1195,6.0,12.0,0.0,-1.8344,-0.4679,-0.4679,0.0,1.0
2023-03-28,1.0,1.0,0.0,-0.8182,0.0,0.5537,0.7273,4.0,7.0,-0.3636,-2.1372,-1.2861,-1.2861,0.0,1.0
2023-03-29,1.0,1.0,0.0,-0.2857,0.0,0.2245,0.2857,5.0,4.0,0.1429,-1.7997,-1.5718,-1.5718,0.0,1.0
2023-03-30,0.4314,0.4314,0.0,0.0392,1.0,0.4876,0.2745,3.0,9.0,0.0,-1.3855,-1.5326,-1.5326,0.0,1.0
2023-04-02,0.6763,0.6763,0.0,-0.4604,0.0,0.5111,0.3885,2.0,10.0,0.0,-1.7879,-1.9929999999999999,-1.9929999999999999,0.0,1.0
2023-04-03,1.0,1.0,0.0,-0.6364,0.0,0.2727,0.3636,4.0,3.0,-0.6364,-2.1615,-2.6294,-2.6294,0.0,1.0
2023-04-04,0.4211,0.4211,0.0,0.0,0.0,0.34,0.2105,4.0,6.0,-0.0421,-1.3433,-2.6294,-2.6294,0.0,1.0
2023-04-05,0.8224,0.8224,0.0,0.403,1.0,0.38,0.382,5.0,11.0,-0.0229,-0.6545999999999998,-2.2264,-2.2264,0.0,1.0
2023-04-06,0.8467,0.8467,0.0,0.1951,1.0,0.3689,0.4181,4.0,10.0,-0.0418,-0.49869999999999987,-2.0313,-2.0313,0.0,1.0
2023-04-09,1.0,1.0,0.0,-0.4138,0.0,0.5149,0.5862,2.0,4.0,-0.2759,-0.45209999999999995,-2.4451,-2.4451,0.0,1.0
