date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,28209.0,27489.0,0.0093,12133.0,1.0,0.833,0.3304,12.0,28.0,25692.0,12133.0,12133.0,12133.0,0.0093,0.0
2023-01-24,20584.0,20009.0,0.0093,-22.0,0.0,0.1939,0.122,16.0,24.0,3674.0,12111.0,12111.0,12111.0,0.0093,0.0
2023-01-25,26344.0,24110.0,0.0244,10050.0,1.0,0.1246,0.0629,19.0,21.0,3515.0,22161.0,22161.0,22161.0,0.014333333333333332,0.0
2023-01-26,22014.0,20814.0,0.0174,5616.0,1.0,0.4539,0.2124,15.0,25.0,14627.0,27777.0,27777.0,27777.0,0.015099999999999999,0.0
2023-01-29,44805.0,43513.0,0.0109,-4817.0,0.0,0.3837,0.2152,14.0,26.0,-23305.0,22960.0,22960.0,22960.0,0.01426,0.0
2023-01-30,22636.0,22506.0,0.0019,-7382.0,0.0,0.1472,0.0723,20.0,20.0,-11762.0,3445.0,15578.0,15578.0,0.0122,0.0
2023-01-31,14944.0,14494.0,0.0104,-3137.0,0.0,0.2204,0.1334,13.0,27.0,-1577.0,330.0,12441.0,12441.0,0.011942857142857142,0.0
2023-02-01,9777.0,9477.0,0.0102,3203.0,1.0,0.265,0.1558,16.0,24.0,4570.0,-6517.0,15644.0,15644.0,0.011725,1.0
2023-02-02,14324.0,14184.0,0.0037,2764.0,1.0,0.1874,0.1341,17.0,21.0,1831.0,-9369.0,18408.0,18408.0,0.010833333333333334,1.0
2023-02-05,12920.0,12820.0,0.0026,1015.0,1.0,0.1339,0.0883,20.0,20.0,3435.0,-3537.0,19423.0,19423.0,0.01001,1.0
2023-02-06,11456.0,11426.0,0.0009,3247.0,1.0,0.2067,0.1438,20.0,20.0,4629.0,7092.0,22670.0,22670.0,0.009181818181818182,0.0
2023-02-07,12092.0,12112.0,-0.0003,1805.0,1.0,0.0925,0.0349,20.0,20.0,165.0,12034.0,24475.0,24475.0,0.008391666666666667,0.0
2023-02-08,12056.0,11916.0,0.004,-1905.0,0.0,0.1092,0.0794,20.0,20.0,-3576.0,6926.0,22570.0,22570.0,0.008053846153846154,0.0
2023-02-09,11636.0,11525.0,0.0041,-328.0,0.0,0.1964,0.1643,16.0,24.0,-515.0,3834.0,22242.0,22242.0,0.007771428571428571,0.0
2023-02-12,52698.0,53258.0,-0.0043,-12903.0,0.0,0.1609,0.129,20.0,20.0,-42079.0,-10084.0,9339.0,9339.0,0.006966666666666666,1.0
2023-02-14,11558.0,11415.0,0.0048,671.0,1.0,0.1995,0.1313,19.0,20.0,-3115.0,-12660.0,10010.0,10010.0,0.00683125,1.0
2023-02-15,12913.0,13143.0,-0.0058,-5239.0,0.0,0.1331,0.0868,20.0,20.0,-2060.0,-19704.0,4771.0,4771.0,0.006088235294117647,1.0
2023-02-16,9379.0,9559.0,-0.0069,3909.0,1.0,0.0976,0.0729,20.0,20.0,412.0,-13890.0,8680.0,8680.0,0.005366666666666667,1.0
2023-02-20,4872.0,4752.0,0.0081,50.0,1.0,0.0904,0.051,19.0,21.0,-630.0,-13512.0,8730.0,8730.0,0.0055105263157894735,1.0
2023-02-22,8315.0,8140.0,0.0077,1510.0,1.0,0.1763,0.1176,17.0,21.0,-180.0,901.0,10240.0,10240.0,0.00562,0.0
2023-02-23,8969.0,9164.0,-0.0061,3714.0,1.0,0.0991,0.062,20.0,20.0,82.0,3944.0,1821.0,13954.0,0.00485,0.0
2023-02-26,9743.0,9588.0,0.0052,1847.0,1.0,0.1365,0.0867,15.0,23.0,-395.0,11030.0,3690.0,15801.0,0.004645,0.0
2023-02-27,9610.0,9650.0,-0.0012,1198.0,1.0,0.143,0.0761,20.0,20.0,1378.0,8319.0,-5162.0,16999.0,0.003365,0.0
2023-02-28,11101.0,11116.0,-0.0002,-4553.0,0.0,0.1311,0.0514,20.0,20.0,1170.0,3716.0,-15331.0,12446.0,0.0024850000000000002,0.0
2023-03-01,8708.0,8628.0,0.0031,-1330.0,0.0,0.1338,0.0932,18.0,22.0,-6174.0,876.0,-11844.0,11116.0,0.0020950000000000005,0.0
2023-03-02,7565.0,7535.0,0.0016,-1749.0,0.0,0.1443,0.1252,20.0,20.0,-2350.0,-4587.0,-6211.0,9367.0,0.00208,1.0
2023-03-05,9375.0,9355.0,0.0008,-5200.0,0.0,0.2189,0.1609,20.0,20.0,-190.0,-11634.0,-8274.0,4167.0,0.0016,1.0
2023-03-07,3490.0,3490.0,0.0,820.0,1.0,0.3039,0.1794,13.0,27.0,-100.0,-12012.0,-10657.0,4987.0,0.0010899999999999998,1.0
2023-03-09,5976.0,5886.0,0.0045,-1661.0,0.0,0.1543,0.0733,19.0,20.0,238.0,-9120.0,-15082.0,3326.0,0.00113,1.0
2023-03-12,8409.0,8289.0,0.0048,-1116.0,0.0,0.1405,0.0753,19.0,20.0,1870.0,-8906.0,-17213.0,2210.0,0.0012399999999999998,1.0
2023-03-13,11635.0,11441.0,0.0065,-5115.0,0.0,0.2822,0.1677,11.0,28.0,-630.0,-12272.0,-25575.0,-2905.0,0.00152,1.0
2023-03-14,6392.0,6262.0,0.0067,-4216.0,0.0,0.4663,0.2213,14.0,26.0,-470.0,-11288.0,-31596.0,-7121.0,0.0018699999999999997,1.0
2023-03-15,6390.0,6330.0,0.0036,-2045.0,0.0,0.4266,0.2449,12.0,27.0,-140.0,-14153.0,-31736.0,-9166.0,0.0018499999999999999,1.0
2023-03-16,6802.0,6772.0,0.0018,1098.0,1.0,0.1624,0.1091,17.0,22.0,-1430.0,-11394.0,-30310.0,-8068.0,0.001735,1.0
2023-03-19,6855.0,6685.0,0.0099,-2350.0,0.0,0.2696,0.1735,12.0,27.0,-3560.0,-12628.0,-19757.0,-10418.0,0.002445,1.0
2023-03-20,9519.0,8999.0,0.0183,4773.0,1.0,0.7096,0.2805,9.0,31.0,-850.0,-2740.0,-15655.0,-5645.0,0.0031200000000000004,1.0
2023-03-22,9727.0,9849.0,-0.0045,-6423.0,0.0,0.1179,0.092,20.0,20.0,-490.0,-4947.0,-16839.0,-12068.0,0.0031849999999999995,1.0
2023-03-23,4310.0,4260.0,0.0042,-577.0,0.0,0.2259,0.1493,17.0,21.0,-70.0,-3479.0,-21325.0,-12645.0,0.0037400000000000003,1.0
2023-03-26,5568.0,5518.0,0.003,-2748.0,0.0,0.1441,0.0999,20.0,20.0,-250.0,-7325.0,-24123.0,-15393.0,0.003485,1.0
2023-03-27,9510.0,9490.0,0.0009,-1004.0,0.0,0.2895,0.2121,20.0,20.0,-1220.0,-5979.0,-26637.0,-16397.0,0.0031450000000000007,1.0
2023-03-28,2676.0,2546.0,0.0185,36.0,1.0,0.2042,0.1349,12.0,24.0,-140.0,-10716.0,-30315.0,-16361.0,0.0043749999999999995,1.0
2023-03-29,1748.0,1668.0,0.0183,187.0,1.0,0.1637,0.1074,15.0,22.0,-180.0,-4106.0,-31975.0,-16174.0,0.00503,1.0
2023-03-30,2904.0,2824.0,0.0097,-174.0,0.0,0.093,0.0606,20.0,20.0,-61.0,-3703.0,-33347.0,-16348.0,0.005574999999999999,1.0
2023-04-02,3729.0,3669.0,0.0047,-334.0,0.0,0.0918,0.0533,19.0,20.0,-381.0,-1289.0,-29128.0,-16682.0,0.0058200000000000005,1.0
2023-04-03,3582.0,3502.0,0.007,145.0,1.0,0.1119,0.0672,20.0,20.0,72.0,-140.0,-27653.0,-16537.0,0.0060149999999999995,1.0
2023-04-04,10583.0,10543.0,0.0016,-770.0,0.0,0.2417,0.1912,17.0,22.0,-840.0,-946.0,-26674.0,-17307.0,0.006015,1.0
2023-04-05,3695.0,3572.0,0.0088,2436.0,1.0,0.2755,0.1143,9.0,31.0,940.0,1303.0,-19038.0,-14871.0,0.006415,0.0
2023-04-06,3366.0,3336.0,0.0034,-422.0,0.0,0.101,0.0631,17.0,22.0,90.0,1055.0,-20280.0,-15293.0,0.006584999999999999,0.0
2023-04-09,5637.0,5617.0,0.0013,-310.0,0.0,0.0802,0.0553,20.0,20.0,-367.0,1079.0,-18929.0,-15603.0,0.006425,0.0
2023-04-10,7810.0,7670.0,0.0071,285.0,1.0,0.1469,0.09,15.0,23.0,-160.0,1219.0,-17528.0,-15318.0,0.00654,0.0
