date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-07-20,310.0,310.0,0.0,-190.0,0.0,1.0,0.4429,1.0,17.0,-40.0,-190.0,-190.0,-190.0,0.0,1.0
2025-07-21,410.0,410.0,0.0,-260.0,0.0,0.9524,0.4444,2.0,23.0,-40.0,-450.0,-450.0,-450.0,0.0,1.0
2025-07-22,480.0,480.0,0.0,210.0,1.0,1.0,0.48,1.0,27.0,-50.0,-240.0,-240.0,-240.0,0.0,1.0
2025-07-23,670.0,670.0,0.0,160.0,1.0,0.7563,0.4085,5.0,30.0,-150.0,-80.0,-80.0,-80.0,0.0,1.0
2025-07-24,650.0,650.0,0.0,405.0,1.0,0.6062,0.3478,3.0,29.0,-55.0,325.0,325.0,325.0,0.0,0.0
2025-07-27,1150.0,1150.0,0.0,-680.0,0.0,1.0,0.4915,1.0,38.0,-140.0,-165.0,-355.0,-355.0,0.0,1.0
2025-07-28,2520.0,2240.0,0.0561,-1560.0,0.0,0.455,0.2727,4.0,36.0,-220.0,-1465.0,-1915.0,-1915.0,0.008014285714285713,1.0
2025-07-29,2939.0,2519.0,0.0657,1094.0,1.0,0.7014,0.3792,5.0,35.0,2424.0,-581.0,-821.0,-821.0,0.015224999999999999,1.0
2025-07-30,3430.0,2625.0,0.1064,1675.0,1.0,0.8214,0.4085,2.0,37.0,3090.0,934.0,854.0,854.0,0.025355555555555555,0.0
2025-07-31,60800.0,68256.0,-0.0174,-29976.0,0.0,0.0717,0.0199,20.0,20.0,-26272.0,-29447.0,-29122.0,-29122.0,0.021079999999999998,1.0
2025-08-03,78741.0,76476.0,0.0064,-41964.0,0.0,0.1331,0.0702,20.0,20.0,-31452.0,-70731.0,-71086.0,-71086.0,0.01974545454545454,1.0
2025-08-04,62451.0,67306.0,-0.0158,-30612.0,0.0,0.1017,0.0367,20.0,20.0,-18628.0,-99783.0,-101698.0,-101698.0,0.016783333333333334,1.0
2025-08-05,15942.0,13986.0,0.0287,-6826.0,0.0,0.0597,0.0244,20.0,20.0,-3595.0,-107703.0,-108524.0,-108524.0,0.017699999999999997,1.0
2025-08-06,21700.0,20683.0,0.011,-5646.0,0.0,0.0694,0.0318,20.0,20.0,-3523.0,-115024.0,-114170.0,-114170.0,0.01722142857142857,1.0
2025-08-07,20693.0,22139.0,-0.0167,-14219.0,0.0,0.0636,0.0247,20.0,20.0,-1162.0,-99267.0,-128389.0,-128389.0,0.01496,1.0
2025-08-11,21507.0,23573.0,-0.0242,-651.0,0.0,0.071,0.0324,20.0,20.0,-1831.0,-57954.0,-129040.0,-129040.0,0.0125125,1.0
2025-08-12,18062.0,20695.0,-0.0331,4144.0,1.0,0.0893,0.0485,20.0,20.0,-1153.0,-23198.0,-124896.0,-124896.0,0.00982941176470588,1.0
2025-08-13,12083.0,10987.0,0.0235,263.0,1.0,0.0842,0.0361,20.0,20.0,-1541.0,-16109.0,-124633.0,-124633.0,0.010588888888888889,1.0
2025-08-14,17651.0,16021.0,0.0281,-5898.0,0.0,0.0935,0.059,20.0,20.0,347.0,-16361.0,-130531.0,-130531.0,0.011510526315789473,1.0
2025-08-17,17349.0,17581.0,-0.0027,-6395.0,0.0,0.0884,0.0368,20.0,20.0,-1828.0,-8537.0,-136926.0,-136926.0,0.0108,1.0
2025-08-18,13442.0,12646.0,0.0192,-1329.0,0.0,0.1226,0.0676,20.0,20.0,-2245.0,-9215.0,-138065.0,-138255.0,0.01176,1.0
