date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6166,0.6166,0.0,-0.3921,0.0,0.132,0.1596,21.0,16.0,-0.0184,-0.3921,-0.3921,-0.3921,0.0,1.0
2023-01-24,0.7635,0.7635,0.0,-0.1988,0.0,0.0994,0.1329,24.0,14.0,-0.2823,-0.5909,-0.5909,-0.5909,0.0,1.0
2023-01-25,0.9038,0.9038,0.0,0.2519,1.0,0.1836,0.3346,14.0,20.0,0.0802,-0.33899999999999997,-0.33899999999999997,-0.33899999999999997,0.0,1.0
2023-01-26,0.712,0.712,0.0,-0.0305,0.0,0.1055,0.1529,21.0,14.0,0.123,-0.36949999999999994,-0.36949999999999994,-0.36949999999999994,0.0,1.0
2023-01-29,0.7128,0.7176,-0.0048,-0.0952,0.0,0.1131,0.164,23.0,16.0,-0.0096,-0.4647,-0.4647,-0.4647,-0.0009599999999999999,1.0
2023-01-30,0.7524,0.7524,0.0,0.0216,1.0,0.1282,0.2092,22.0,11.0,-0.0188,-0.05099999999999997,-0.4431,-0.4431,-0.0007999999999999999,1.0
2023-01-31,0.7056,0.7056,0.0,-0.017,0.0,0.097,0.1262,19.0,18.0,-0.0073,0.13080000000000003,-0.46009999999999995,-0.46009999999999995,-0.0006857142857142857,0.0
2023-02-01,0.8634,0.8634,0.0,0.2783,1.0,0.318,0.4469,10.0,20.0,-0.0448,0.1572,-0.18179999999999996,-0.18179999999999996,-0.0006,0.0
2023-02-02,0.6771,0.6771,0.0,0.3055,1.0,0.096,0.1269,19.0,15.0,-0.0017,0.49319999999999997,0.12370000000000003,0.12370000000000003,-0.0005333333333333333,0.0
2023-02-05,0.8555,0.8555,0.0,-0.0376,0.0,0.1563,0.2244,13.0,18.0,0.0,0.5508000000000001,0.08610000000000004,0.08610000000000004,-0.00047999999999999996,0.0
2023-02-06,0.9356,0.9356,0.0,0.2155,1.0,0.1558,0.2724,12.0,8.0,0.0,0.7446999999999999,0.30160000000000003,0.30160000000000003,-0.0004363636363636363,0.0
2023-02-07,0.6172,0.6172,0.0,0.3137,1.0,0.1785,0.1638,15.0,23.0,-0.0837,1.0754,0.6153,0.6153,-0.00039999999999999996,0.0
2023-02-08,0.7573,0.7573,0.0,0.0542,1.0,0.1999,0.3136,22.0,16.0,0.0168,0.8513,0.6695,0.6695,-0.0003692307692307692,0.0
2023-02-09,0.6867,0.6867,0.0,0.3231,1.0,0.1729,0.2054,16.0,19.0,-0.0036,0.8689,0.9926,0.9926,-0.00034285714285714285,0.0
2023-02-12,0.8598,0.8678,-0.008,0.0201,1.0,0.1035,0.1684,21.0,18.0,0.0005,0.9266,1.0127,1.0127,-0.0008533333333333332,0.0
2023-02-14,0.8063,0.8063,0.0,-0.1235,0.0,0.0726,0.1207,22.0,14.0,0.0,0.5876000000000001,0.8892,0.8892,-0.0007999999999999999,0.0
2023-02-15,0.6777,0.6777,0.0,0.0189,1.0,0.1709,0.2057,15.0,11.0,0.0082,0.29280000000000006,0.9081,0.9081,-0.0007529411764705882,0.0
2023-02-16,0.8955,0.8955,0.0,-0.2842,0.0,0.0982,0.1632,20.0,13.0,0.1409,-0.045599999999999946,0.6239,0.6239,-0.000711111111111111,1.0
2023-02-20,0.9241,0.9241,0.0,0.4797,1.0,0.3066,0.4544,11.0,16.0,-0.0313,0.1110000000000001,1.1036000000000001,1.1036000000000001,-0.0006736842105263157,0.0
2023-02-22,0.7488,0.7488,0.0,0.3972,1.0,0.3479,0.3498,6.0,27.0,0.2424,0.48810000000000003,1.5008,1.5008,-0.0006399999999999999,0.0
2023-02-23,0.7664,0.7664,0.0,-0.0293,0.0,0.1248,0.1802,13.0,16.0,0.0,0.5823,1.8636000000000001,1.4715,-0.0006399999999999999,0.0
2023-02-26,0.8372,0.8372,0.0,0.3227,1.0,0.1754,0.2332,17.0,19.0,-0.0525,0.8861,2.3851000000000004,1.7942,-0.0006399999999999999,0.0
2023-02-27,0.8903,0.8903,0.0,-0.3189,0.0,0.2027,0.3307,16.0,16.0,0.0191,0.8514000000000002,1.8143000000000002,1.4753,-0.0006399999999999999,0.0
2023-02-28,0.6037,0.6037,0.0,0.1445,1.0,0.5147,0.4086,5.0,12.0,-0.0026,0.5162,1.9892999999999998,1.6198,-0.0006399999999999999,0.0
2023-03-01,0.9812,0.9812,0.0,-0.2909,0.0,0.3034,0.4927,7.0,7.0,0.0,-0.17190000000000005,1.7935999999999999,1.3289,-0.0004,1.0
2023-03-02,0.8698,0.8698,0.0,-0.2519,0.0,0.1895,0.2951,16.0,10.0,-0.0933,-0.3945000000000001,1.5201,1.077,-0.0004,1.0
2023-03-05,0.8083,0.8083,0.0,0.0787,1.0,0.1382,0.1646,15.0,13.0,-0.057,-0.6385000000000001,1.6158,1.1557,-0.0004,1.0
2023-03-07,0.8826,0.8826,0.0,0.4775,1.0,0.1683,0.2234,11.0,17.0,0.1667,0.15789999999999993,1.815,1.6332,-0.0004,0.0
2023-03-09,0.852,0.852,0.0,0.0586,1.0,0.1312,0.2372,13.0,18.0,0.0438,0.07199999999999994,1.5681,1.6918,-0.0004,0.0
2023-03-12,0.7603,0.7603,0.0,0.204,1.0,0.3693,0.451,15.0,17.0,-0.0357,0.5669,1.8096999999999999,1.8958,-0.0004,0.0
2023-03-13,0.9529,0.9529,0.0,-0.7824,0.0,0.4135,0.5882,10.0,8.0,-0.0059,0.03639999999999999,0.8117999999999999,1.1134,-0.0004,0.0
2023-03-14,0.766,0.766,0.0,-0.2021,0.0,0.2108,0.2299,10.0,6.0,0.1452,-0.2444,0.29599999999999993,0.9113,-0.0004,1.0
2023-03-15,0.8131,0.8131,0.0,-0.5017,0.0,0.1191,0.1953,19.0,6.0,0.0058,-1.2236,-0.25990000000000013,0.40959999999999996,-0.0004,1.0
2023-03-16,0.8806,0.8806,0.0,-0.0531,0.0,0.334,0.4876,12.0,12.0,-0.0181,-1.3353,-0.6361000000000002,0.3565,-0.0004,1.0
2023-03-19,0.9199,0.9199,0.0,-0.4702,0.0,0.5057,0.5233,3.0,11.0,-0.3794,-2.0095,-1.1264,-0.11370000000000002,0.0,1.0
2023-03-20,0.954,0.954,0.0,-0.0497,0.0,0.1934,0.2421,13.0,11.0,-0.4416,-1.2768,-1.0526000000000002,-0.16340000000000002,0.0,1.0
2023-03-22,0.8986,0.8986,0.0,0.22,1.0,0.0946,0.1207,15.0,8.0,-0.1096,-0.8547,-0.8515,0.056599999999999984,0.0,1.0
2023-03-23,0.8634,0.8634,0.0,-0.1354,0.0,0.271,0.4011,10.0,15.0,-0.0199,-0.48839999999999995,-0.7027000000000001,-0.07880000000000001,0.0,1.0
2023-03-26,0.4251,0.4251,0.0,0.1563,1.0,0.1366,0.0913,10.0,6.0,0.0,-0.279,-1.0261000000000002,0.07749999999999999,0.0,1.0
2023-03-27,0.9242,0.9242,0.0,-0.0567,0.0,0.2178,0.3116,12.0,11.0,-0.0387,0.1345,-1.4800000000000002,0.020799999999999985,0.0,0.0
2023-03-28,0.8027,0.8027,0.0,0.2561,1.0,0.3784,0.4734,14.0,16.0,-0.0736,0.4403,-1.1946,0.2769,0.0,0.0
2023-03-29,0.9454,0.9454,0.0,0.7763,1.0,0.7462,0.8091,5.0,12.0,0.0027,0.9966,-0.7410000000000001,1.0532,0.0,0.0
2023-03-30,0.7999,0.7999,0.0,-0.3389,0.0,0.2757,0.3935,11.0,10.0,0.0674,0.7931000000000001,-0.7610000000000001,0.7142999999999999,0.0,0.0
2023-04-02,0.8957,0.8957,0.0,-0.1174,0.0,0.4102,0.4768,7.0,8.0,-0.2362,0.5194000000000001,-1.0229000000000001,0.5969,0.0,0.0
2023-04-03,0.8579,0.8579,0.0,-0.1955,0.0,0.1812,0.2563,12.0,11.0,-0.0303,0.3806,-0.9275000000000002,0.4013999999999999,0.0,0.0
2023-04-04,0.6788,0.6788,0.0,-0.0604,0.0,0.2107,0.2133,13.0,6.0,0.1991,0.06410000000000005,-0.7360000000000002,0.3409999999999999,0.0,0.0
