date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,70793.0,72799.0,-0.0083,36262.0,1.0,0.1007,0.061,20.0,20.0,14814.0,36262.0,36262.0,36262.0,-0.0083,0.0
2023-01-24,76194.0,76194.0,0.0,-21388.0,0.0,0.2976,0.1914,17.0,23.0,1528.0,14874.0,14874.0,14874.0,-0.00415,0.0
2023-01-25,26225.0,26225.0,0.0,7173.0,1.0,0.5248,0.3164,16.0,21.0,107.0,22047.0,22047.0,22047.0,-0.002766666666666667,0.0
2023-01-26,23361.0,23361.0,0.0,1133.0,1.0,0.4752,0.1877,8.0,29.0,-228.0,23180.0,23180.0,23180.0,-0.002075,0.0
2023-01-29,28196.0,28196.0,0.0,1113.0,1.0,0.1478,0.0958,26.0,14.0,2870.0,24293.0,24293.0,24293.0,-0.00166,0.0
2023-01-30,20843.0,20843.0,0.0,787.0,1.0,0.1193,0.0657,15.0,23.0,-603.0,-11182.0,25080.0,25080.0,-0.0013833333333333334,1.0
2023-01-31,9270.0,9270.0,0.0,-1764.0,0.0,0.1386,0.0677,12.0,19.0,-140.0,8442.0,23316.0,23316.0,-0.0011857142857142858,0.0
2023-02-01,23038.0,23038.0,0.0,10867.0,1.0,0.1265,0.087,18.0,20.0,835.0,12136.0,34183.0,34183.0,-0.0010375,0.0
2023-02-02,31409.0,31409.0,0.0,2747.0,1.0,0.2785,0.1985,23.0,15.0,381.0,13750.0,36930.0,36930.0,-0.0009222222222222223,0.0
2023-02-05,53434.0,53434.0,0.0,-37731.0,0.0,0.5944,0.3621,13.0,25.0,-117.0,-25094.0,-801.0,-801.0,-0.00083,1.0
2023-02-06,23793.0,23793.0,0.0,17298.0,1.0,0.2216,0.0602,14.0,24.0,18.0,-8583.0,16497.0,16497.0,-0.0007545454545454546,1.0
2023-02-07,49570.0,48608.0,0.0076,16062.0,1.0,0.138,0.0754,16.0,24.0,364.0,9243.0,32559.0,32559.0,-5.833333333333334e-05,0.0
2023-02-08,34599.0,34569.0,0.0002,-14774.0,0.0,0.23,0.118,16.0,23.0,-7201.0,-16398.0,17785.0,17785.0,-3.846153846153847e-05,1.0
2023-02-09,50266.0,49847.0,0.0022,9045.0,1.0,0.4225,0.1641,13.0,26.0,250.0,-10100.0,26830.0,26830.0,0.00012142857142857144,1.0
2023-02-12,25413.0,25290.0,0.0018,4803.0,1.0,0.1097,0.0673,20.0,20.0,1678.0,32434.0,31633.0,31633.0,0.00023333333333333333,0.0
2023-02-14,11005.0,11005.0,0.0,-2676.0,0.0,0.1509,0.1321,22.0,15.0,-95.0,12460.0,28957.0,28957.0,0.00021875,0.0
2023-02-15,46425.0,46425.0,0.0,4950.0,1.0,0.454,0.3047,14.0,19.0,-131.0,1348.0,33907.0,33907.0,0.00020588235294117648,0.0
2023-02-16,4115.0,4115.0,0.0,-777.0,0.0,0.2849,0.2092,13.0,14.0,-46.0,15345.0,33130.0,33130.0,0.00019444444444444446,0.0
2023-02-20,13553.0,13553.0,0.0,-2194.0,0.0,0.1112,0.021,20.0,14.0,-2117.0,4106.0,30936.0,30936.0,0.00018421052631578948,0.0
2023-02-22,12930.0,12930.0,0.0,2791.0,1.0,0.186,0.1378,19.0,19.0,4333.0,2094.0,33727.0,33727.0,0.000175,0.0
2023-02-23,27571.0,27571.0,0.0,8252.0,1.0,0.37,0.2476,11.0,23.0,420.0,13022.0,5717.0,41979.0,0.00059,0.0
2023-02-26,11711.0,11711.0,0.0,-1059.0,0.0,0.1977,0.1385,15.0,17.0,-500.0,7013.0,26046.0,40920.0,0.00059,0.0
2023-02-27,15947.0,15947.0,0.0,2639.0,1.0,0.2489,0.1621,11.0,21.0,-10.0,10429.0,21512.0,43559.0,0.00059,0.0
2023-02-28,16461.0,16461.0,0.0,-9468.0,0.0,0.1888,0.1244,14.0,17.0,3722.0,3155.0,10911.0,34091.0,0.00059,0.0
2023-03-01,8573.0,8573.0,0.0,2971.0,1.0,0.3435,0.2764,10.0,9.0,4746.0,3335.0,12769.0,37062.0,0.00059,0.0
2023-03-02,11710.0,11710.0,0.0,-554.0,0.0,0.1472,0.1169,17.0,17.0,-3702.0,-5471.0,11428.0,36508.0,0.00059,1.0
2023-03-05,3820.0,3820.0,0.0,-654.0,0.0,0.2173,0.0996,13.0,16.0,-47.0,-5066.0,12538.0,35854.0,0.00059,1.0
2023-03-07,10718.0,10718.0,0.0,-754.0,0.0,0.4742,0.2198,14.0,13.0,1050.0,-8459.0,917.0,35100.0,0.00059,1.0
2023-03-09,12447.0,12447.0,0.0,-564.0,0.0,0.2274,0.1951,16.0,16.0,-190.0,445.0,-2394.0,34536.0,0.00059,0.0
2023-03-12,12344.0,12344.0,0.0,-100.0,0.0,0.0944,0.0679,22.0,9.0,450.0,-2626.0,35237.0,34436.0,0.00059,1.0
2023-03-13,28102.0,28102.0,0.0,22702.0,1.0,0.2271,0.1693,18.0,9.0,900.0,20630.0,40641.0,57138.0,0.00059,0.0
2023-03-14,11512.0,11512.0,0.0,3454.0,1.0,0.1125,0.0887,19.0,11.0,-20.0,24738.0,28033.0,60592.0,0.00020999999999999998,0.0
2023-03-15,10866.0,10866.0,0.0,-1626.0,0.0,0.0945,0.0687,23.0,10.0,130.0,23866.0,41181.0,58966.0,0.0002,0.0
2023-03-16,14386.0,14386.0,0.0,505.0,1.0,0.2289,0.1605,13.0,11.0,1000.0,24935.0,32641.0,59471.0,8.999999999999998e-05,0.0
2023-03-19,21165.0,21165.0,0.0,11283.0,1.0,0.1676,0.0954,22.0,11.0,1230.0,36318.0,39121.0,70754.0,0.0,0.0
2023-03-20,46639.0,46639.0,0.0,30977.0,1.0,0.2131,0.1508,23.0,9.0,80.0,44593.0,72774.0,101731.0,0.0,0.0
2023-03-22,12587.0,12587.0,0.0,5367.0,1.0,0.3061,0.1805,19.0,14.0,710.0,46506.0,73191.0,107098.0,0.0,0.0
2023-03-23,11292.0,11292.0,0.0,7215.0,1.0,0.2265,0.1761,20.0,13.0,-273.0,55347.0,81183.0,114313.0,0.0,0.0
2023-03-26,13539.0,13539.0,0.0,-5692.0,0.0,0.2252,0.1909,23.0,6.0,-110.0,49150.0,77685.0,108621.0,0.0,0.0
2023-03-27,8292.0,8292.0,0.0,-614.0,0.0,0.1419,0.0643,16.0,20.0,0.0,37253.0,74280.0,108007.0,0.0,0.0
2023-03-28,21783.0,21783.0,0.0,10330.0,1.0,0.1699,0.1179,18.0,22.0,-58.0,16606.0,76358.0,118337.0,0.0,0.0
2023-03-29,14363.0,14363.0,0.0,10444.0,1.0,0.2251,0.1721,18.0,14.0,963.0,21683.0,87861.0,128781.0,0.0,0.0
2023-03-30,6690.0,6690.0,0.0,-121.0,0.0,0.1149,0.1094,22.0,17.0,-316.0,14347.0,85101.0,128660.0,0.0,0.0
2023-04-02,14857.0,14857.0,0.0,-6420.0,0.0,0.1188,0.076,29.0,9.0,-88.0,13619.0,88149.0,122240.0,0.0,0.0
2023-04-03,5701.0,5701.0,0.0,2824.0,1.0,0.2399,0.126,13.0,14.0,-47.0,17057.0,88002.0,125064.0,0.0,0.0
2023-04-04,9566.0,9566.0,0.0,-3358.0,0.0,0.1772,0.1078,18.0,16.0,118.0,3369.0,85198.0,121706.0,0.0,0.0
2023-04-05,11327.0,11327.0,0.0,1584.0,1.0,0.1716,0.1497,23.0,16.0,-2151.0,-5491.0,87436.0,123290.0,0.0,1.0
2023-04-06,14440.0,14440.0,0.0,1933.0,1.0,0.3215,0.1727,9.0,29.0,6730.0,-3437.0,90123.0,125223.0,0.0,1.0
2023-04-09,12092.0,12092.0,0.0,5220.0,1.0,0.2446,0.1452,24.0,14.0,-90.0,8203.0,95907.0,130443.0,0.0,0.0
2023-04-10,7936.0,7936.0,0.0,132.0,1.0,0.1817,0.1364,14.0,15.0,-2449.0,5511.0,96139.0,130575.0,0.0,0.0
2023-04-11,6716.0,6716.0,0.0,352.0,1.0,0.2571,0.147,15.0,13.0,1.0,9221.0,73789.0,130927.0,0.0,0.0
2023-04-12,25082.0,24986.0,0.0013,12808.0,1.0,0.2614,0.148,18.0,22.0,-5988.0,20445.0,83143.0,143735.0,6.499999999999998e-05,0.0
2023-04-13,16973.0,16865.0,0.0027,5467.0,1.0,0.488,0.2924,15.0,25.0,-522.0,23979.0,90236.0,149202.0,0.0002,0.0
2023-04-16,6382.0,6382.0,0.0,2800.0,1.0,0.6021,0.2831,8.0,18.0,-1820.0,21559.0,92531.0,152002.0,0.0002,0.0
2023-04-17,7592.0,7592.0,0.0,328.0,1.0,0.3285,0.2539,15.0,14.0,100.0,21755.0,81576.0,152330.0,0.0002,0.0
2023-04-18,10010.0,10010.0,0.0,-2247.0,0.0,0.1563,0.0572,19.0,10.0,655.0,19156.0,48352.0,150083.0,0.0002,0.0
2023-04-19,17062.0,17062.0,0.0,5111.0,1.0,0.2385,0.1517,18.0,15.0,128.0,11459.0,48096.0,155194.0,0.0002,0.0
2023-04-20,59713.0,60088.0,-0.0024,44514.0,1.0,0.2944,0.1897,20.0,20.0,3496.0,50506.0,85395.0,199708.0,7.999999999999999e-05,0.0
2023-04-23,9170.0,9170.0,0.0,-2365.0,0.0,0.1078,0.0736,21.0,16.0,-330.0,45341.0,88722.0,197343.0,7.999999999999999e-05,0.0
2023-04-24,5691.0,5691.0,0.0,2367.0,1.0,0.2029,0.1024,10.0,22.0,-156.0,47380.0,91703.0,199710.0,7.999999999999999e-05,0.0
2023-04-25,6885.0,6885.0,0.0,889.0,1.0,0.2117,0.1015,13.0,23.0,-188.0,50516.0,82262.0,164337.0,7.999999999999999e-05,0.0
2023-04-26,14119.0,14119.0,0.0,9143.0,1.0,0.1948,0.1066,18.0,19.0,297.0,54548.0,80961.0,194868.0,7.999999999999999e-05,0.0
2023-04-27,27596.0,27596.0,0.0,12348.0,1.0,0.365,0.2338,10.0,28.0,2200.0,22382.0,93430.0,200043.0,7.999999999999999e-05,0.0
2023-04-30,23202.0,23202.0,0.0,5526.0,1.0,0.1381,0.0906,20.0,18.0,72.0,30273.0,105376.0,204436.0,7.999999999999999e-05,0.0
2023-05-02,16092.0,16092.0,0.0,7943.0,1.0,0.5596,0.3468,13.0,17.0,-222.0,35849.0,110495.0,211266.0,7.999999999999999e-05,0.0
2023-05-03,14029.0,14029.0,0.0,-1507.0,0.0,0.3573,0.2634,16.0,15.0,92.0,33453.0,112346.0,208972.0,7.999999999999999e-05,0.0
2023-05-04,6123.0,6123.0,0.0,615.0,1.0,0.3066,0.1889,16.0,14.0,95.0,24925.0,111377.0,211351.0,7.999999999999999e-05,0.0
2023-05-07,12184.0,12184.0,0.0,-456.0,0.0,0.2268,0.1764,18.0,14.0,230.0,12121.0,108988.0,200028.0,7.999999999999999e-05,0.0
2023-05-08,14801.0,14801.0,0.0,-5571.0,0.0,0.234,0.1891,21.0,13.0,-566.0,1024.0,98197.0,191710.0,7.999999999999999e-05,0.0
2023-05-09,8907.0,8907.0,0.0,2720.0,1.0,0.2461,0.1658,18.0,11.0,-269.0,-4199.0,100785.0,232161.0,7.999999999999999e-05,1.0
2023-05-10,14451.0,14451.0,0.0,1152.0,1.0,0.1446,0.1283,24.0,9.0,-5805.0,-1540.0,101585.0,216015.0,7.999999999999999e-05,1.0
2023-05-11,3739.0,3739.0,0.0,1460.0,1.0,0.166,0.1124,14.0,14.0,-4.0,-695.0,90237.0,201413.0,1.4999999999999995e-05,1.0
2023-05-14,19685.0,19685.0,0.0,-4034.0,0.0,0.1035,0.0955,28.0,12.0,-30.0,-4273.0,80736.0,212153.0,-0.00012000000000000002,1.0
2023-05-15,19402.0,19402.0,0.0,988.0,1.0,0.1402,0.1218,24.0,11.0,30.0,2286.0,78924.0,204096.0,-0.00012000000000000002,0.0
2023-05-16,36945.0,38255.0,-0.0128,1431.0,1.0,0.0663,0.0429,30.0,10.0,0.0,997.0,80027.0,200724.0,-0.00076,0.0
2023-05-17,19365.0,19365.0,0.0,-10040.0,0.0,0.1055,0.0644,22.0,10.0,-324.0,-10195.0,72234.0,193360.0,-0.00076,1.0
2023-05-18,54370.0,54370.0,0.0,-25273.0,0.0,0.3134,0.221,21.0,16.0,-55.0,-36928.0,41850.0,163137.0,-0.00076,1.0
2023-05-21,51121.0,51519.0,-0.0032,7096.0,1.0,0.2204,0.1503,20.0,20.0,-343.0,-25798.0,4432.0,171010.0,-0.0008,1.0
2023-05-22,11991.0,11991.0,0.0,1217.0,1.0,0.2917,0.1885,12.0,21.0,-70.0,-25569.0,8014.0,174421.0,-0.0008,1.0
2023-05-23,33023.0,32508.0,0.0054,108.0,1.0,0.1429,0.0677,20.0,20.0,0.0,-26892.0,5755.0,171738.0,-0.00053,1.0
2023-05-24,28342.0,28486.0,-0.0022,11013.0,1.0,0.2557,0.1966,20.0,20.0,600.0,-5839.0,15879.0,174499.0,-0.00064,1.0
2023-05-28,24146.0,24223.0,-0.001,3422.0,1.0,0.1146,0.0776,26.0,14.0,-1070.0,22856.0,10158.0,178980.0,-0.00069,0.0
2023-05-30,27874.0,27874.0,0.0,3074.0,1.0,0.2644,0.1835,20.0,20.0,-8790.0,18834.0,884.0,179415.0,-0.00069,0.0
2023-05-31,28545.0,30550.0,-0.0246,-4347.0,0.0,0.0737,0.056,28.0,12.0,830.0,13270.0,-8989.0,184536.0,-0.0019200000000000003,0.0
2023-06-01,23727.0,23917.0,-0.0026,-8412.0,0.0,0.1039,0.0528,25.0,15.0,2902.0,4750.0,-25344.0,173153.0,-0.00205,0.0
2023-06-04,19500.0,19576.0,-0.0017,2427.0,1.0,0.1788,0.1406,21.0,19.0,0.0,-3836.0,-21410.0,176134.0,-0.002135,1.0
2023-06-05,22201.0,22211.0,-0.0001,-5888.0,0.0,0.1355,0.0858,20.0,20.0,-132.0,-13146.0,-27913.0,170900.0,-0.00214,1.0
2023-06-06,11117.0,11117.0,0.0,2069.0,1.0,0.0984,0.0593,21.0,16.0,233.0,-14151.0,-25388.0,173723.0,-0.00214,1.0
2023-06-07,14565.0,14565.0,0.0,2793.0,1.0,0.2187,0.1716,21.0,15.0,289.0,-7011.0,-17024.0,177080.0,-0.00214,1.0
2023-06-08,14281.0,14281.0,0.0,1041.0,1.0,0.2796,0.1818,19.0,15.0,11.0,2442.0,-18703.0,178221.0,-0.00214,0.0
2023-06-11,29470.0,29470.0,0.0,12076.0,1.0,0.1568,0.1273,18.0,20.0,944.0,12091.0,-7779.0,167595.0,-0.00214,0.0
2023-06-12,15575.0,15575.0,0.0,6707.0,1.0,0.159,0.1166,15.0,17.0,763.0,24686.0,-2532.0,170848.0,-0.00214,0.0
2023-06-13,43627.0,41529.0,0.0173,22601.0,1.0,0.1686,0.1059,18.0,22.0,387.0,45218.0,24103.0,195075.0,-0.001275,0.0
2023-06-14,41203.0,38973.0,0.0157,10800.0,1.0,0.1865,0.1009,18.0,22.0,665.0,53225.0,33915.0,205370.0,-0.0004900000000000002,0.0
2023-06-15,34034.0,33434.0,0.0077,11210.0,1.0,0.5313,0.3112,11.0,29.0,-101.0,63394.0,43694.0,205297.0,0.0005349999999999999,0.0
2023-06-18,20201.0,20201.0,0.0,6246.0,1.0,0.1757,0.1199,17.0,21.0,947.0,57564.0,59980.0,180566.0,0.0005349999999999999,0.0
2023-06-19,20025.0,19111.0,0.0178,5271.0,1.0,0.2485,0.1643,12.0,28.0,-483.0,56128.0,90524.0,180470.0,0.0014249999999999998,0.0
2023-06-20,31251.0,31251.0,0.0,14122.0,1.0,0.222,0.1772,15.0,24.0,-1783.0,47649.0,97550.0,187377.0,0.001585,0.0
2023-06-21,28240.0,28240.0,0.0,5899.0,1.0,0.2324,0.1862,19.0,21.0,-1802.0,42748.0,102232.0,198968.0,0.001585,0.0
2023-06-22,7372.0,7372.0,0.0,2457.0,1.0,0.1975,0.0874,14.0,20.0,-180.0,33995.0,104581.0,202039.0,0.0013149999999999998,0.0
2023-06-25,47558.0,49031.0,-0.0118,6574.0,1.0,0.109,0.0728,21.0,19.0,819.0,34323.0,100142.0,198283.0,0.000835,0.0
2023-06-26,110345.0,110795.0,-0.0014,-8935.0,0.0,0.2966,0.1787,20.0,20.0,1064.0,20117.0,87785.0,178904.0,0.000815,0.0
2023-06-27,74234.0,74958.0,-0.003,10279.0,1.0,0.2166,0.127,20.0,20.0,-661.0,16274.0,94990.0,189304.0,0.000665,0.0
2023-06-28,47917.0,50331.0,-0.0167,-6103.0,0.0,0.089,0.0667,25.0,15.0,0.0,4272.0,93234.0,189621.0,0.0010600000000000002,0.0
2023-07-02,41011.0,41017.0,-0.0,-16792.0,0.0,0.2432,0.1176,20.0,20.0,-1651.0,-14977.0,84854.0,170005.0,0.00119,1.0
2023-07-03,11751.0,11900.0,-0.0036,754.0,1.0,0.1057,0.0636,22.0,18.0,-58.0,-20797.0,83181.0,174117.0,0.001095,1.0
2023-07-04,5702.0,5702.0,0.0,276.0,1.0,0.1567,0.0791,15.0,18.0,656.0,-11586.0,89345.0,172809.0,0.0011,1.0
2023-07-05,21521.0,21638.0,-0.002,-3685.0,0.0,0.1072,0.0915,24.0,16.0,1310.0,-25550.0,83591.0,167191.0,0.001,1.0
2023-07-06,15661.0,15661.0,0.0,2975.0,1.0,0.1015,0.0634,23.0,13.0,2268.0,-16472.0,83773.0,164946.0,0.001,1.0
2023-07-09,41026.0,41026.0,0.0,-24049.0,0.0,0.1129,0.0658,23.0,17.0,-988.0,-23729.0,58683.0,140765.0,0.001,1.0
2023-07-10,17040.0,17040.0,0.0,-3565.0,0.0,0.1602,0.1271,20.0,19.0,-1683.0,-28048.0,43042.0,136848.0,0.001,1.0
2023-07-11,29006.0,29576.0,-0.0071,-2646.0,0.0,0.0971,0.0743,21.0,19.0,-443.0,-30970.0,33689.0,121394.0,0.0006450000000000001,1.0
