date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,53433.0,54115.0,-0.0045,-34398.0,0.0,0.1243,0.079,20.0,20.0,0.0,-34398.0,-34398.0,-34398.0,-0.0045,1.0
2023-01-24,25579.0,24649.0,0.0128,2152.0,1.0,0.1707,0.0918,18.0,22.0,-395.0,-32246.0,-32246.0,-32246.0,0.004150000000000001,1.0
2023-01-25,23512.0,24158.0,-0.0079,-3211.0,0.0,0.155,0.1017,23.0,16.0,-2726.0,-35457.0,-35457.0,-35457.0,0.0001333333333333331,1.0
2023-01-26,18679.0,19164.0,-0.01,-5888.0,0.0,0.1408,0.1228,25.0,15.0,-9413.0,-41345.0,-41345.0,-41345.0,-0.0024000000000000002,1.0
2023-01-29,21619.0,21528.0,0.0012,7234.0,1.0,0.1108,0.0697,20.0,20.0,-875.0,-34111.0,-34111.0,-34111.0,-0.0016800000000000003,1.0
2023-01-30,22180.0,22479.0,-0.0039,-5079.0,0.0,0.1201,0.0633,20.0,20.0,0.0,-4792.0,-39190.0,-39190.0,-0.00205,1.0
2023-01-31,21734.0,23482.0,-0.0317,3234.0,1.0,0.0607,0.0429,28.0,12.0,2364.0,-3710.0,-35956.0,-35956.0,-0.006285714285714285,1.0
2023-02-01,9639.0,9639.0,0.0,1757.0,1.0,0.1794,0.1124,21.0,19.0,3762.0,1258.0,-34199.0,-34199.0,-0.0055000000000000005,0.0
2023-02-02,14515.0,15414.0,-0.0161,980.0,1.0,0.0769,0.0364,23.0,17.0,-348.0,8126.0,-33219.0,-33219.0,-0.006677777777777778,0.0
2023-02-05,17935.0,18112.0,-0.0033,695.0,1.0,0.143,0.1061,20.0,20.0,-95.0,1587.0,-32524.0,-32524.0,-0.00634,0.0
2023-02-06,12717.0,12717.0,0.0,677.0,1.0,0.1115,0.0911,25.0,15.0,267.0,7343.0,-31847.0,-31847.0,-0.005763636363636363,0.0
2023-02-07,27736.0,27665.0,0.0008,4058.0,1.0,0.1127,0.0591,20.0,20.0,2659.0,8167.0,-27789.0,-27789.0,-0.005216666666666667,0.0
2023-02-08,22295.0,22620.0,-0.0043,4486.0,1.0,0.0779,0.0382,20.0,20.0,2550.0,10896.0,-23303.0,-23303.0,-0.005146153846153846,0.0
2023-02-09,12115.0,12115.0,0.0,1048.0,1.0,0.0714,0.0396,22.0,17.0,-217.0,10964.0,-22255.0,-22255.0,-0.004778571428571429,0.0
2023-02-12,26000.0,26083.0,-0.001,-19356.0,0.0,0.1044,0.061,20.0,20.0,-1203.0,-9087.0,-41611.0,-41611.0,-0.004526666666666667,1.0
2023-02-14,27553.0,27913.0,-0.005,-2055.0,0.0,0.1347,0.1006,23.0,17.0,1031.0,-11819.0,-43666.0,-43666.0,-0.00455625,1.0
2023-02-15,45899.0,47829.0,-0.0127,7364.0,1.0,0.0997,0.0655,25.0,15.0,6294.0,-8513.0,-36302.0,-36302.0,-0.00503529411764706,1.0
2023-02-16,11485.0,11643.0,-0.0049,-1925.0,0.0,0.0861,0.0568,20.0,20.0,183.0,-14924.0,-38227.0,-38227.0,-0.005027777777777778,1.0
2023-02-20,28286.0,28787.0,-0.0071,2955.0,1.0,0.1646,0.1424,20.0,20.0,10038.0,-13017.0,-35272.0,-35272.0,-0.005136842105263158,1.0
2023-02-22,10503.0,10503.0,0.0,2917.0,1.0,0.1031,0.0746,21.0,19.0,-889.0,9256.0,-32355.0,-32355.0,-0.004880000000000001,0.0
2023-02-23,21547.0,21712.0,-0.0031,2859.0,1.0,0.1433,0.1045,23.0,17.0,13.0,14170.0,4902.0,-29496.0,-0.00481,0.0
2023-02-26,20678.0,20789.0,-0.0019,925.0,1.0,0.1137,0.0757,20.0,20.0,4374.0,7731.0,3675.0,-28571.0,-0.005545,0.0
2023-02-27,21683.0,21669.0,0.0003,-109.0,0.0,0.1171,0.1004,20.0,20.0,23.0,9547.0,6777.0,-28680.0,-0.005135,0.0
2023-02-28,15850.0,15850.0,0.0,8215.0,1.0,0.4638,0.3022,18.0,19.0,10438.0,14807.0,20880.0,-20465.0,-0.004635,0.0
2023-03-01,11126.0,11126.0,0.0,-514.0,0.0,0.1214,0.0788,19.0,19.0,-1438.0,11376.0,13132.0,-20979.0,-0.0046949999999999995,0.0
2023-03-02,13065.0,13065.0,0.0,-2714.0,0.0,0.1529,0.0835,18.0,16.0,-2618.0,5803.0,15497.0,-23693.0,-0.0045,0.0
2023-03-05,18567.0,18747.0,-0.0039,5852.0,1.0,0.1159,0.0871,24.0,16.0,1175.0,10730.0,18115.0,-17841.0,-0.0031100000000000004,0.0
2023-03-07,11774.0,11774.0,0.0,2654.0,1.0,0.1934,0.1457,17.0,20.0,4393.0,13493.0,19012.0,-15187.0,-0.0031100000000000004,0.0
2023-03-09,13900.0,13900.0,0.0,-1611.0,0.0,0.1275,0.0743,22.0,18.0,1156.0,3667.0,16421.0,-16798.0,-0.002305,0.0
2023-03-12,13557.0,13488.0,0.0018,-2276.0,0.0,0.232,0.1272,20.0,20.0,420.0,1905.0,13450.0,-19074.0,-0.00205,0.0
2023-03-13,13484.0,13484.0,0.0,3669.0,1.0,0.123,0.0907,20.0,18.0,42.0,8288.0,16442.0,-15405.0,-0.00205,0.0
2023-03-14,13738.0,13798.0,-0.0017,4629.0,1.0,0.0953,0.0724,20.0,20.0,940.0,7065.0,17013.0,-10776.0,-0.0021750000000000003,0.0
