date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-04-03,0.0329,0.0329,0.0,0.0259,1.0,0.3113,0.0149,4.0,4.0,0.0149,0.0259,0.0259,0.0259,0.0,0.0
2024-04-04,1.0,1.0,0.0,1.0,1.0,0.5,0.6667,3.0,2.0,0.6667,1.0259,1.0259,1.0259,0.0,0.0
2024-04-07,0.8889,0.8889,0.0,0.0,0.0,0.375,0.4444,3.0,3.0,0.0,1.0259,1.0259,1.0259,0.0,0.0
2024-04-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0259,1.0259,1.0259,0.0,0.0
2024-04-10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0259,2.0259,2.0259,0.0,0.0
2024-04-14,1.0,1.0,0.0,1.0,1.0,0.4133,0.5333,3.0,2.0,0.5333,3.0,3.0259,3.0259,0.0,0.0
2024-04-15,1.0,1.0,0.0,0.4762,1.0,0.3651,0.4762,3.0,3.0,0.2381,2.4762,3.5021,3.5021,0.0,0.0
2024-04-16,0.9711,0.9711,0.0,0.5954,1.0,1.0,0.9711,1.0,6.0,-0.0578,3.0716,4.0975,4.0975,0.0,0.0
2024-04-18,1.0,1.0,0.0,0.3333,1.0,0.5556,0.6667,2.0,3.0,0.6667,3.4049,4.4308000000000005,4.4308000000000005,0.0,0.0
2024-04-21,0.76,0.76,0.0,0.56,1.0,0.5679,0.52,2.0,2.0,0.24,2.9649,4.9908,4.9908,0.0,0.0
2024-04-22,0.7692,0.7692,0.0,0.3846,1.0,0.68,0.6154,2.0,2.0,0.1538,2.3495,5.3754,5.3754,0.0,0.0
2024-04-24,1.0,1.0,0.0,0.0,0.0,0.44,0.6,3.0,4.0,-0.4,1.8733000000000002,5.3754,5.3754,0.0,0.0
2024-04-28,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2779,6.3754,6.3754,0.0,0.0
2024-04-29,1.0,1.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,1.9446,6.3754,6.3754,0.0,0.0
2024-04-30,0.6667,0.6667,0.0,0.3333,1.0,1.0,0.6667,1.0,2.0,0.0,1.7179,6.7087,6.7087,0.0,0.0
2024-05-02,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3333,6.7087,6.7087,0.0,0.0
2024-05-05,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.3333,6.7087,6.7087,0.0,0.0
2024-05-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.3333,6.7087,6.7087,0.0,0.0
2024-05-12,1.0,1.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,0.5,0.3333,6.7087,6.7087,0.0,0.0
2024-05-14,0.3333,0.3333,0.0,-0.1667,0.0,0.5,0.1667,2.0,2.0,-0.1667,-0.1667,6.542,6.542,0.0,1.0
2024-05-15,0.5,0.5,0.0,-0.5,0.0,1.0,0.5,1.0,1.0,-0.5,-0.6667,6.0161,6.042,0.0,1.0
2024-05-19,1.0,1.0,0.0,0.4583,1.0,0.625,0.75,2.0,3.0,0.0,-0.20839999999999997,5.4744,6.5003,0.0,1.0
