date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,4400.0,4400.0,0.0,-4400.0,0.0,0.3833,0.2273,4.0,3.0,0.0,-4400.0,-4400.0,-4400.0,0.0,1.0
2023-01-24,11000.0,11000.0,0.0,1500.0,1.0,0.7547,0.4187,4.0,2.0,0.0,-2900.0,-2900.0,-2900.0,0.0,1.0
2023-01-25,6020.0,6020.0,0.0,660.0,1.0,0.7388,0.4228,2.0,5.0,0.0,-2240.0,-2240.0,-2240.0,0.0,1.0
2023-01-26,10500.0,10500.0,0.0,-6590.0,0.0,0.9093,0.4762,2.0,3.0,500.0,-8830.0,-8830.0,-8830.0,0.0,1.0
2023-01-29,8120.0,8120.0,0.0,-4245.0,0.0,0.4524,0.2867,4.0,5.0,0.0,-13075.0,-13075.0,-13075.0,0.0,1.0
2023-01-30,1100.0,1100.0,0.0,-200.0,0.0,0.5372,0.3182,2.0,4.0,0.0,-8875.0,-13275.0,-13275.0,0.0,1.0
2023-01-31,9100.0,9100.0,0.0,2000.0,1.0,0.6401,0.3302,3.0,4.0,100.0,-8375.0,-11275.0,-11275.0,0.0,1.0
2023-02-01,1625.0,1625.0,0.0,-1000.0,0.0,0.5134,0.3385,3.0,3.0,0.0,-10035.0,-12275.0,-12275.0,0.0,1.0
2023-02-02,21300.0,21300.0,0.0,-6500.0,0.0,0.363,0.1597,3.0,4.0,5000.0,-9945.0,-18775.0,-18775.0,0.0,1.0
2023-02-05,12400.0,12400.0,0.0,-1000.0,0.0,0.6774,0.4032,3.0,6.0,0.0,-6700.0,-19775.0,-19775.0,0.0,1.0
2023-02-06,30190.0,30190.0,0.0,-3600.0,0.0,0.9673,0.4885,3.0,4.0,0.0,-10100.0,-23375.0,-23375.0,0.0,1.0
2023-02-07,5856.0,5856.0,0.0,300.0,1.0,0.7536,0.4244,5.0,6.0,0.0,-11800.0,-23075.0,-23075.0,0.0,1.0
