date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8084,0.7024,0.106,0.1523,1.0,0.4734,0.4866,7.0,33.0,-0.1193,0.1523,0.1523,0.1523,0.106,0.0
2023-01-24,0.5829,0.5855,-0.0026,-0.0049,0.0,0.1032,0.1081,20.0,20.0,-0.1035,0.1474,0.1474,0.1474,0.051699999999999996,0.0
2023-01-25,0.6134,0.5893,0.0241,0.0723,1.0,0.2425,0.2793,18.0,22.0,-0.123,0.2197,0.2197,0.2197,0.0425,0.0
2023-01-26,0.701,0.8059,-0.1049,-0.1039,0.0,0.0515,0.0548,30.0,10.0,-0.0081,0.11579999999999999,0.11579999999999999,0.11579999999999999,0.005650000000000002,0.0
2023-01-29,0.5269,0.5619,-0.035,-0.1254,0.0,0.0648,0.0688,22.0,18.0,0.0359,-0.009600000000000025,-0.009600000000000025,-0.009600000000000025,-0.0024799999999999987,1.0
2023-01-30,0.6122,0.6268,-0.0146,0.0512,1.0,0.0901,0.1323,20.0,20.0,0.0448,-0.11070000000000002,0.04159999999999998,0.04159999999999998,-0.0045,1.0
2023-01-31,0.5348,0.5511,-0.0164,0.1767,1.0,0.1164,0.1476,23.0,17.0,0.1476,0.07089999999999998,0.21829999999999997,0.21829999999999997,-0.006199999999999999,0.0
2023-02-01,0.7918,0.7922,-0.0004,0.0691,1.0,0.1088,0.166,20.0,20.0,0.0648,0.06769999999999997,0.2874,0.2874,-0.005474999999999999,0.0
2023-02-02,0.5725,0.6027,-0.0302,-0.0315,0.0,0.0666,0.0878,25.0,14.0,0.0253,0.14009999999999997,0.25589999999999996,0.25589999999999996,-0.008222222222222221,0.0
2023-02-05,0.5487,0.5196,0.029,0.0725,1.0,0.2555,0.2356,18.0,21.0,0.0007,0.33799999999999997,0.32839999999999997,0.32839999999999997,-0.0045,0.0
2023-02-06,0.6338,0.6338,0.0,0.0591,1.0,0.0871,0.0847,19.0,15.0,0.0226,0.3459,0.38749999999999996,0.38749999999999996,-0.00409090909090909,0.0
2023-02-07,0.5349,0.5146,0.0203,0.2734,1.0,0.1206,0.125,20.0,20.0,0.125,0.4426,0.6608999999999999,0.6608999999999999,-0.002058333333333333,0.0
2023-02-08,0.5269,0.5287,-0.0018,0.1786,1.0,0.1563,0.1862,20.0,20.0,-0.1179,0.5521,0.8394999999999999,0.8394999999999999,-0.002038461538461538,0.0
2023-02-09,0.637,0.64,-0.003,0.1977,1.0,0.0875,0.1103,20.0,20.0,-0.014,0.7813,1.0372,1.0372,-0.002107142857142857,0.0
2023-02-12,0.6028,0.6355,-0.0327,0.1414,1.0,0.1018,0.1555,22.0,17.0,0.0,0.8502,1.1785999999999999,1.1785999999999999,-0.004146666666666666,0.0
