date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-04-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-23,0.8548,0.8548,0.0,-0.5602,0.0,0.5921,0.6432,4.0,7.0,-0.1079,-0.5602,-0.5602,-0.5602,0.0,1.0
2023-04-24,0.9226,0.9226,0.0,-0.7872,0.0,0.5011,0.6228,5.0,13.0,-0.1779,-1.3474,-1.3474,-1.3474,0.0,1.0
2023-04-25,0.9808,0.9808,0.0,-0.0962,0.0,0.4062,0.5721,5.0,9.0,-0.0577,-1.4436,-1.4436,-1.4436,0.0,1.0
2023-04-26,0.65,0.65,0.0,-0.35,0.0,0.2426,0.25,6.0,9.0,0.0,-1.7936,-1.7936,-1.7936,0.0,1.0
2023-04-27,0.8205,0.8205,0.0,-0.2051,0.0,0.2188,0.2051,5.0,8.0,0.0,-1.9987,-1.9987,-1.9987,0.0,1.0
2023-04-30,0.4651,0.4651,0.0,-0.1395,0.0,0.44,0.2791,3.0,7.0,-0.093,-1.578,-2.1382,-2.1382,0.0,1.0
2023-05-02,1.0,1.0,0.0,-0.3333,0.0,0.449,0.6061,3.0,7.0,-0.1212,-1.1240999999999999,-2.4715,-2.4715,0.0,1.0
2023-05-03,1.0,1.0,0.0,-0.32,0.0,0.68,0.8,2.0,5.0,0.0,-1.3478999999999999,-2.7915,-2.7915,0.0,1.0
2023-05-04,1.0,1.0,0.0,0.1379,1.0,0.3722,0.4138,3.0,3.0,-0.2759,-0.8600000000000001,-2.6536,-2.6536,0.0,1.0
2023-05-07,1.0,1.0,0.0,-0.125,0.0,0.5156,0.6875,4.0,5.0,0.0,-0.7799,-2.7786,-2.7786,0.0,1.0
2023-05-08,1.0,1.0,0.0,-0.75,0.0,0.4688,0.625,3.0,6.0,-0.25,-1.3904,-3.5286,-3.5286,0.0,1.0
2023-05-09,0.6667,0.6667,0.0,-0.5556,0.0,0.5,0.4444,3.0,3.0,0.0,-1.6127000000000002,-4.0842,-4.0842,0.0,1.0
2023-05-10,0.5957,0.5957,0.0,-0.5106,0.0,0.7551,0.5106,2.0,5.0,0.0,-1.8033000000000001,-4.5948,-4.5948,0.0,1.0
2023-05-11,1.0,1.0,0.0,-0.8889,0.0,0.6296,0.7778,3.0,4.0,0.0,-2.8301,-5.4837,-5.4837,0.0,1.0
2023-05-14,0.8611,0.8611,0.0,-0.3056,0.0,0.6332,0.6528,2.0,4.0,-0.2361,-3.0107,-5.7893,-5.7893,0.0,1.0
2023-05-15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-2.2607,-5.7893,-5.7893,0.0,1.0
2023-05-16,0.6126,0.6126,0.0,-0.0721,0.0,0.3603,0.2793,4.0,4.0,0.0,-1.7772,-5.8614,-5.8614,0.0,1.0
2023-05-17,0.2778,0.2778,0.0,-0.0556,0.0,0.36,0.1111,3.0,5.0,0.0,-1.3222,-5.917,-5.917,0.0,1.0
2023-05-18,1.0,1.0,0.0,-0.4118,0.0,0.5433,0.6471,2.0,3.0,-0.4118,-0.8451,-6.3288,-6.3288,0.0,1.0
2023-05-21,0.9024,0.9024,0.0,-0.5854,0.0,0.3981,0.4878,3.0,5.0,-0.2927,-1.1249,-6.9142,-6.9142,0.0,1.0
2023-05-22,0.4429,0.4429,0.0,0.1714,1.0,0.3673,0.2143,3.0,4.0,0.0,-0.9535,-6.1826,-6.7428,0.0,1.0
2023-05-23,0.75,0.75,0.0,-0.1,0.0,1.0,0.75,1.0,2.0,0.0,-0.9813999999999999,-5.4954,-6.8428,0.0,1.0
2023-05-24,1.0,1.0,0.0,-0.1818,0.0,0.8347,0.9091,2.0,3.0,0.0,-1.1076,-5.581,-7.0246,0.0,1.0
2023-05-30,1.0,1.0,0.0,-0.1212,0.0,0.5776,0.697,2.0,5.0,-0.0303,-0.8170000000000001,-5.352200000000001,-7.1458,0.0,1.0
2023-05-31,1.0,1.0,0.0,-0.25,0.0,0.625,0.75,2.0,4.0,0.0,-0.48160000000000003,-5.3971,-7.3958,0.0,1.0
2023-06-01,0.5753,0.5753,0.0,-0.5205,0.0,0.4895,0.363,4.0,5.0,-0.0274,-1.1735,-5.7781,-7.9163,0.0,1.0
2023-06-04,1.0,1.0,0.0,-1.0,0.0,0.625,0.75,2.0,2.0,-0.75,-2.0735,-6.444800000000001,-8.9163,0.0,1.0
2023-06-05,0.4824,0.4824,0.0,-0.3294,0.0,0.467,0.2941,3.0,7.0,0.0,-2.2211,-6.4542,-9.2457,0.0,1.0
2023-06-06,0.4917,0.4917,0.0,-0.1,0.0,0.5794,0.3667,4.0,6.0,-0.0667,-2.1999,-6.6921,-9.3457,0.0,1.0
2023-06-07,1.0,1.0,0.0,0.5,1.0,0.5,0.5,2.0,2.0,0.5,-1.4499,-6.0671,-8.8457,0.0,1.0
2023-06-08,1.0,1.0,0.0,0.25,1.0,0.5312,0.625,2.0,5.0,0.0,-0.6794,-5.0671,-8.5957,0.0,1.0
2023-06-11,0.8,0.8,0.0,0.8,1.0,1.0,0.8,1.0,4.0,0.0,1.1206,-3.7115,-7.7957,0.0,0.0
2023-06-12,1.0,1.0,0.0,-0.4,0.0,0.2889,0.4,6.0,9.0,-0.0667,1.0500000000000003,-3.6008999999999998,-8.1957,0.0,0.0
2023-06-13,1.0,1.0,0.0,-0.8889,0.0,0.4321,0.5556,3.0,3.0,-0.7778,0.2611,-3.6008999999999998,-9.0846,0.0,0.0
