date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6638,0.6669,-0.0031,-0.1014,0.0,0.1508,0.2233,20.0,20.0,-0.03,-0.1014,-0.1014,-0.1014,-0.0031,1.0
2023-01-24,0.6269,0.6147,0.0122,0.0437,1.0,0.1495,0.1429,16.0,24.0,-0.0218,-0.0577,-0.0577,-0.0577,0.00455,1.0
2023-01-25,0.5477,0.5397,0.008,-0.0852,0.0,0.1838,0.2052,17.0,23.0,0.0771,-0.1429,-0.1429,-0.1429,0.0057,1.0
2023-01-26,0.792,0.7793,0.0127,0.3049,1.0,0.1406,0.1832,18.0,21.0,0.0792,0.162,0.162,0.162,0.00745,0.0
2023-01-29,0.5957,0.569,0.0267,-0.0493,0.0,0.2882,0.295,10.0,30.0,-0.0334,0.11270000000000001,0.11270000000000001,0.11270000000000001,0.011300000000000001,0.0
2023-01-30,0.5215,0.5253,-0.0038,0.0396,1.0,0.1045,0.118,20.0,20.0,-0.0311,0.25370000000000004,0.15230000000000002,0.15230000000000002,0.008783333333333334,0.0
2023-01-31,0.7536,0.7457,0.0079,0.0681,1.0,0.0929,0.131,20.0,20.0,-0.1389,0.2781,0.2204,0.2204,0.008657142857142858,0.0
2023-02-01,0.7894,0.7607,0.0287,-0.0303,0.0,0.2176,0.2537,8.0,32.0,-0.045,0.33299999999999996,0.19010000000000002,0.19010000000000002,0.0111625,0.0
2023-02-02,0.5167,0.5074,0.0093,-0.0436,0.0,0.1934,0.1811,12.0,27.0,-0.0168,-0.01550000000000002,0.14650000000000002,0.14650000000000002,0.010955555555555557,1.0
2023-02-05,0.63,0.6106,0.0194,-0.0438,0.0,0.2133,0.2283,13.0,26.0,0.104,-0.010000000000000023,0.10270000000000001,0.10270000000000001,0.011800000000000001,1.0
2023-02-06,0.8634,0.8384,0.0249,-0.1897,0.0,0.3695,0.4808,8.0,31.0,-0.0487,-0.23930000000000004,-0.087,-0.087,0.012990909090909091,1.0
2023-02-07,0.6827,0.6728,0.0099,-0.1212,0.0,0.1084,0.1193,19.0,21.0,-0.0027,-0.4286,-0.2082,-0.2082,0.012733333333333333,1.0
2023-02-08,0.6749,0.6647,0.0102,-0.2236,0.0,0.172,0.2515,20.0,20.0,-0.0308,-0.6219,-0.43179999999999996,-0.43179999999999996,0.012538461538461538,1.0
2023-02-09,0.7889,0.7643,0.0246,-0.3453,0.0,0.2244,0.2517,12.0,28.0,-0.0502,-0.9236,-0.7771,-0.7771,0.013399999999999999,1.0
2023-02-12,0.5634,0.5556,0.0078,0.0775,1.0,0.2398,0.2096,17.0,23.0,0.0044,-0.8023,-0.6996,-0.6996,0.013026666666666666,1.0
2023-02-14,0.5469,0.5391,0.0078,-0.098,0.0,0.1853,0.2029,19.0,21.0,-0.0286,-0.7106,-0.7976,-0.7976,0.0127,1.0
2023-02-15,0.7053,0.6988,0.0065,0.0016,1.0,0.2591,0.2842,17.0,23.0,0.0178,-0.5878,-0.796,-0.796,0.012335294117647059,1.0
2023-02-16,0.5385,0.5204,0.0181,-0.0978,0.0,0.3844,0.2366,7.0,32.0,-0.0451,-0.46199999999999997,-0.8938,-0.8938,0.012655555555555555,1.0
