date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,1320.0,1320.0,0.0,-510.0,0.0,0.7836,0.4361,4.0,29.0,-100.0,-510.0,-510.0,-510.0,0.0,1.0
2023-01-24,1660.0,1660.0,0.0,-190.0,0.0,0.2867,0.1753,5.0,30.0,-30.0,-700.0,-700.0,-700.0,0.0,1.0
2023-01-25,31534.0,31961.0,-0.0048,9940.0,1.0,0.0859,0.0629,20.0,20.0,1674.0,9240.0,9240.0,9240.0,-0.0015999999999999999,0.0
2023-01-26,41178.0,40777.0,0.0034,-4237.0,0.0,0.135,0.1037,20.0,20.0,12104.0,5003.0,5003.0,5003.0,-0.00034999999999999994,0.0
2023-01-29,17645.0,16375.0,0.0284,-597.0,0.0,0.3815,0.1977,14.0,26.0,8851.0,4406.0,4406.0,4406.0,0.0054,0.0
2023-01-30,8384.0,8703.0,-0.012,-986.0,0.0,0.1416,0.0949,20.0,20.0,1470.0,3930.0,3420.0,3420.0,0.0025000000000000005,0.0
2023-01-31,10901.0,10455.0,0.0135,2408.0,1.0,0.4449,0.2155,13.0,27.0,7123.0,6528.0,5828.0,5828.0,0.004071428571428572,0.0
2023-02-01,23357.0,21821.0,0.028,-1511.0,0.0,0.3268,0.1774,9.0,31.0,9713.0,-4923.0,4317.0,4317.0,0.0070625,1.0
2023-02-02,24843.0,23044.0,0.0285,10895.0,1.0,0.2597,0.183,15.0,25.0,11535.0,10209.0,15212.0,15212.0,0.009444444444444445,0.0
2023-02-05,8994.0,8704.0,0.0126,894.0,1.0,0.4308,0.2501,13.0,26.0,5753.0,11700.0,16106.0,16106.0,0.009760000000000001,0.0
2023-02-06,10573.0,10108.0,0.0194,-2262.0,0.0,0.6914,0.3638,9.0,31.0,-595.0,10424.0,13844.0,13844.0,0.010636363636363637,0.0
2023-02-07,15320.0,14248.0,0.0293,-7703.0,0.0,0.443,0.2657,8.0,32.0,-3718.0,313.0,6141.0,6141.0,0.012191666666666668,0.0
2023-02-08,29627.0,28053.0,0.0224,-13188.0,0.0,0.2544,0.195,16.0,24.0,-16085.0,-11364.0,-7047.0,-7047.0,0.012976923076923079,1.0
2023-02-09,4243.0,4143.0,0.0092,-1180.0,0.0,0.3255,0.1662,13.0,26.0,-160.0,-23439.0,-8227.0,-8227.0,0.012707142857142858,1.0
2023-02-12,10225.0,10360.0,-0.0047,3072.0,1.0,0.1271,0.1054,21.0,19.0,3040.0,-21261.0,-5155.0,-5155.0,0.011546666666666667,1.0
2023-02-14,8372.0,8252.0,0.0061,2325.0,1.0,0.211,0.1648,18.0,21.0,3235.0,-16674.0,-2830.0,-2830.0,0.011206250000000001,1.0
2023-02-15,5276.0,5196.0,0.006,1351.0,1.0,0.2227,0.1627,16.0,24.0,2185.0,-7620.0,-1479.0,-1479.0,0.0109,1.0
2023-02-16,7664.0,7576.0,0.0048,1063.0,1.0,0.3155,0.2202,16.0,22.0,4022.0,6631.0,-416.0,-416.0,0.010561111111111111,0.0
2023-02-20,15844.0,15821.0,0.0006,128.0,1.0,0.5208,0.2981,20.0,20.0,11352.0,7939.0,-288.0,-288.0,0.010036842105263158,0.0
2023-02-22,4290.0,4070.0,0.0148,2258.0,1.0,0.2405,0.1265,14.0,26.0,421.0,7125.0,1970.0,1970.0,0.010275000000000001,0.0
2023-02-23,4878.0,4798.0,0.0039,-2105.0,0.0,0.1437,0.0546,14.0,24.0,-523.0,2695.0,375.0,-135.0,0.01047,0.0
