date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.5781,0.5744,0.0038,-0.1501,0.0,0.097,0.1145,20.0,20.0,0.0635,-0.1501,-0.1501,-0.1501,0.0038,1.0
2023-01-24,0.6701,0.6622,0.0079,-0.1301,0.0,0.1109,0.1406,18.0,22.0,-0.015,-0.2802,-0.2802,-0.2802,0.00585,1.0
2023-01-25,0.8709,0.8689,0.002,-0.2175,0.0,0.1334,0.2128,19.0,21.0,-0.196,-0.49770000000000003,-0.49770000000000003,-0.49770000000000003,0.004566666666666667,1.0
2023-01-26,0.8143,0.8129,0.0014,-0.1117,0.0,0.1432,0.2474,17.0,22.0,-0.1741,-0.6093999999999999,-0.6093999999999999,-0.6093999999999999,0.003775,1.0
2023-01-29,0.8232,0.8211,0.0021,-0.3843,0.0,0.1068,0.1434,17.0,23.0,-0.1643,-0.9937,-0.9937,-0.9937,0.00344,1.0
2023-01-30,0.8026,0.7959,0.0067,-0.0575,0.0,0.1072,0.1573,17.0,23.0,0.0124,-0.9011,-1.0512,-1.0512,0.0039833333333333335,1.0
2023-01-31,0.7647,0.7653,-0.0007,-0.0639,0.0,0.078,0.0926,20.0,20.0,0.02,-0.8349,-1.1151,-1.1151,0.0033142857142857145,1.0
2023-02-01,0.9058,0.9058,0.0,-0.4248,0.0,0.2546,0.3626,9.0,26.0,-0.0684,-1.0422,-1.5399,-1.5399,0.0029000000000000002,1.0
2023-02-02,0.8018,0.8164,-0.0147,-0.4065,0.0,0.1074,0.1587,20.0,19.0,-0.1538,-1.337,-1.9464,-1.9464,0.0009444444444444445,1.0
2023-02-05,0.8439,0.8372,0.0067,0.371,1.0,0.2357,0.3483,15.0,25.0,0.0033,-0.5816999999999999,-1.5754,-1.5754,0.00152,1.0
2023-02-06,0.8405,0.8369,0.0035,-0.1918,0.0,0.2149,0.3483,18.0,22.0,0.0284,-0.716,-1.7671999999999999,-1.7671999999999999,0.0017000000000000001,1.0
2023-02-07,0.7365,0.7198,0.0167,0.2191,1.0,0.1467,0.2253,16.0,24.0,0.0163,-0.433,-1.5481,-1.5481,0.00295,1.0
2023-02-08,0.6051,0.6162,-0.011,-0.2389,0.0,0.0737,0.0716,20.0,20.0,-0.0153,-0.2471,-1.787,-1.787,0.001876923076923077,1.0
2023-02-09,0.7323,0.7323,0.0,0.3126,1.0,0.1495,0.1704,13.0,26.0,0.1704,0.472,-1.4744,-1.4744,0.001742857142857143,0.0
2023-02-12,0.6793,0.6793,0.0,-0.1263,0.0,0.1124,0.1487,18.0,22.0,0.1062,-0.025300000000000017,-1.6007,-1.6007,0.0016266666666666667,1.0
2023-02-14,0.7821,0.7821,0.0,-0.5523,0.0,0.0924,0.1313,17.0,22.0,0.0124,-0.38580000000000003,-2.153,-2.153,0.001525,1.0
2023-02-15,0.8099,0.8099,0.0,0.0369,1.0,0.1645,0.2566,19.0,19.0,0.0133,-0.568,-2.1161,-2.1161,0.001435294117647059,1.0
2023-02-16,0.7087,0.7087,0.0,-0.4457,0.0,0.1559,0.1664,15.0,22.0,-0.1449,-0.7747999999999999,-2.5618,-2.5618,0.0013555555555555556,1.0
2023-02-20,0.6949,0.6922,0.0027,-0.0123,0.0,0.1169,0.1517,15.0,25.0,-0.1046,-1.0997,-2.5741,-2.5741,0.0014263157894736844,1.0
2023-02-22,0.6902,0.6747,0.0155,-0.0843,0.0,0.2121,0.2478,13.0,26.0,-0.1411,-1.0577,-2.6584,-2.6584,0.00213,1.0
2023-02-23,0.9763,0.9763,0.0,0.1434,1.0,0.1438,0.2259,14.0,20.0,-0.1222,-0.362,-2.3649,-2.515,0.00194,1.0
2023-02-26,0.5077,0.5001,0.0076,0.1174,1.0,0.1224,0.1172,18.0,20.0,-0.0756,-0.2815,-2.1174,-2.3976,0.001925,1.0
2023-02-27,0.7343,0.7378,-0.0034,0.0479,1.0,0.1035,0.1408,20.0,20.0,0.0366,0.2121,-1.8519999999999999,-2.3497,0.0016550000000000002,0.0
2023-02-28,0.9051,0.9051,0.0,0.514,1.0,0.3469,0.4771,9.0,25.0,0.4771,0.7384000000000001,-1.2263000000000002,-1.8357,0.001585,0.0
2023-03-01,0.8919,0.8919,0.0,0.2267,1.0,0.1455,0.1703,10.0,23.0,0.0313,1.0494,-0.6153,-1.609,0.00148,0.0
2023-03-02,0.9018,0.9018,0.0,0.1725,1.0,0.1556,0.2634,18.0,17.0,-0.0109,1.0785,-0.3853,-1.4365,0.001145,0.0
2023-03-05,0.6855,0.6855,0.0,-0.4815,0.0,0.4183,0.422,8.0,24.0,-0.0552,0.4796000000000001,-0.8029,-1.918,0.00118,0.0
2023-03-07,0.7202,0.7202,0.0,0.4553,1.0,0.3181,0.3583,9.0,22.0,-0.0279,0.887,0.07719999999999999,-1.4627,0.00118,0.0
