date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,88877.0,85164.0,0.013,323.0,1.0,0.1998,0.1146,20.0,20.0,635.0,323.0,323.0,323.0,0.013,0.0
2023-01-24,41127.0,37303.0,0.0358,5437.0,1.0,0.1962,0.1404,14.0,26.0,-1559.0,5760.0,5760.0,5760.0,0.024399999999999998,0.0
2023-01-25,32448.0,31443.0,0.0101,3522.0,1.0,0.1366,0.0896,19.0,21.0,1095.0,9282.0,9282.0,9282.0,0.019633333333333332,0.0
2023-01-26,24471.0,24523.0,-0.0008,601.0,1.0,0.105,0.0662,20.0,20.0,-5465.0,9883.0,9883.0,9883.0,0.014525,0.0
2023-01-29,28003.0,27492.0,0.0069,1275.0,1.0,0.1614,0.1199,20.0,20.0,-3223.0,11158.0,11158.0,11158.0,0.013000000000000001,0.0
2023-01-30,52920.0,51174.0,0.0102,4087.0,1.0,0.1305,0.0793,19.0,20.0,-4739.0,14922.0,15245.0,15245.0,0.012533333333333332,0.0
2023-01-31,30082.0,28846.0,0.0138,-3942.0,0.0,0.1365,0.0822,20.0,20.0,-646.0,5543.0,11303.0,11303.0,0.012714285714285714,0.0
2023-02-01,19682.0,19657.0,0.0004,2328.0,1.0,0.1524,0.0874,20.0,20.0,1920.0,4349.0,13631.0,13631.0,0.011175,0.0
2023-02-02,22445.0,22246.0,0.0029,6340.0,1.0,0.1884,0.1213,19.0,20.0,-1800.0,10088.0,19971.0,19971.0,0.010255555555555554,0.0
2023-02-05,14588.0,14556.0,0.0007,2560.0,1.0,0.1233,0.0767,19.0,20.0,2043.0,11373.0,22531.0,22531.0,0.0093,0.0
2023-02-06,11911.0,11911.0,0.0,4212.0,1.0,0.1628,0.0906,16.0,24.0,827.0,11498.0,26743.0,26743.0,0.008454545454545454,0.0
