date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6294,0.7063,-0.0769,-0.0501,0.0,0.0613,0.0833,28.0,12.0,-0.1394,-0.0501,-0.0501,-0.0501,-0.0769,1.0
2023-01-24,0.648,0.7179,-0.0698,-0.123,0.0,0.0877,0.1057,25.0,15.0,-0.4711,-0.1731,-0.1731,-0.1731,-0.07335,1.0
2023-01-25,0.6652,0.7287,-0.0635,-0.3659,0.0,0.0711,0.0807,25.0,15.0,-0.61,-0.539,-0.539,-0.539,-0.07006666666666667,1.0
2023-01-26,0.6247,0.6789,-0.0543,0.3638,1.0,0.0772,0.0963,22.0,18.0,0.0446,-0.17520000000000002,-0.17520000000000002,-0.17520000000000002,-0.066125,1.0
2023-01-29,0.6026,0.6253,-0.0228,0.2549,1.0,0.0749,0.0779,20.0,20.0,-0.0052,0.0797,0.0797,0.0797,-0.05746,0.0
2023-01-30,0.6406,0.6697,-0.0291,0.2453,1.0,0.1658,0.2309,21.0,19.0,-0.0179,0.3751,0.32499999999999996,0.32499999999999996,-0.05273333333333333,0.0
2023-01-31,0.6331,0.6852,-0.052,0.2314,1.0,0.1166,0.1485,25.0,15.0,-0.0142,0.7295,0.5564,0.5564,-0.05262857142857143,0.0
2023-02-01,0.6233,0.6869,-0.0636,0.2343,1.0,0.0741,0.1015,28.0,12.0,0.02,1.3297,0.7907,0.7907,-0.054,0.0
2023-02-02,0.5704,0.6174,-0.047,0.2888,1.0,0.0969,0.1396,21.0,19.0,0.0163,1.2547,1.0795,1.0795,-0.05322222222222222,0.0
2023-02-05,0.5673,0.5677,-0.0005,0.0528,1.0,0.0869,0.0801,20.0,20.0,-0.044,1.0526,1.1323,1.1323,-0.04795,0.0
2023-02-06,0.644,0.6558,-0.0118,0.2915,1.0,0.1819,0.2042,20.0,20.0,0.0088,1.0988,1.4238,1.4238,-0.044663636363636364,0.0
2023-02-07,0.3965,0.4042,-0.0077,0.1923,1.0,0.0792,0.0718,20.0,20.0,0.0718,1.0596999999999999,1.6161,1.6161,-0.04158333333333333,0.0
2023-02-08,0.5052,0.5197,-0.0144,0.0535,1.0,0.0852,0.0899,20.0,20.0,-0.0107,0.8789,1.6696,1.6696,-0.03949230769230769,0.0
2023-02-09,0.4939,0.5558,-0.062,-0.102,0.0,0.069,0.085,20.0,20.0,0.0158,0.4881,1.5676,1.5676,-0.041100000000000005,0.0
2023-02-12,0.4815,0.4906,-0.0091,-0.2295,0.0,0.0964,0.1136,20.0,20.0,-0.1962,0.20579999999999993,1.3381,1.3381,-0.03896666666666667,0.0
2023-02-14,0.5422,0.5279,0.0143,-0.0474,0.0,0.1149,0.1122,20.0,20.0,-0.0424,-0.13310000000000005,1.2907,1.2907,-0.0356375,1.0
