date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7655,0.7655,0.0,0.2136,1.0,0.229,0.3377,15.0,17.0,-0.125,0.2136,0.2136,0.2136,0.0,0.0
2023-01-24,0.8503,0.8503,0.0,-0.1699,0.0,0.251,0.3859,12.0,22.0,-0.0078,0.04370000000000002,0.04370000000000002,0.04370000000000002,0.0,0.0
2023-01-25,0.8929,0.8896,0.0032,-0.1143,0.0,0.2915,0.3932,14.0,26.0,-0.0106,-0.07059999999999998,-0.07059999999999998,-0.07059999999999998,0.0010666666666666667,1.0
2023-01-26,0.6569,0.6542,0.0027,0.0401,1.0,0.1428,0.1487,15.0,24.0,-0.0027,-0.030499999999999985,-0.030499999999999985,-0.030499999999999985,0.0014750000000000002,1.0
2023-01-29,0.7597,0.7563,0.0034,0.3462,1.0,0.1221,0.1613,19.0,21.0,-0.0114,0.31570000000000004,0.31570000000000004,0.31570000000000004,0.0018599999999999999,0.0
2023-01-30,0.6682,0.6605,0.0077,-0.16,0.0,0.3064,0.3554,19.0,21.0,-0.031,-0.05789999999999998,0.15570000000000003,0.15570000000000003,0.0028333333333333335,1.0
2023-01-31,0.8594,0.8594,0.0,-0.4192,0.0,0.1435,0.2073,17.0,12.0,0.0729,-0.30720000000000003,-0.26349999999999996,-0.26349999999999996,0.002428571428571429,1.0
2023-02-01,0.7204,0.7204,0.0,0.2283,1.0,0.2749,0.3435,11.0,27.0,0.0158,0.03539999999999999,-0.035199999999999954,-0.035199999999999954,0.002125,0.0
2023-02-02,0.7641,0.7641,0.0,-0.2498,0.0,0.2475,0.2779,13.0,11.0,0.0139,-0.2545,-0.2849999999999999,-0.2849999999999999,0.001888888888888889,1.0
2023-02-05,0.8654,0.8654,0.0,-0.1923,0.0,0.4396,0.5266,7.0,21.0,-0.0176,-0.793,-0.47729999999999995,-0.47729999999999995,0.0017000000000000001,1.0
2023-02-06,0.6325,0.6325,0.0,-0.2477,0.0,0.2346,0.2116,7.0,15.0,-0.2557,-0.8807,-0.725,-0.725,0.0015454545454545456,1.0
2023-02-07,0.5641,0.5654,-0.0013,0.1551,1.0,0.0851,0.0818,20.0,20.0,-0.0032,-0.3064,-0.5699,-0.5699,0.0013083333333333332,1.0
2023-02-08,0.5734,0.5734,0.0,-0.0154,0.0,0.1907,0.2018,18.0,21.0,0.0167,-0.5500999999999999,-0.5852999999999999,-0.5852999999999999,0.0012076923076923076,1.0
2023-02-09,0.8606,0.8606,0.0,-0.4219,0.0,0.0827,0.1035,21.0,11.0,0.0038,-0.7222000000000001,-1.0072,-1.0072,0.0011214285714285714,1.0
2023-02-12,0.6269,0.6319,-0.005,-0.0438,0.0,0.124,0.1521,20.0,20.0,-0.1762,-0.5737,-1.051,-1.051,0.0007133333333333334,1.0
2023-02-14,0.8141,0.8141,0.0,0.134,1.0,0.1362,0.1805,15.0,16.0,0.0091,-0.192,-0.917,-0.917,0.0006687500000000001,1.0
2023-02-15,0.6919,0.6919,0.0,0.3342,1.0,0.1183,0.1522,22.0,14.0,0.0226,-0.012900000000000023,-0.5828,-0.5828,0.0006294117647058825,1.0
2023-02-16,0.6027,0.6027,0.0,0.1597,1.0,0.0981,0.1205,25.0,11.0,-0.0135,0.16219999999999998,-0.4231,-0.4231,0.0005944444444444445,0.0
2023-02-20,0.8122,0.8122,0.0,0.2466,1.0,0.1212,0.1723,18.0,13.0,-0.0251,0.8307,-0.17649999999999996,-0.17649999999999996,0.0005631578947368421,0.0
2023-02-22,0.5394,0.5394,0.0,0.3323,1.0,0.3659,0.3161,15.0,15.0,0.0272,1.2067999999999999,0.15580000000000002,0.15580000000000002,0.0005350000000000001,0.0
2023-02-23,0.8028,0.8051,-0.0024,0.414,1.0,0.2313,0.3607,20.0,18.0,-0.005,1.4868000000000001,0.35619999999999996,0.5698,0.000415,0.0
2023-02-26,0.652,0.652,0.0,-0.0253,0.0,0.2119,0.2431,14.0,17.0,0.0,1.1273,0.5008,0.5445,0.000415,0.0
2023-02-27,0.6242,0.6242,0.0,-0.2048,0.0,0.1769,0.192,15.0,20.0,-0.0048,0.7627999999999999,0.4103,0.3397,0.000255,0.0
2023-02-28,0.7978,0.7978,0.0,0.1724,1.0,0.2826,0.4017,15.0,18.0,-0.0112,0.6885999999999999,0.5426,0.5121,0.00012000000000000002,0.0
2023-03-01,0.7723,0.7723,0.0,0.2314,1.0,0.2332,0.3053,11.0,18.0,0.021,0.5877,0.42779999999999996,0.7435,-4.999999999999998e-05,0.0
2023-03-02,0.8053,0.8053,0.0,0.273,1.0,0.1865,0.2434,12.0,21.0,-0.0604,0.44670000000000004,0.8608,1.0165000000000002,-0.00043499999999999995,0.0
2023-03-05,0.7805,0.7805,0.0,0.2637,1.0,0.1844,0.2497,19.0,13.0,0.0206,0.7357,1.5437,1.2802,-0.00043499999999999995,0.0
2023-03-07,0.8718,0.8718,0.0,0.1957,1.0,0.2034,0.3389,18.0,11.0,0.0106,1.1362,1.5111,1.4759,-0.00043499999999999995,0.0
2023-03-09,0.8456,0.8456,0.0,0.3874,1.0,0.2281,0.3577,13.0,21.0,-0.0023,1.3512,2.1483,1.8633000000000002,-0.00043499999999999995,0.0
2023-03-12,0.7653,0.7653,0.0,-0.0731,0.0,0.2743,0.2638,9.0,17.0,-0.0088,1.0467,2.2675,1.7902,-0.00043499999999999995,0.0
2023-03-13,0.728,0.728,0.0,0.3797,1.0,0.1834,0.2149,12.0,12.0,0.0,1.1534,2.8949,2.1699,-0.00043499999999999995,0.0
2023-03-14,0.76,0.76,0.0,0.0967,1.0,0.2281,0.3042,12.0,18.0,0.0183,0.9864,2.8365,2.2666,-0.00037,0.0
2023-03-15,0.849,0.849,0.0,0.0753,1.0,0.1634,0.2225,17.0,14.0,0.0127,0.8660000000000001,2.9272,2.3419,-0.00037,0.0
2023-03-16,0.8056,0.8056,0.0,0.2615,1.0,0.2236,0.2927,15.0,20.0,0.0142,0.7401000000000001,3.6106,2.6034,-0.00037,0.0
2023-03-19,0.7975,0.7975,0.0,0.0261,1.0,0.2421,0.3432,12.0,19.0,-0.0366,0.8393000000000002,3.6805,2.6295,-0.00011999999999999996,0.0
2023-03-20,0.6845,0.6845,0.0,0.5714,1.0,0.6738,0.5578,8.0,23.0,0.0046,1.0310000000000001,4.117900000000001,3.2009,-0.00011999999999999996,0.0
2023-03-22,0.6798,0.6798,0.0,0.2174,1.0,0.4012,0.3118,9.0,20.0,0.0,1.1517000000000002,4.0011,3.4183,-0.00011999999999999996,0.0
2023-03-23,0.9262,0.9262,0.0,0.6024,1.0,0.231,0.3965,15.0,11.0,-0.0131,1.6788000000000003,4.4438,4.0207,-0.00011999999999999996,0.0
2023-03-26,0.2866,0.2866,0.0,0.0613,1.0,0.1445,0.0745,23.0,14.0,-0.0021,1.4786000000000001,4.258500000000001,4.082,-0.00011999999999999996,0.0
2023-03-27,0.7138,0.7138,0.0,0.1622,1.0,0.1233,0.1845,15.0,16.0,-0.0124,1.6147000000000002,4.0884,4.2442,-0.00011999999999999996,0.0
2023-03-28,0.7632,0.7632,0.0,0.073,1.0,0.3658,0.4409,15.0,23.0,-0.0255,1.1163000000000003,3.7474000000000003,4.317200000000001,0.0,0.0
2023-03-29,0.8352,0.7981,0.0371,0.2806,1.0,0.4898,0.5743,11.0,29.0,-0.1338,1.1795000000000002,4.0533,4.5978,0.001855,0.0
2023-03-30,0.5529,0.5251,0.0277,0.1269,1.0,0.1665,0.1794,17.0,22.0,0.0009,0.7040000000000002,4.385,4.7247,0.00324,0.0
2023-04-02,0.7116,0.6905,0.0211,0.1556,1.0,0.1448,0.2192,18.0,20.0,0.0342,0.7983000000000001,4.3682,4.8803,0.004295,0.0
2023-04-03,0.6826,0.6826,0.0,0.1713,1.0,0.1182,0.1467,22.0,16.0,0.1467,0.8074000000000001,4.3081000000000005,5.0516000000000005,0.004295,0.0
2023-04-04,0.6622,0.6622,0.0,-0.1298,0.0,0.1352,0.194,19.0,16.0,-0.2861,0.6046000000000001,3.9053,4.9218,0.004295,0.0
2023-04-05,0.7856,0.7856,0.0,-0.368,0.0,0.119,0.1931,20.0,18.0,-0.0153,-0.04399999999999987,3.2736,4.5538,0.004295,1.0
2023-04-06,0.5803,0.5803,0.0,0.2595,1.0,0.1532,0.1251,11.0,23.0,-0.0043,0.08860000000000012,3.3374,4.8133,0.004295,0.0
2023-04-09,0.7433,0.7433,0.0,0.4378,1.0,0.1507,0.192,17.0,14.0,-0.0433,0.37080000000000013,3.3878000000000004,5.2511,0.004295,0.0
2023-04-10,0.7248,0.7248,0.0,0.4802,1.0,0.2205,0.307,14.0,15.0,0.042,0.6797000000000002,3.9411,5.7313,0.004295,0.0
2023-04-11,0.7937,0.7937,0.0,0.224,1.0,0.294,0.3907,12.0,28.0,-0.0316,1.0335000000000003,3.7854,5.9553,0.004295,0.0
2023-04-12,0.5833,0.6343,-0.051,-0.0619,0.0,0.1073,0.1474,23.0,16.0,0.0112,1.3396000000000003,3.6268000000000002,5.893400000000001,0.001745,0.0
2023-04-13,0.7318,0.7161,0.0157,0.3948,1.0,0.209,0.2715,15.0,25.0,0.0021,1.4749000000000003,3.9463000000000004,6.2882,0.00253,0.0
2023-04-16,0.563,0.5432,0.0198,0.1592,1.0,0.1987,0.2272,20.0,20.0,-0.0189,1.1963000000000001,3.844,6.4474,0.00352,0.0
2023-04-17,0.6808,0.6344,0.0463,0.0782,1.0,0.1332,0.1589,16.0,24.0,-0.0363,0.7943000000000001,3.8961000000000006,6.5256,0.005835,0.0
2023-04-18,0.4547,0.4405,0.0142,0.1385,1.0,0.1076,0.0885,20.0,20.0,-0.0393,0.7088000000000001,3.4632000000000005,6.6641,0.006545,0.0
2023-04-19,0.5885,0.5759,0.0126,0.2234,1.0,0.1136,0.1367,19.0,20.0,0.0336,0.9941000000000002,3.4692000000000003,6.8875,0.007174999999999999,0.0
2023-04-20,0.6427,0.6366,0.0061,0.115,1.0,0.1427,0.1703,16.0,24.0,-0.022,0.7143000000000002,2.9818,7.0025,0.0074800000000000005,0.0
2023-04-23,0.671,0.6693,0.0017,0.13,1.0,0.1574,0.1701,18.0,20.0,-0.0215,0.6851000000000002,3.0505000000000004,7.1325,0.007565,0.0
2023-04-24,0.8025,0.8025,0.0,0.1704,1.0,0.0855,0.1061,24.0,15.0,0.057,0.7773000000000001,3.0587,7.3029,0.007565,0.0
2023-04-25,0.7601,0.7601,0.0,0.3898,1.0,0.2752,0.3734,16.0,22.0,-0.0001,1.0286000000000002,3.3754999999999997,7.4791,0.007565,0.0
2023-04-26,0.6403,0.6342,0.0061,0.1227,1.0,0.1175,0.14,20.0,20.0,-0.019,0.9279000000000001,3.2176,7.7717,0.006015,0.0
2023-04-27,0.7068,0.7068,0.0,0.0695,1.0,0.1523,0.2247,14.0,26.0,0.0394,0.8824000000000001,3.1602,7.9555,0.0046300000000000004,0.0
2023-04-30,0.5517,0.5361,0.0156,-0.0423,0.0,0.1402,0.1619,15.0,23.0,0.011,0.7101000000000002,2.9623,7.8731,0.0043549999999999995,0.0
2023-05-02,0.6561,0.6264,0.0298,0.0942,1.0,0.1184,0.1332,19.0,21.0,0.1332,0.6339000000000001,2.8852,7.6211,0.005845,0.0
2023-05-03,0.7734,0.7734,0.0,0.1978,1.0,0.1159,0.1518,19.0,16.0,-0.0062,0.4419000000000002,3.2128,7.978899999999999,0.005845,0.0
2023-05-04,0.698,0.698,0.0,0.2957,1.0,0.1353,0.1704,18.0,17.0,0.0192,0.6149000000000002,3.8765,8.6938,0.005845,0.0
2023-05-07,0.6434,0.6434,0.0,0.0785,1.0,0.1684,0.216,18.0,22.0,-0.0069,0.6239000000000001,3.6955,8.544,0.005845,0.0
2023-05-08,0.6817,0.6817,0.0,-0.0049,0.0,0.095,0.1134,19.0,21.0,0.026,0.6613000000000002,3.2528,8.7889,0.005845,0.0
2023-05-09,0.6763,0.6763,0.0,-0.1386,0.0,0.1544,0.1865,14.0,23.0,-0.0346,0.4285000000000002,2.634,8.842600000000001,0.005845,0.0
2023-05-10,0.7348,0.7348,0.0,-0.2212,0.0,0.2897,0.3378,12.0,20.0,-0.1021,0.009500000000000175,2.1887999999999996,8.869100000000001,0.005845,0.0
2023-05-11,0.7575,0.7575,0.0,-0.424,0.0,0.1617,0.1705,9.0,21.0,-0.0097,-0.7101999999999998,1.8267,8.29,0.008395,1.0
