date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,4748.0,4508.0,0.0159,-175.0,0.0,0.091,0.0525,18.0,20.0,-420.0,-175.0,-175.0,-175.0,0.0159,1.0
2023-01-24,1684.0,1574.0,0.0189,310.0,1.0,0.1574,0.0739,15.0,21.0,-210.0,135.0,135.0,135.0,0.0174,0.0
2023-01-25,3333.0,3148.0,0.018,-454.0,0.0,0.2252,0.1375,13.0,25.0,-430.0,-319.0,-319.0,-319.0,0.0176,1.0
2023-01-26,1381.0,1381.0,0.0,30.0,1.0,0.1548,0.0818,13.0,25.0,-135.0,-289.0,-289.0,-289.0,0.0132,1.0
2023-01-29,2098.0,1990.0,0.0165,757.0,1.0,0.1586,0.0801,13.0,27.0,-265.0,468.0,468.0,468.0,0.01386,0.0
2023-01-30,3134.0,3069.0,0.0069,433.0,1.0,0.1336,0.0757,18.0,20.0,50.0,1076.0,901.0,901.0,0.012700000000000001,0.0
2023-01-31,1745.0,1705.0,0.0082,-455.0,0.0,0.1864,0.1352,19.0,20.0,-230.0,311.0,446.0,446.0,0.012057142857142858,0.0
2023-02-01,905.0,905.0,0.0,15.0,1.0,0.1354,0.078,14.0,21.0,-40.0,780.0,461.0,461.0,0.01055,0.0
2023-02-02,2678.0,2678.0,0.0,-695.0,0.0,0.1524,0.1293,19.0,19.0,-205.0,55.0,-234.0,-234.0,0.009377777777777778,0.0
2023-02-05,2003.0,1973.0,0.0053,88.0,1.0,0.139,0.0794,14.0,24.0,-170.0,-614.0,-146.0,-146.0,0.00897,1.0
2023-02-06,1099.0,1079.0,0.0059,-30.0,0.0,0.2321,0.1176,11.0,26.0,-219.0,-1077.0,-176.0,-176.0,0.008690909090909091,1.0
2023-02-07,1118.0,1098.0,0.0054,30.0,1.0,0.1011,0.0653,15.0,22.0,-190.0,-592.0,-146.0,-146.0,0.008416666666666668,1.0
2023-02-08,1189.0,1189.0,0.0,127.0,1.0,0.138,0.0859,16.0,18.0,-160.0,-480.0,-19.0,-19.0,0.00776923076923077,1.0
2023-02-09,852.0,852.0,0.0,-85.0,0.0,0.1044,0.0467,14.0,21.0,-70.0,130.0,-104.0,-104.0,0.007214285714285715,0.0
2023-02-12,1564.0,1564.0,0.0,108.0,1.0,0.0983,0.0481,20.0,19.0,116.0,150.0,4.0,4.0,0.006733333333333333,0.0
2023-02-14,1085.0,1085.0,0.0,-479.0,0.0,0.0855,0.0533,19.0,20.0,120.0,-299.0,-475.0,-475.0,0.0063125,1.0
2023-02-15,1365.0,1345.0,0.005,-980.0,0.0,0.0841,0.052,20.0,20.0,-127.0,-1309.0,-1455.0,-1455.0,0.0062352941176470585,1.0
2023-02-16,1654.0,1634.0,0.0041,-267.0,0.0,0.1349,0.098,20.0,20.0,-85.0,-1703.0,-1722.0,-1722.0,0.006116666666666667,1.0
2023-02-20,901.0,881.0,0.0075,19.0,1.0,0.1838,0.098,13.0,26.0,-101.0,-1599.0,-1703.0,-1703.0,0.006189473684210526,1.0
2023-02-22,1965.0,1957.0,0.0013,-11.0,0.0,0.0816,0.0392,20.0,20.0,3.0,-1718.0,-1714.0,-1714.0,0.005945000000000001,1.0
2023-02-23,4264.0,4024.0,0.0181,-2515.0,0.0,0.4145,0.203,17.0,22.0,-685.0,-3754.0,-4054.0,-4229.0,0.0060550000000000005,1.0
2023-02-26,2767.0,2717.0,0.0056,-1067.0,0.0,0.1036,0.0691,19.0,20.0,-90.0,-3841.0,-5431.0,-5296.0,0.005390000000000001,1.0
2023-02-27,950.0,950.0,0.0,145.0,1.0,0.1263,0.0761,16.0,17.0,0.0,-3429.0,-4832.0,-5151.0,0.00449,1.0
2023-02-28,1275.0,1275.0,0.0,-1065.0,0.0,0.2377,0.1734,11.0,18.0,-40.0,-4513.0,-5927.0,-6216.0,0.00449,1.0
2023-03-01,2452.0,2452.0,0.0,302.0,1.0,0.1097,0.0751,17.0,18.0,-50.0,-4200.0,-6382.0,-5914.0,0.0036650000000000003,1.0
2023-03-02,1432.0,1432.0,0.0,184.0,1.0,0.1125,0.065,16.0,15.0,100.0,-1501.0,-6631.0,-5730.0,0.00332,1.0
2023-03-05,777.0,777.0,0.0,-29.0,0.0,0.0973,0.0593,16.0,16.0,36.0,-463.0,-6205.0,-5759.0,0.0029100000000000003,1.0
2023-03-07,950.0,950.0,0.0,-350.0,0.0,0.0783,0.057,20.0,12.0,150.0,-958.0,-6570.0,-6109.0,0.0029100000000000003,1.0
2023-03-09,635.0,635.0,0.0,-75.0,0.0,0.346,0.1833,8.0,18.0,0.0,32.0,-5950.0,-6184.0,0.0029100000000000003,0.0
2023-03-12,775.0,775.0,0.0,-220.0,0.0,0.1822,0.1106,12.0,18.0,-25.0,-490.0,-6258.0,-6404.0,0.002645,1.0
2023-03-13,453.0,453.0,0.0,258.0,1.0,0.3035,0.1682,7.0,19.0,75.0,-416.0,-5970.0,-6146.0,0.00235,1.0
2023-03-14,390.0,390.0,0.0,-190.0,0.0,0.2821,0.1735,7.0,10.0,20.0,-577.0,-6190.0,-6336.0,0.0020800000000000003,1.0
2023-03-15,410.0,410.0,0.0,20.0,1.0,0.185,0.1035,8.0,12.0,80.0,-207.0,-6297.0,-6316.0,0.0020800000000000003,1.0
2023-03-16,866.0,866.0,0.0,326.0,1.0,0.1626,0.091,12.0,13.0,210.0,194.0,-5886.0,-5990.0,0.0020800000000000003,0.0
2023-03-19,5799.0,5704.0,0.0059,3659.0,1.0,0.2525,0.1363,17.0,23.0,122.0,4073.0,-2335.0,-2331.0,0.002375,0.0
2023-03-20,508.0,508.0,0.0,245.0,1.0,0.2687,0.2099,10.0,15.0,-10.0,4060.0,-1611.0,-2086.0,0.002375,0.0
2023-03-22,1552.0,1552.0,0.0,-785.0,0.0,0.2,0.1558,15.0,15.0,80.0,3465.0,-1416.0,-2871.0,0.0021249999999999997,0.0
2023-03-23,1431.0,1431.0,0.0,430.0,1.0,0.1155,0.0813,18.0,7.0,47.0,3875.0,-719.0,-2441.0,0.0019200000000000003,0.0
2023-03-26,2059.0,2059.0,0.0,416.0,1.0,0.1997,0.1129,18.0,16.0,85.0,3965.0,-322.0,-2025.0,0.001545,0.0
2023-03-27,1644.0,1644.0,0.0,-103.0,0.0,0.1376,0.1035,21.0,14.0,417.0,203.0,-414.0,-2128.0,0.00148,0.0
2023-03-28,1286.0,1286.0,0.0,-197.0,0.0,0.1021,0.0485,16.0,16.0,50.0,-239.0,1904.0,-2325.0,0.000575,1.0
2023-03-29,647.0,647.0,0.0,-210.0,0.0,0.2626,0.1982,13.0,10.0,97.0,336.0,2761.0,-2535.0,0.000295,0.0
2023-03-30,900.0,900.0,0.0,-375.0,0.0,0.3321,0.2154,11.0,13.0,-29.0,-469.0,2241.0,-2910.0,0.000295,1.0
2023-04-02,704.0,704.0,0.0,110.0,1.0,0.2024,0.1603,9.0,14.0,-30.0,-775.0,3416.0,-2800.0,0.000295,1.0
2023-04-03,400.0,400.0,0.0,260.0,1.0,0.1825,0.1489,9.0,12.0,-30.0,-412.0,3374.0,-2540.0,0.000295,1.0
2023-04-04,130.0,130.0,0.0,31.0,1.0,0.2189,0.1131,7.0,12.0,50.0,-184.0,3221.0,-2509.0,0.000295,1.0
2023-04-05,275.0,275.0,0.0,-40.0,0.0,0.1696,0.0941,10.0,11.0,60.0,-14.0,3210.0,-2549.0,0.000295,1.0
2023-04-06,382.0,382.0,0.0,90.0,1.0,0.1919,0.1165,8.0,10.0,-10.0,451.0,3650.0,-2459.0,0.000295,0.0
2023-04-09,150.0,150.0,0.0,10.0,1.0,0.2356,0.1429,7.0,11.0,0.0,351.0,3735.0,-2449.0,0.000295,0.0
2023-04-10,300.0,300.0,0.0,10.0,1.0,0.2933,0.141,6.0,9.0,40.0,101.0,3965.0,-2439.0,0.000295,0.0
2023-04-11,525.0,525.0,0.0,-25.0,0.0,0.27,0.1185,8.0,13.0,-50.0,45.0,3682.0,-2464.0,0.000295,0.0
2023-04-12,1240.0,1240.0,0.0,525.0,1.0,0.3003,0.183,12.0,14.0,259.0,610.0,4397.0,-1939.0,0.000295,0.0
2023-04-13,710.0,710.0,0.0,218.0,1.0,0.1772,0.125,10.0,12.0,108.0,738.0,4595.0,-1721.0,0.000295,0.0
2023-04-16,260.0,260.0,0.0,-72.0,0.0,0.1847,0.0897,8.0,8.0,-5.0,656.0,4197.0,-1793.0,0.000295,0.0
2023-04-17,360.0,360.0,0.0,50.0,1.0,0.4336,0.2949,8.0,9.0,-140.0,696.0,588.0,-1743.0,0.0,0.0
2023-04-18,354.0,354.0,0.0,19.0,1.0,0.2644,0.1392,6.0,9.0,40.0,740.0,362.0,-1724.0,0.0,0.0
2023-04-19,350.0,350.0,0.0,-130.0,0.0,0.2931,0.1951,6.0,14.0,0.0,85.0,1017.0,-1854.0,0.0,0.0
2023-04-20,74.0,74.0,0.0,-6.0,0.0,0.1673,0.0467,7.0,6.0,10.0,-139.0,581.0,-1860.0,0.0,1.0
