date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,39728.0,39872.0,-0.0009,-1546.0,0.0,0.1211,0.0694,20.0,20.0,-661.0,-1546.0,-1546.0,-1546.0,-0.0009,1.0
2023-01-24,42241.0,41780.0,0.0036,1225.0,1.0,0.156,0.0899,20.0,20.0,-200.0,-321.0,-321.0,-321.0,0.00135,1.0
2023-01-25,76604.0,77252.0,-0.0035,-19841.0,0.0,0.209,0.1584,20.0,20.0,-470.0,-20162.0,-20162.0,-20162.0,-0.0002666666666666666,1.0
2023-01-26,41932.0,42788.0,-0.0074,721.0,1.0,0.128,0.0888,20.0,20.0,-171.0,-19441.0,-19441.0,-19441.0,-0.00205,1.0
2023-01-29,40244.0,40136.0,0.001,7615.0,1.0,0.1288,0.0933,20.0,20.0,641.0,-11826.0,-11826.0,-11826.0,-0.00144,1.0
2023-01-30,31865.0,31977.0,-0.0013,4463.0,1.0,0.1165,0.0899,20.0,20.0,1388.0,-5817.0,-7363.0,-7363.0,-0.0014166666666666668,1.0
2023-01-31,29973.0,29315.0,0.0079,-11139.0,0.0,0.1929,0.1287,18.0,22.0,-12113.0,-18181.0,-18502.0,-18502.0,-8.571428571428569e-05,1.0
2023-02-01,27786.0,27939.0,-0.0023,-177.0,0.0,0.1314,0.0992,20.0,20.0,182.0,1483.0,-18679.0,-18679.0,-0.0003625,0.0
2023-02-02,40230.0,41010.0,-0.0076,17256.0,1.0,0.1442,0.1157,26.0,14.0,-11997.0,18018.0,-1423.0,-1423.0,-0.0011666666666666665,0.0
2023-02-05,49220.0,49044.0,0.0013,21976.0,1.0,0.1115,0.0845,20.0,20.0,3010.0,32379.0,20553.0,20553.0,-0.00092,0.0
2023-02-06,40140.0,41615.0,-0.0139,18851.0,1.0,0.115,0.1035,26.0,14.0,458.0,46767.0,39404.0,39404.0,-0.0021,0.0
2023-02-07,58511.0,58547.0,-0.0002,25961.0,1.0,0.1554,0.1007,20.0,20.0,1223.0,83867.0,65365.0,65365.0,-0.0019416666666666664,0.0
2023-02-08,56935.0,56088.0,0.0056,15282.0,1.0,0.1389,0.115,19.0,21.0,-6355.0,99326.0,80647.0,80647.0,-0.0013615384615384616,0.0
2023-02-09,32500.0,33100.0,-0.0063,7080.0,1.0,0.1075,0.086,26.0,14.0,302.0,89150.0,87727.0,87727.0,-0.0017142857142857144,0.0
2023-02-12,43888.0,43574.0,0.0019,12903.0,1.0,0.101,0.061,20.0,20.0,1840.0,80077.0,100630.0,100630.0,-0.0014733333333333332,0.0
2023-02-14,24360.0,24998.0,-0.0095,-4731.0,0.0,0.134,0.1099,21.0,19.0,626.0,56495.0,95899.0,95899.0,-0.0019749999999999998,0.0
2023-02-15,61371.0,62294.0,-0.0057,-9868.0,0.0,0.108,0.0952,27.0,13.0,4058.0,20666.0,86031.0,86031.0,-0.0021941176470588234,0.0
2023-02-16,45456.0,48395.0,-0.0227,8664.0,1.0,0.0904,0.068,24.0,16.0,1693.0,14048.0,94695.0,94695.0,-0.003333333333333333,0.0
2023-02-20,16391.0,16801.0,-0.009,-4035.0,0.0,0.08,0.0635,21.0,19.0,304.0,2933.0,90660.0,90660.0,-0.0036315789473684206,0.0
2023-02-22,19713.0,19071.0,0.009,7238.0,1.0,0.1922,0.1101,19.0,20.0,-588.0,-2732.0,97898.0,97898.0,-0.003,1.0
2023-02-23,38584.0,38808.0,-0.002,-5183.0,0.0,0.1285,0.0775,20.0,20.0,3391.0,-3184.0,94261.0,92715.0,-0.003055,1.0
2023-02-26,32821.0,33189.0,-0.003,2692.0,1.0,0.1197,0.0512,20.0,20.0,-2838.0,9376.0,95728.0,95407.0,-0.003385,0.0
2023-02-27,67893.0,68152.0,-0.0014,-3554.0,0.0,0.1987,0.1398,20.0,20.0,-1799.0,-2842.0,112015.0,91853.0,-0.0032800000000000004,1.0
2023-02-28,70315.0,73755.0,-0.0085,-29355.0,0.0,0.0991,0.0314,23.0,17.0,2056.0,-28162.0,81939.0,62498.0,-0.003335,1.0
2023-03-01,36428.0,36310.0,0.0012,-5004.0,0.0,0.1153,0.0931,20.0,20.0,447.0,-40404.0,69320.0,57494.0,-0.0033250000000000003,1.0
2023-03-02,20577.0,20795.0,-0.0037,4544.0,1.0,0.0831,0.048,20.0,20.0,-233.0,-30677.0,69401.0,62038.0,-0.003445,1.0
2023-03-05,30688.0,31828.0,-0.013,-14419.0,0.0,0.0952,0.0673,22.0,18.0,-981.0,-47788.0,66121.0,47619.0,-0.004489999999999999,1.0
2023-03-07,37422.0,37439.0,-0.0002,16184.0,1.0,0.2438,0.1725,22.0,18.0,14248.0,-28050.0,82482.0,63803.0,-0.004385,1.0
2023-03-09,31305.0,29937.0,0.016,1565.0,1.0,0.1232,0.0783,19.0,21.0,2130.0,2870.0,66791.0,65368.0,-0.0032050000000000004,0.0
2023-03-12,29146.0,28379.0,0.0081,3049.0,1.0,0.1334,0.0774,20.0,20.0,0.0,10923.0,47864.0,68417.0,-0.002865,0.0
2023-03-13,55697.0,59094.0,-0.022,-27190.0,0.0,0.0671,0.0427,33.0,7.0,2280.0,-20811.0,1823.0,41227.0,-0.0032699999999999995,1.0
2023-03-14,16115.0,16115.0,0.0,-4992.0,0.0,0.0958,0.076,19.0,17.0,-992.0,-11384.0,-29130.0,36235.0,-0.0032600000000000003,1.0
2023-03-15,32678.0,33171.0,-0.0011,-15574.0,0.0,0.2101,0.0295,20.0,19.0,844.0,-43142.0,-59986.0,20661.0,-0.0035949999999999997,1.0
2023-03-16,54304.0,55907.0,-0.011,-14518.0,0.0,0.0986,0.0772,26.0,14.0,11232.0,-59225.0,-81584.0,6143.0,-0.00383,1.0
2023-03-19,22411.0,22312.0,0.0016,-7700.0,0.0,0.0837,0.0646,19.0,21.0,-515.0,-69974.0,-102187.0,-1557.0,-0.003845,1.0
2023-03-20,43962.0,43382.0,0.004,9577.0,1.0,0.1778,0.1085,20.0,20.0,-3462.0,-33207.0,-87879.0,8020.0,-0.00317,1.0
2023-03-22,41315.0,41450.0,-0.0011,-7171.0,0.0,0.1377,0.0759,20.0,20.0,145.0,-35386.0,-85182.0,849.0,-0.00294,1.0
2023-03-23,28602.0,29160.0,-0.0076,-191.0,0.0,0.102,0.0883,20.0,20.0,580.0,-20003.0,-94037.0,658.0,-0.002185,1.0
2023-03-26,21783.0,21728.0,0.0008,-2175.0,0.0,0.1476,0.0884,20.0,20.0,80.0,-7660.0,-92177.0,-1517.0,-0.001695,1.0
2023-03-27,36151.0,36171.0,-0.0002,-2053.0,0.0,0.1302,0.0743,20.0,20.0,1410.0,-2013.0,-101468.0,-3570.0,-0.002155,1.0
2023-03-28,34820.0,34728.0,0.0008,-7667.0,0.0,0.1331,0.0724,20.0,20.0,-1343.0,-19257.0,-103952.0,-11237.0,-0.002015,1.0
2023-03-29,61395.0,58565.0,0.0156,-28651.0,0.0,0.4227,0.2156,17.0,22.0,61.0,-40737.0,-135295.0,-39888.0,-0.001085,1.0
