date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-01-04,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0
2024-01-31,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0
2024-02-05,1.0,1.0,0.0,-0.8,0.0,1.0,1.0,1.0,3.0,-0.4,-1.8,-1.8,-1.8,0.0,1.0
2024-02-07,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,-0.5,-1.3,-1.3,-1.3,0.0,1.0
2024-02-08,0.7823,0.7823,0.0,0.1467,1.0,0.2998,0.3675,7.0,25.0,0.0189,-1.1533,-1.1533,-1.1533,0.0,1.0
2024-02-11,0.9788,0.9788,0.0,-0.4497,0.0,0.2486,0.3624,5.0,24.0,-0.0688,-0.603,-1.603,-1.603,0.0,1.0
2024-02-12,0.8621,0.8621,0.0,-0.569,0.0,0.3032,0.3276,6.0,11.0,-0.2931,-1.172,-2.1719999999999997,-2.1719999999999997,0.0,1.0
2024-02-13,0.9048,0.9048,0.0,-0.4286,0.0,0.2182,0.3175,6.0,8.0,-0.1905,-0.8005999999999999,-2.6006,-2.6006,0.0,1.0
2024-02-14,1.0,1.0,0.0,-0.3478,0.0,0.4556,0.6087,3.0,10.0,-0.087,-1.6483999999999996,-2.9484,-2.9484,0.0,1.0
2024-02-15,0.7714,0.7714,0.0,0.0,0.0,0.3471,0.4,4.0,6.0,0.1143,-1.7950999999999997,-2.9484,-2.9484,0.0,1.0
2024-02-18,0.7917,0.7917,0.0,-0.2083,0.0,0.3573,0.4167,4.0,12.0,-0.1667,-1.5536999999999999,-3.1567,-3.1567,0.0,1.0
2024-02-20,0.6,0.6,0.0,-0.28,0.0,0.68,0.48,2.0,9.0,0.12,-1.2647,-3.4367,-3.4367,0.0,1.0
2024-02-21,0.992,0.992,0.0,0.7114,1.0,0.6843,0.7996,3.0,12.0,0.008,-0.12469999999999992,-2.7253,-2.7253,0.0,1.0
2024-02-22,1.0,1.0,0.0,-0.0769,0.0,1.0,1.0,1.0,3.0,0.0,0.14620000000000008,-2.8022,-2.8022,0.0,0.0
2024-02-25,0.9639,0.9639,0.0,0.1124,1.0,0.68,0.7711,2.0,8.0,-0.4016,0.25860000000000005,-2.6898,-2.6898,0.0,0.0
2024-02-26,1.0,1.0,0.0,-0.7143,0.0,1.0,1.0,1.0,7.0,-0.1429,-0.24739999999999995,-3.4041,-3.4041,0.0,1.0
2024-03-05,1.0,1.0,0.0,-0.8,0.0,1.0,1.0,1.0,2.0,-0.8,-0.7674,-4.2041,-4.2041,0.0,1.0
2024-03-14,1.0,1.0,0.0,0.781,1.0,1.0,1.0,1.0,13.0,0.0,-0.6978000000000001,-3.4231,-3.4231,0.0,1.0
2024-03-18,1.0,1.0,0.0,-0.1233,0.0,1.0,1.0,1.0,18.0,-0.0021,-0.7442,-3.5464,-3.5464,0.0,1.0
2024-03-20,0.8387,0.8387,0.0,-0.2903,0.0,0.5237,0.5806,4.0,10.0,0.0,-1.1469,-3.8367,-3.8367,0.0,1.0
2024-03-21,0.875,0.875,0.0,-0.25,0.0,0.4286,0.5,3.0,5.0,-0.125,-0.6825999999999999,-3.0867,-4.0867,0.0,1.0
2024-03-25,1.0,1.0,0.0,-0.5422,0.0,1.0,1.0,1.0,9.0,-0.0602,-0.42479999999999984,-3.6289,-4.6289,0.0,1.0
2024-03-26,1.0,1.0,0.0,-0.8889,0.0,1.0,1.0,1.0,5.0,-0.5556,-2.0947,-3.7178000000000004,-5.5178,0.0,1.0
2024-03-27,0.8333,0.8333,0.0,-0.25,0.0,0.82,0.75,2.0,5.0,-0.1667,-2.2214,-4.4678,-5.7678,0.0,1.0
2024-03-28,1.0,1.0,0.0,-0.5,0.0,0.6901,0.8182,3.0,9.0,-0.1364,-2.4311,-5.1145000000000005,-6.2678,0.0,1.0
