date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-04-10,110.0,110.0,0.0,-80.0,0.0,0.6033,0.2857,2.0,8.0,-20.0,-80.0,-80.0,-80.0,0.0,1.0
2026-04-13,220.0,220.0,0.0,-130.0,0.0,0.5041,0.3261,5.0,13.0,-40.0,-210.0,-210.0,-210.0,0.0,1.0
2026-04-15,270.0,270.0,0.0,-160.0,0.0,0.6763,0.3929,4.0,18.0,-40.0,-370.0,-370.0,-370.0,0.0,1.0
2026-04-16,190.0,190.0,0.0,-130.0,0.0,0.5623,0.35,5.0,11.0,-70.0,-500.0,-500.0,-500.0,0.0,1.0
2026-04-17,210.0,210.0,0.0,10.0,1.0,0.3696,0.25,5.0,12.0,-30.0,-490.0,-490.0,-490.0,0.0,1.0
2026-04-20,370.0,370.0,0.0,-200.0,0.0,0.9474,0.4737,2.0,23.0,-40.0,-610.0,-690.0,-690.0,0.0,1.0
2026-04-21,570.0,570.0,0.0,-270.0,0.0,0.8036,0.4397,5.0,31.0,-50.0,-750.0,-960.0,-960.0,0.0,1.0
2026-04-22,780.0,780.0,0.0,-490.0,0.0,0.9011,0.4744,4.0,30.0,-150.0,-1080.0,-1450.0,-1450.0,0.0,1.0
2026-04-23,1630.0,1550.0,0.025,-950.0,0.0,0.4848,0.2687,3.0,36.0,-340.0,-1900.0,-2400.0,-2400.0,0.002777777777777778,1.0
2026-04-24,1790.0,1580.0,0.0619,-980.0,0.0,0.4833,0.295,5.0,35.0,-300.0,-2890.0,-3380.0,-3380.0,0.00869,1.0
2026-04-27,4380.0,3280.0,0.1436,-2170.0,0.0,0.9729,0.564,4.0,36.0,-480.0,-4860.0,-5550.0,-5550.0,0.020954545454545455,1.0
2026-04-28,48767.0,41916.0,0.0325,-20110.0,0.0,0.1208,0.0614,20.0,20.0,-10036.0,-24700.0,-25660.0,-25660.0,0.021916666666666668,1.0
2026-04-29,38220.0,42790.0,-0.0228,-20395.0,0.0,0.063,0.0223,20.0,20.0,-16325.0,-44605.0,-46055.0,-46055.0,0.01847692307692308,1.0
2026-04-30,28612.0,25472.0,0.0307,-9672.0,0.0,0.2023,0.1173,20.0,20.0,-5142.0,-53327.0,-55727.0,-55727.0,0.019350000000000003,1.0
2026-05-04,15461.0,13542.0,0.0303,-6287.0,0.0,0.118,0.0471,20.0,20.0,-2366.0,-58634.0,-62014.0,-62014.0,0.02008,1.0
2026-05-05,17299.0,14841.0,0.0329,2423.0,1.0,0.1451,0.0618,20.0,20.0,-3232.0,-54041.0,-59591.0,-59591.0,0.02088125,1.0
2026-05-06,10274.0,9384.0,0.0208,-624.0,0.0,0.0971,0.0527,20.0,20.0,-1792.0,-34555.0,-60215.0,-60215.0,0.020876470588235295,1.0
2026-05-07,9201.0,8829.0,0.0112,1856.0,1.0,0.1193,0.0777,20.0,20.0,-1125.0,-12304.0,-58359.0,-58359.0,0.02033888888888889,1.0
