date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6258,0.6159,0.0099,-0.1739,0.0,0.1245,0.139,19.0,21.0,-0.1851,-0.1739,-0.1739,-0.1739,0.0099,1.0
2023-01-24,0.5566,0.5419,0.0147,-0.2798,0.0,0.3066,0.2856,12.0,26.0,-0.0824,-0.4537,-0.4537,-0.4537,0.0123,1.0
2023-01-25,0.805,0.7305,0.0745,-0.3341,0.0,0.2343,0.228,10.0,30.0,-0.0132,-0.7878000000000001,-0.7878000000000001,-0.7878000000000001,0.03303333333333333,1.0
2023-01-26,0.74,0.6821,0.0579,0.0612,1.0,0.3106,0.2898,15.0,25.0,0.0,-0.7266,-0.7266,-0.7266,0.03925,1.0
2023-01-29,0.5617,0.5595,0.0022,0.2066,1.0,0.0804,0.0961,20.0,20.0,0.0301,-0.52,-0.52,-0.52,0.03183999999999999,1.0
2023-01-30,0.7912,0.8458,-0.0546,0.0641,1.0,0.0763,0.1016,23.0,16.0,-0.0021,-0.282,-0.45589999999999997,-0.45589999999999997,0.017433333333333332,1.0
2023-01-31,0.6356,0.6226,0.013,0.3056,1.0,0.2215,0.2676,20.0,20.0,0.2676,0.3034,-0.1503,-0.1503,0.0168,0.0
2023-02-01,0.6714,0.6641,0.0073,0.4074,1.0,0.1434,0.1882,16.0,23.0,0.0575,1.0449,0.2571,0.2571,0.0156125,0.0
2023-02-02,0.8627,0.8774,-0.0148,0.2396,1.0,0.1507,0.223,22.0,18.0,0.218,1.2233,0.49670000000000003,0.49670000000000003,0.012233333333333332,0.0
2023-02-05,0.7655,0.7577,0.0078,-0.1649,0.0,0.1661,0.2621,17.0,23.0,0.0,0.8517999999999999,0.3318,0.3318,0.011789999999999998,0.0
2023-02-06,0.8545,0.8334,0.0211,-0.0703,0.0,0.2568,0.3755,14.0,25.0,0.0007,0.7174,0.2615,0.2615,0.012636363636363635,0.0
2023-02-07,0.7203,0.7102,0.01,-0.008,0.0,0.102,0.1353,19.0,21.0,0.0844,0.4038,0.2535,0.2535,0.012416666666666666,0.0
2023-02-08,0.7926,0.7924,0.0002,-0.2027,0.0,0.2415,0.2718,20.0,20.0,-0.3544,-0.20629999999999998,0.05080000000000001,0.05080000000000001,0.011476923076923077,1.0
2023-02-09,0.7641,0.7303,0.0337,-0.0051,0.0,0.1632,0.2711,17.0,23.0,0.0517,-0.45099999999999996,0.04570000000000001,0.04570000000000001,0.013064285714285714,1.0
2023-02-12,0.7573,0.7472,0.0102,0.2615,1.0,0.1668,0.2192,19.0,21.0,-0.0286,-0.02460000000000001,0.30720000000000003,0.30720000000000003,0.012873333333333332,1.0
2023-02-14,0.8067,0.7929,0.0138,0.3762,1.0,0.2267,0.2576,14.0,26.0,-0.0063,0.4219,0.6834,0.6834,0.01293125,0.0
2023-02-15,0.8055,0.8055,0.0,0.3427,1.0,0.1151,0.1564,16.0,22.0,0.1564,0.7726,1.0261,1.0261,0.012170588235294117,0.0
2023-02-16,0.8837,0.8757,0.008,0.4514,1.0,0.3701,0.5,10.0,29.0,0.5,1.4267,1.4775,1.4775,0.011938888888888888,0.0
2023-02-20,0.8456,0.8412,0.0044,0.2073,1.0,0.2549,0.3722,17.0,23.0,0.3722,1.6391000000000002,1.6848,1.6848,0.011542105263157895,0.0
2023-02-22,0.7854,0.7657,0.0197,0.1565,1.0,0.1928,0.2636,16.0,23.0,0.0015,1.5341,1.8413,1.8413,0.011949999999999999,0.0
2023-02-23,0.7226,0.7201,0.0025,0.3422,1.0,0.1163,0.1764,19.0,20.0,0.1764,1.5001,2.3574,2.1835,0.01158,0.0
2023-02-26,0.6757,0.6746,0.0011,-0.0126,0.0,0.1916,0.2545,20.0,20.0,0.2545,1.1448,2.6246,2.1709,0.010899999999999998,0.0
2023-02-27,0.5998,0.5946,0.0053,-0.1509,0.0,0.0958,0.1347,20.0,20.0,0.0525,0.5425,2.8078,2.02,0.0074399999999999996,0.0
2023-02-28,0.8262,0.8143,0.0119,0.0763,1.0,0.3908,0.5009,17.0,23.0,0.5009,0.41150000000000003,2.8228999999999997,2.0963000000000003,0.00514,0.0
2023-03-01,0.8542,0.8542,0.0,0.2513,1.0,0.0905,0.1523,20.0,16.0,0.0487,0.5063,2.8676,2.3476,0.00503,0.0
2023-03-02,0.8191,0.8191,0.0,-0.0753,0.0,0.1036,0.1726,17.0,21.0,-0.0334,0.08880000000000002,2.7282,2.2723,0.00776,0.0
2023-03-05,0.8229,0.8229,0.0,0.3008,1.0,0.2336,0.3562,13.0,23.0,-0.0392,0.4022,2.7234000000000003,2.5731,0.00711,0.0
2023-03-07,0.8373,0.8373,0.0,-0.0336,0.0,0.1775,0.2086,14.0,23.0,0.1984,0.5195000000000001,2.2824,2.5395,0.006744999999999999,0.0
2023-03-09,0.9012,0.8785,0.0227,-0.3233,0.0,0.218,0.364,13.0,27.0,0.0677,0.11990000000000006,1.7195,2.2162,0.00862,0.0
2023-03-12,0.748,0.748,0.0,0.0595,1.0,0.1014,0.1468,16.0,23.0,0.0663,-0.07189999999999996,1.9439,2.2757,0.00823,1.0
2023-03-13,0.7395,0.7395,0.0,0.0552,1.0,0.1327,0.2117,17.0,16.0,-0.0932,0.05860000000000004,2.0694000000000004,2.3309,0.007174999999999999,0.0
2023-03-14,0.8026,0.788,0.0146,-0.3591,0.0,0.1279,0.1888,15.0,25.0,-0.058,-0.6013,1.7183000000000002,1.9718,0.007405,1.0
2023-03-15,0.7872,0.7872,0.0,-0.2401,0.0,0.1052,0.1322,20.0,20.0,-0.3041,-0.8078,1.6809,1.7317,0.0073950000000000005,1.0
2023-03-16,0.8325,0.8462,-0.0138,0.34,1.0,0.0922,0.1953,27.0,13.0,0.1953,-0.14449999999999996,2.026,2.0717,0.00502,1.0
2023-03-19,0.7581,0.753,0.0051,0.2712,1.0,0.1097,0.1255,14.0,26.0,0.116,0.06720000000000004,2.0357000000000003,2.3429,0.004765,0.0
2023-03-20,0.7313,0.7076,0.0236,0.0102,1.0,0.2099,0.2666,17.0,23.0,-0.0079,0.02220000000000004,1.6697000000000002,2.3531,0.005255,0.0
2023-03-22,0.668,0.6658,0.0021,-0.0366,0.0,0.0962,0.115,18.0,21.0,0.0204,0.3447,1.2904,2.3165,0.005359999999999999,0.0
2023-03-23,0.823,0.8163,0.0066,0.1141,1.0,0.1184,0.2186,18.0,22.0,-0.0047,0.6989,0.9531000000000001,2.4306,0.00529,0.0
2023-03-26,0.6947,0.6883,0.0064,0.1456,1.0,0.1731,0.2388,15.0,25.0,-0.0134,0.5045000000000001,0.8914,2.5762,0.00539,0.0
2023-03-27,0.5748,0.5725,0.0023,0.0045,1.0,0.1157,0.1142,19.0,21.0,-0.0645,0.23780000000000004,0.7394000000000001,2.5807,0.004520000000000001,0.0
2023-03-28,0.7671,0.762,0.0051,-0.0279,0.0,0.0869,0.1002,19.0,21.0,0.0393,0.19970000000000002,0.3693000000000001,2.5528,0.00465,0.0
2023-03-29,0.801,0.801,0.0,0.1774,1.0,0.2286,0.3043,13.0,18.0,-0.0389,0.41370000000000007,0.5593,2.7302,0.004595,0.0
2023-03-30,0.6728,0.6663,0.0065,0.1025,1.0,0.1679,0.1745,14.0,26.0,-0.0491,0.40210000000000007,0.8127000000000001,2.8327,0.004655,0.0
2023-04-02,0.6835,0.6835,0.0,0.106,1.0,0.159,0.2158,15.0,23.0,-0.0349,0.36250000000000004,0.8424,2.9387,0.00406,0.0
2023-04-03,0.8362,0.8362,0.0,-0.1427,0.0,0.2935,0.3996,11.0,22.0,-0.0187,0.21530000000000005,0.44839999999999997,2.7960000000000003,0.00406,0.0
2023-04-04,0.8666,0.8573,0.0093,0.6752,1.0,0.3336,0.4506,12.0,28.0,-0.0174,0.9184000000000001,1.1989,3.4712,0.0045249999999999995,0.0
2023-04-05,0.688,0.6858,0.0022,0.0628,1.0,0.1625,0.2366,17.0,23.0,-0.109,0.8038000000000001,0.9609,3.5340000000000003,0.004635,0.0
2023-04-06,0.814,0.8066,0.0074,-0.0042,0.0,0.1295,0.186,14.0,25.0,0.0148,0.6971,0.9903,3.5298000000000003,0.005005000000000001,0.0
2023-04-09,0.5423,0.5423,0.0,0.0753,1.0,0.2648,0.2208,11.0,22.0,-0.0133,0.6664000000000001,1.3889,3.6051,0.0038699999999999997,0.0
2023-04-10,0.6269,0.6259,0.001,-0.0458,0.0,0.1333,0.1498,18.0,22.0,-0.032,0.7633000000000001,1.2836,3.5593,0.00392,0.0
