date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6647,0.6722,-0.0074,-0.2889,0.0,0.1003,0.1301,22.0,18.0,0.0392,-0.2889,-0.2889,-0.2889,-0.0074,1.0
2023-01-24,0.5636,0.5857,-0.0221,-0.3025,0.0,0.1083,0.1344,24.0,16.0,0.0011,-0.5913999999999999,-0.5913999999999999,-0.5913999999999999,-0.014750000000000001,1.0
2023-01-25,0.3795,0.3761,0.0033,-0.1239,0.0,0.4759,0.2584,18.0,22.0,0.0049,-0.7152999999999999,-0.7152999999999999,-0.7152999999999999,-0.008733333333333334,1.0
2023-01-26,0.7885,0.787,0.0015,0.2802,1.0,0.3232,0.4239,20.0,20.0,-0.1219,-0.4351,-0.4351,-0.4351,-0.006175000000000001,1.0
2023-01-29,0.759,0.759,0.0,0.03,1.0,0.0832,0.1028,20.0,16.0,0.1022,-0.4051,-0.4051,-0.4051,-0.004940000000000001,1.0
2023-01-30,0.6633,0.6627,0.0007,-0.0108,0.0,0.4361,0.4305,19.0,21.0,0.007,-0.127,-0.4159,-0.4159,-0.004,1.0
2023-01-31,0.7281,0.7281,0.0,-0.1562,0.0,0.2925,0.3787,18.0,21.0,0.0234,0.019299999999999984,-0.5721,-0.5721,-0.003428571428571429,0.0
2023-02-01,0.8289,0.8321,-0.0032,0.3725,1.0,0.1119,0.2033,21.0,19.0,-0.0754,0.5157,-0.1996,-0.1996,-0.0034000000000000002,0.0
2023-02-02,0.6568,0.661,-0.0041,-0.1881,0.0,0.0952,0.1355,22.0,17.0,-0.2625,0.0474,-0.3877,-0.3877,-0.003477777777777778,0.0
2023-02-05,0.7653,0.7653,0.0,0.0602,1.0,0.0936,0.1249,22.0,16.0,0.0128,0.0776,-0.3275,-0.3275,-0.00313,0.0
2023-02-06,0.8754,0.8754,0.0,-0.2714,0.0,0.1062,0.1963,28.0,11.0,0.0214,-0.18299999999999997,-0.5989,-0.5989,-0.0028454545454545455,1.0
2023-02-07,0.772,0.7782,-0.0062,0.2892,1.0,0.0678,0.0974,25.0,15.0,0.0974,0.2624000000000001,-0.3097,-0.3097,-0.0031250000000000006,0.0
