date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-25,70.0,70.0,0.0,-40.0,0.0,0.4286,0.2222,3.0,6.0,0.0,-40.0,-40.0,-40.0,0.0,1.0
2026-03-26,130.0,130.0,0.0,-80.0,0.0,0.3728,0.2308,4.0,10.0,-40.0,-120.0,-120.0,-120.0,0.0,1.0
2026-03-29,160.0,160.0,0.0,-90.0,0.0,0.5,0.3235,5.0,12.0,-30.0,-210.0,-210.0,-210.0,0.0,1.0
2026-03-30,190.0,190.0,0.0,-90.0,0.0,0.723,0.4211,3.0,11.0,-70.0,-300.0,-300.0,-300.0,0.0,1.0
2026-03-31,340.0,340.0,0.0,-150.0,0.0,0.7872,0.4167,3.0,26.0,-60.0,-450.0,-450.0,-450.0,0.0,1.0
2026-04-01,340.0,340.0,0.0,-220.0,0.0,0.7872,0.4412,3.0,16.0,-120.0,-630.0,-670.0,-670.0,0.0,1.0
2026-04-02,560.0,560.0,0.0,-330.0,0.0,0.4764,0.2719,3.0,33.0,-110.0,-880.0,-1000.0,-1000.0,0.0,1.0
2026-04-05,1310.0,1190.0,0.0476,-700.0,0.0,0.5039,0.3135,4.0,35.0,-220.0,-1490.0,-1700.0,-1700.0,0.00595,1.0
2026-04-06,2100.0,1670.0,0.1135,-1089.0,0.0,0.6515,0.4409,5.0,35.0,-299.0,-2489.0,-2789.0,-2789.0,0.017900000000000003,1.0
2026-04-07,2450.0,1980.0,0.0913,-1150.0,0.0,0.5506,0.3223,4.0,35.0,-360.0,-3489.0,-3939.0,-3939.0,0.025240000000000002,1.0
2026-04-08,6050.0,4510.0,0.1447,-3320.0,0.0,0.7153,0.4709,2.0,38.0,-630.0,-6589.0,-7259.0,-7259.0,0.0361,1.0
2026-04-09,7590.0,5890.0,0.1252,-4310.0,0.0,1.0,0.5589,1.0,39.0,-1190.0,-10569.0,-11569.0,-11569.0,0.043525,1.0
2026-04-10,4980.0,3780.0,0.077,-130.0,0.0,0.1364,0.0635,13.0,27.0,-350.0,-9999.0,-11699.0,-11699.0,0.0461,1.0
2026-04-13,26385.0,20489.0,0.069,7356.0,1.0,0.4272,0.1879,16.0,22.0,-4340.0,-1554.0,-4343.0,-4343.0,0.047735714285714284,1.0
2026-04-15,19320.0,17869.0,0.0239,8359.0,1.0,0.1253,0.0924,20.0,20.0,-2079.0,7955.0,4016.0,4016.0,0.04614666666666667,0.0
2026-04-16,31583.0,31105.0,0.0026,-7750.0,0.0,0.0808,0.0299,20.0,20.0,-5835.0,3525.0,-3734.0,-3734.0,0.043425,0.0
2026-04-17,38392.0,38425.0,-0.0002,-8873.0,0.0,0.1191,0.0525,20.0,20.0,-7502.0,-1038.0,-12607.0,-12607.0,0.04085882352941177,1.0
2026-04-20,28735.0,28191.0,0.0047,-12434.0,0.0,0.1149,0.0618,20.0,20.0,-10933.0,-13342.0,-25041.0,-25041.0,0.03885,1.0
2026-04-21,30651.0,30226.0,0.0032,-10018.0,0.0,0.1776,0.0869,20.0,20.0,-7409.0,-30716.0,-35059.0,-35059.0,0.03697368421052632,1.0
2026-04-22,22231.0,22723.0,-0.0051,-5612.0,0.0,0.0863,0.0352,20.0,20.0,-1451.0,-44687.0,-40671.0,-40671.0,0.03487,1.0
2026-04-23,23579.0,26349.0,-0.0289,-8461.0,0.0,0.0731,0.0405,20.0,20.0,-9181.0,-45398.0,-49092.0,-49132.0,0.033424999999999996,1.0
2026-04-24,21929.0,19581.0,0.0283,-6015.0,0.0,0.1248,0.0652,20.0,20.0,-3184.0,-42540.0,-55027.0,-55147.0,0.034839999999999996,1.0
2026-04-27,12777.0,12751.0,0.0005,-4535.0,0.0,0.0933,0.0381,20.0,20.0,-1437.0,-34641.0,-59472.0,-59682.0,0.034865,1.0
2026-04-28,32946.0,33045.0,-0.0008,-21330.0,0.0,0.0947,0.055,20.0,20.0,-7414.0,-45953.0,-80712.0,-81012.0,0.034825,1.0
2026-04-29,19902.0,20106.0,-0.0028,3323.0,1.0,0.0671,0.0355,20.0,20.0,-4340.0,-37018.0,-77239.0,-77689.0,0.034685,1.0
2026-04-30,9673.0,9010.0,0.0152,619.0,1.0,0.1412,0.0637,20.0,20.0,-346.0,-27938.0,-76400.0,-77070.0,0.035445,1.0
2026-05-04,16474.0,15365.0,0.0241,-1743.0,0.0,0.2706,0.1749,20.0,20.0,-1818.0,-23666.0,-77813.0,-78813.0,0.03665,1.0
2026-05-05,17237.0,17905.0,-0.0121,-4741.0,0.0,0.0808,0.0543,20.0,20.0,-754.0,-23872.0,-81854.0,-83554.0,0.033665,1.0
2026-05-06,11539.0,10967.0,0.0112,-48.0,0.0,0.1202,0.0654,20.0,20.0,3334.0,-2590.0,-80813.0,-83602.0,0.02855,1.0
2026-05-07,17247.0,16442.0,0.0155,9352.0,1.0,0.5925,0.2548,20.0,20.0,13220.0,3439.0,-70311.0,-74250.0,0.02476,0.0
