date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9763,0.9763,0.0,-0.2555,0.0,0.2038,0.2737,7.0,8.0,0.0,-0.2555,-0.2555,-0.2555,0.0,1.0
2023-01-24,1.0,1.0,0.0,0.4505,1.0,0.3085,0.4595,5.0,4.0,0.0,0.195,0.195,0.195,0.0,0.0
2023-01-25,0.8175,0.8175,0.0,0.5278,1.0,0.4552,0.5278,5.0,7.0,0.0,0.7228000000000001,0.7228000000000001,0.7228000000000001,0.0,0.0
2023-01-26,0.7521,0.7521,0.0,-0.259,0.0,0.6622,0.6061,5.0,10.0,0.0,0.4638000000000001,0.4638000000000001,0.4638000000000001,0.0,0.0
2023-01-29,1.0,1.0,0.0,0.1567,1.0,0.5051,0.694,5.0,6.0,0.0,0.6205,0.6205,0.6205,0.0,0.0
2023-01-30,0.8805,0.8805,0.0,0.1845,1.0,0.3537,0.4612,7.0,7.0,-0.4759,1.0605000000000002,0.8050000000000002,0.8050000000000002,0.0,0.0
2023-01-31,0.7103,0.7103,0.0,0.0567,1.0,0.2681,0.2519,6.0,8.0,-0.1864,0.6667000000000001,0.8617000000000001,0.8617000000000001,0.0,0.0
2023-02-01,1.0,1.0,0.0,0.4416,1.0,0.1459,0.1818,7.0,4.0,0.1299,0.5805,1.3033000000000001,1.3033000000000001,0.0,0.0
2023-02-02,0.9306,0.9306,0.0,0.3988,1.0,0.1499,0.2119,10.0,6.0,0.1349,1.2383,1.7021000000000002,1.7021000000000002,0.0,0.0
2023-02-05,0.9352,0.9352,0.0,0.2429,1.0,0.4933,0.6073,4.0,5.0,0.0,1.3245,1.945,1.945,0.0,0.0
2023-02-06,0.9647,0.9647,0.0,-0.0353,0.0,0.7858,0.8471,2.0,4.0,0.0,1.1047,1.9097000000000002,1.9097000000000002,0.0,0.0
2023-02-07,0.6146,0.6146,0.0,0.3205,1.0,0.3128,0.3144,7.0,10.0,-0.0203,1.3685,2.2302,2.2302,0.0,0.0
2023-02-08,1.0,1.0,0.0,0.0458,1.0,0.249,0.3268,6.0,3.0,-0.3268,0.9727,2.2760000000000002,2.2760000000000002,0.0,0.0
2023-02-09,1.0,1.0,0.0,-0.0882,0.0,0.266,0.3235,4.0,4.0,0.0,0.4857000000000001,2.1878,2.1878,0.0,0.0
2023-02-12,1.0,1.0,0.0,0.6541,1.0,0.6663,0.8045,3.0,4.0,-0.2481,0.8969,2.8419,2.8419,0.0,0.0
2023-02-14,0.7413,0.7413,0.0,0.0563,1.0,0.1478,0.1868,14.0,6.0,0.1437,0.9885,2.8982,2.8982,0.0,0.0
2023-02-15,1.0,1.0,0.0,0.5804,1.0,0.2669,0.4598,7.0,7.0,0.0,1.2484000000000002,3.4786,3.4786,0.0,0.0
2023-02-16,0.9363,0.9363,0.0,-0.1847,0.0,0.1625,0.1911,7.0,7.0,0.0,1.0179,3.2939000000000003,3.2939000000000003,0.0,0.0
2023-02-20,0.8878,0.8878,0.0,0.278,1.0,0.3457,0.4878,6.0,6.0,0.0,1.3841,3.5719000000000003,3.5719000000000003,0.0,0.0
2023-02-22,0.7261,0.7261,0.0,-0.0705,0.0,0.1105,0.1224,13.0,13.0,-0.3807,0.6595000000000001,3.5014000000000003,3.5014000000000003,0.0,0.0
2023-02-23,0.7489,0.7489,0.0,-0.3586,0.0,0.1016,0.1164,15.0,17.0,-0.0863,0.2446000000000001,3.3983000000000003,3.1428000000000003,0.0,0.0
