date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7958,0.7958,0.0,-0.1522,0.0,0.5085,0.4498,2.0,13.0,-0.0069,-0.1522,-0.1522,-0.1522,0.0,1.0
2023-01-24,0.7586,0.7586,0.0,-0.1379,0.0,0.3595,0.3448,3.0,8.0,-0.2759,-0.2901,-0.2901,-0.2901,0.0,1.0
2023-01-25,1.0,1.0,0.0,0.4706,1.0,0.351,0.5294,5.0,13.0,-0.0392,0.1805,0.1805,0.1805,0.0,0.0
2023-01-26,0.9952,0.9952,0.0,0.963,1.0,0.6877,0.8025,2.0,8.0,-0.0032,1.1435,1.1435,1.1435,0.0,0.0
2023-01-29,0.9877,0.9877,0.0,-0.0718,0.0,0.7904,0.8742,5.0,10.0,0.0018,1.0716999999999999,1.0716999999999999,1.0716999999999999,0.0,0.0
2023-01-30,1.0,1.0,0.0,0.1644,1.0,0.8054,0.8908,2.0,10.0,0.0,1.3883,1.2361,1.2361,0.0,0.0
2023-01-31,0.9876,0.9876,0.0,0.7888,1.0,0.7707,0.8571,2.0,9.0,-0.0124,2.315,2.0248999999999997,2.0248999999999997,0.0,0.0
2023-02-01,0.9773,0.9773,0.0,0.9318,1.0,0.3845,0.5227,4.0,11.0,0.0,2.7762,2.9566999999999997,2.9566999999999997,0.0,0.0
2023-02-02,0.9697,0.9697,0.0,0.4187,1.0,0.3555,0.4074,6.0,4.0,0.0303,2.2319,3.3754,3.3754,0.0,0.0
2023-02-05,1.0,1.0,0.0,-0.1429,0.0,0.4558,0.4762,3.0,7.0,-0.0952,2.1608,3.2325,3.2325,0.0,0.0
2023-02-06,1.0,1.0,0.0,-0.3548,0.0,0.3673,0.4516,4.0,7.0,0.0,1.6416,2.8777,2.8777,0.0,0.0
2023-02-07,0.9583,0.9583,0.0,-0.7917,0.0,0.4745,0.5417,3.0,10.0,-0.0833,0.06110000000000004,2.086,2.086,0.0,0.0
2023-02-08,0.9138,0.9138,0.0,-0.0862,0.0,0.4418,0.569,4.0,6.0,0.0,-0.9568999999999999,1.9998,1.9998,0.0,1.0
2023-02-09,0.9708,0.9708,0.0,0.3655,1.0,0.7442,0.8246,2.0,7.0,-0.2924,-1.0101,2.3653,2.3653,0.0,1.0
2023-02-12,0.9962,0.9962,0.0,0.9542,1.0,0.9003,0.9448,5.0,10.0,-0.0076,0.08700000000000008,3.3195,3.3195,0.0,0.0
2023-02-14,0.9785,0.9785,0.0,0.9198,1.0,1.0,0.9785,1.0,8.0,0.0,1.3616000000000001,4.2393,4.2393,0.0,0.0
2023-02-15,0.9904,0.9904,0.0,0.9088,1.0,1.0,0.9904,1.0,11.0,-0.048,3.0621,5.1481,5.1481,0.0,0.0
2023-02-16,0.8089,0.8089,0.0,0.1911,1.0,0.8205,0.7282,2.0,15.0,-0.002,3.3394,5.3392,5.3392,0.0,0.0
2023-02-20,0.9964,0.9964,0.0,0.1211,1.0,0.8475,0.9145,4.0,8.0,-0.0249,3.095,5.4603,5.4603,0.0,0.0
2023-02-22,0.9811,0.9811,0.0,0.434,1.0,0.2855,0.3585,5.0,10.0,0.283,2.5747999999999998,5.8943,5.8943,0.0,0.0
2023-02-23,1.0,1.0,0.0,0.7778,1.0,0.3719,0.4444,3.0,9.0,0.0,2.4328,6.8243,6.6721,0.0,0.0
2023-02-26,0.9796,0.9796,0.0,0.1837,1.0,0.3637,0.4898,5.0,7.0,0.0204,1.7077000000000002,7.1459,6.8558,0.0,0.0
2023-02-27,0.982,0.982,0.0,-0.7134,0.0,0.311,0.4205,6.0,6.0,-0.006,0.8032,5.9619,6.1424,0.0,0.0
2023-02-28,1.0,1.0,0.0,-0.1176,0.0,0.5156,0.5882,2.0,5.0,0.0,0.5644999999999999,4.8813,6.0248,0.0,0.0
2023-03-01,0.975,0.975,0.0,-0.1,0.0,0.2558,0.375,7.0,7.0,0.05,0.030499999999999985,4.8531,5.9248,0.0,0.0
2023-03-02,1.0,1.0,0.0,0.3784,1.0,0.3132,0.4028,4.0,6.0,0.0,-0.36890000000000006,5.067100000000001,6.3032,0.0,1.0
2023-03-05,0.9722,0.9722,0.0,-0.963,0.0,0.3323,0.4491,4.0,3.0,-0.9491,-1.5156,3.3153000000000006,5.3402,0.0,1.0
