date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9722,0.9722,0.0,0.3866,1.0,0.2993,0.4172,7.0,7.0,0.0,0.3866,0.3866,0.3866,0.0,0.0
2023-01-24,0.9907,0.9907,0.0,0.463,1.0,0.2558,0.3704,5.0,3.0,0.0,0.8496,0.8496,0.8496,0.0,0.0
2023-01-25,1.0,1.0,0.0,0.6036,1.0,0.5197,0.7003,6.0,6.0,0.0252,1.4532,1.4532,1.4532,0.0,0.0
2023-01-26,0.8858,0.8858,0.0,0.0735,1.0,0.1828,0.3054,11.0,8.0,0.0433,1.5267,1.5267,1.5267,0.0,0.0
2023-01-29,0.8202,0.8202,0.0,0.5768,1.0,0.2378,0.3647,13.0,6.0,-0.0127,2.1035,2.1035,2.1035,0.0,0.0
2023-01-30,0.9684,0.9684,0.0,-0.1383,0.0,0.1675,0.2343,14.0,9.0,-0.1816,1.5786,1.9652,1.9652,0.0,0.0
2023-01-31,0.954,0.954,0.0,-0.4567,0.0,0.3043,0.4457,6.0,12.0,0.0,0.6589000000000002,1.5085000000000002,1.5085000000000002,0.0,0.0
2023-02-01,0.7296,0.7296,0.0,-0.1006,0.0,0.4612,0.4717,4.0,4.0,0.0,-0.04529999999999998,1.4079000000000002,1.4079000000000002,0.0,1.0
2023-02-02,0.9306,0.9306,0.0,-0.671,0.0,0.4275,0.5946,11.0,8.0,-0.4529,-0.7898000000000001,0.7369,0.7369,0.0,1.0
2023-02-05,0.7916,0.7916,0.0,0.1019,1.0,0.1674,0.2259,16.0,14.0,0.0363,-1.2647,0.8388,0.8388,0.0,1.0
2023-02-06,0.9167,0.9167,0.0,-0.2955,0.0,0.3525,0.5152,10.0,12.0,-0.1106,-1.4219,0.5433,0.5433,0.0,1.0
2023-02-07,0.7043,0.7043,0.0,0.1479,1.0,0.2034,0.2506,10.0,7.0,0.0301,-0.8173,0.6912,0.6912,0.0,1.0
2023-02-08,0.8679,0.8679,0.0,0.3705,1.0,0.5363,0.6169,4.0,13.0,-0.0264,-0.34620000000000006,1.0617,1.0617,0.0,1.0
2023-02-09,0.8804,0.8804,0.0,0.2967,1.0,0.1641,0.2392,9.0,3.0,0.0431,0.6214999999999999,1.3584,1.3584,0.0,0.0
2023-02-12,0.9275,0.9275,0.0,-0.6482,0.0,0.2553,0.4264,10.0,5.0,0.0,-0.12859999999999994,0.7101999999999999,0.7101999999999999,0.0,1.0
2023-02-14,0.9635,0.9635,0.0,-0.5885,0.0,0.3363,0.5208,7.0,6.0,0.099,-0.4216,0.12169999999999992,0.12169999999999992,0.0,1.0
2023-02-15,0.7625,0.7625,0.0,0.1672,1.0,0.2692,0.2933,5.0,5.0,0.0,-0.4023,0.28889999999999993,0.28889999999999993,0.0,1.0
2023-02-16,0.5207,0.5207,0.0,-0.0379,0.0,0.1518,0.116,8.0,5.0,0.116,-0.8107,0.2509999999999999,0.2509999999999999,0.0,1.0
