date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9724,0.9724,0.0,-0.3103,0.0,0.5342,0.6897,4.0,8.0,-0.0966,-0.3103,-0.3103,-0.3103,0.0,1.0
2023-01-24,1.0,1.0,0.0,0.0074,1.0,0.3323,0.4244,5.0,6.0,0.0,-0.3029,-0.3029,-0.3029,0.0,1.0
2023-01-25,1.0,1.0,0.0,-0.5228,0.0,0.4336,0.6091,4.0,6.0,-0.0508,-0.8257000000000001,-0.8257000000000001,-0.8257000000000001,0.0,1.0
2023-01-26,1.0,1.0,0.0,0.8522,1.0,0.2206,0.4089,9.0,3.0,0.0,0.026499999999999968,0.026499999999999968,0.026499999999999968,0.0,0.0
2023-01-29,1.0,1.0,0.0,0.3929,1.0,0.3444,0.3929,3.0,1.0,0.0,0.4194,0.4194,0.4194,0.0,0.0
2023-01-30,1.0,1.0,0.0,0.4045,1.0,0.3054,0.4498,7.0,6.0,0.0,1.1342,0.8239000000000001,0.8239000000000001,0.0,0.0
2023-01-31,1.0,1.0,0.0,0.0728,1.0,0.4737,0.6623,5.0,4.0,-0.0199,1.1996,0.8967,0.8967,0.0,0.0
2023-02-01,0.8636,0.8636,0.0,0.5,1.0,0.2175,0.25,6.0,6.0,-0.0455,2.2224000000000004,1.3967,1.3967,0.0,0.0
2023-02-02,1.0,1.0,0.0,-0.2217,0.0,0.1781,0.2463,7.0,5.0,0.069,1.1485000000000003,1.175,1.175,0.0,0.0
2023-02-05,0.9315,0.9315,0.0,0.0154,1.0,0.2455,0.3846,10.0,14.0,0.014,0.7710000000000001,1.1904000000000001,1.1904000000000001,0.0,0.0
2023-02-06,1.0,1.0,0.0,0.1246,1.0,0.625,0.7751,7.0,8.0,0.0,0.49110000000000015,1.315,1.315,0.0,0.0
2023-02-07,0.5874,0.5874,0.0,0.2997,1.0,0.2544,0.2151,7.0,11.0,0.0215,0.7180000000000002,1.6147,1.6147,0.0,0.0
2023-02-08,0.6618,0.6618,0.0,0.5882,1.0,0.3827,0.3676,4.0,3.0,0.0,0.8062,2.2029,2.2029,0.0,0.0
2023-02-09,0.9367,0.9367,0.0,-0.279,0.0,0.4503,0.457,4.0,10.0,0.0,0.7489,1.9239000000000002,1.9239000000000002,0.0,0.0
2023-02-12,0.9231,0.9231,0.0,0.1385,1.0,1.0,0.9231,1.0,7.0,0.0,0.8720000000000001,2.0624000000000002,2.0624000000000002,0.0,0.0
2023-02-14,0.5516,0.5516,0.0,0.0628,1.0,0.5682,0.3991,3.0,3.0,0.0,0.8102,2.1252,2.1252,0.0,0.0
2023-02-15,0.8649,0.8649,0.0,0.4865,1.0,0.4629,0.5405,3.0,4.0,0.0,0.9969999999999999,2.6117,2.6117,0.0,0.0
2023-02-16,0.9899,0.9899,0.0,-0.3754,0.0,0.1978,0.3602,13.0,3.0,0.0108,0.03340000000000004,2.2363,2.2363,0.0,0.0
2023-02-20,1.0,1.0,0.0,0.5652,1.0,0.3875,0.5652,4.0,5.0,0.0,0.8776000000000002,2.8015,2.8015,0.0,0.0
2023-02-22,0.8874,0.8874,0.0,-0.4075,0.0,0.1723,0.2654,9.0,8.0,-0.0429,0.3316,2.394,2.394,0.0,0.0
2023-02-23,0.8126,0.8126,0.0,-0.1414,0.0,0.1452,0.1744,17.0,18.0,0.0,0.12740000000000004,2.5629,2.2526,0.0,0.0
2023-02-26,0.6967,0.6967,0.0,0.1823,1.0,0.1639,0.1727,10.0,9.0,0.0,-0.17679999999999987,2.7378000000000005,2.4349000000000003,0.0,1.0
2023-02-27,0.7636,0.7636,0.0,0.1818,1.0,0.4274,0.4545,4.0,5.0,0.4545,0.3804000000000001,3.4424,2.6167000000000002,0.0,0.0
2023-02-28,0.5312,0.5312,0.0,-0.375,0.0,0.5156,0.3125,2.0,4.0,-0.1562,-0.5597999999999999,2.2152000000000003,2.2417000000000002,0.0,1.0
2023-03-01,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.1522999999999999,0.8223000000000003,1.2417000000000002,0.0,1.0
2023-03-02,0.8596,0.8596,0.0,-0.3034,0.0,0.1853,0.2809,10.0,10.0,0.0,-1.3142999999999998,0.11440000000000033,0.9383000000000002,0.0,1.0
2023-03-05,0.7579,0.7579,0.0,-0.4044,0.0,0.2916,0.2906,7.0,8.0,0.0,-1.9009999999999998,-0.3627999999999997,0.5339000000000003,0.0,1.0
2023-03-07,0.4762,0.4762,0.0,-0.0595,0.0,0.2238,0.1786,6.0,5.0,0.0,-2.1422999999999996,-0.9222999999999997,0.47440000000000027,0.0,1.0
2023-03-09,0.8889,0.8889,0.0,-0.8889,0.0,0.625,0.6667,2.0,1.0,0.0,-2.6561999999999997,-1.5894999999999997,-0.41449999999999976,0.0,1.0
2023-03-12,1.0,1.0,0.0,-1.0,0.0,0.375,0.5,3.0,3.0,0.0,-2.6561999999999997,-2.6048999999999998,-1.4144999999999999,0.0,1.0
2023-03-13,1.0,1.0,0.0,-0.5882,0.0,0.3426,0.4118,3.0,2.0,0.0,-2.941,-3.3177,-2.0027,0.0,1.0
2023-03-14,1.0,1.0,0.0,-0.8421,0.0,0.2424,0.3947,6.0,3.0,0.0,-3.3787,-4.4595,-2.8447999999999998,0.0,1.0
2023-03-15,1.0,1.0,0.0,-1.0,0.0,0.8025,0.8889,2.0,1.0,0.0,-4.3191999999999995,-6.047699999999999,-3.8447999999999998,0.0,1.0
2023-03-16,0.7522,0.7522,0.0,-0.0796,0.0,0.3357,0.2699,3.0,8.0,0.0,-3.5099,-5.848299999999999,-3.9244,0.0,1.0
2023-03-19,1.0,1.0,0.0,0.275,1.0,0.4297,0.625,5.0,4.0,0.0,-2.2348999999999997,-5.7118,-3.6494,0.0,1.0
2023-03-20,0.845,0.845,0.0,-0.6357,0.0,0.1576,0.1705,7.0,4.0,-0.0775,-2.2824,-6.410299999999999,-4.2851,0.0,1.0
2023-03-22,0.0323,0.0323,0.0,0.0,0.0,1.0,0.0323,1.0,1.0,0.0,-1.4402999999999997,-6.8968,-4.2851,0.0,1.0
2023-03-23,0.5405,0.5405,0.0,0.5405,1.0,1.0,0.5405,1.0,2.0,0.0,0.10020000000000018,-5.9809,-3.7445999999999997,0.0,0.0
2023-03-27,0.678,0.678,0.0,-0.3622,0.0,0.2418,0.2663,8.0,5.0,-0.3096,-0.18239999999999984,-6.9083,-4.1068,0.0,1.0
2023-03-28,0.9229,0.9229,0.0,-0.5174,0.0,0.6205,0.7214,7.0,3.0,0.0,-0.9747999999999999,-7.0182,-4.6242,0.0,1.0
