date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,150.0,150.0,0.0,-150.0,0.0,0.7689,0.4062,2.0,4.0,-11.0,-150.0,-150.0,-150.0,0.0,1.0
2023-01-24,243.0,243.0,0.0,-81.0,0.0,0.1366,0.1029,11.0,7.0,-19.0,-231.0,-231.0,-231.0,0.0,1.0
2023-01-25,40.0,40.0,0.0,20.0,1.0,0.375,0.1786,3.0,3.0,0.0,-211.0,-211.0,-211.0,0.0,1.0
2023-01-26,701.0,701.0,0.0,28.0,1.0,0.1207,0.0676,16.0,10.0,35.0,-183.0,-183.0,-183.0,0.0,1.0
2023-01-29,480.0,480.0,0.0,-227.0,0.0,0.8764,0.4228,4.0,10.0,-10.0,-410.0,-410.0,-410.0,0.0,1.0
2023-01-30,368.0,368.0,0.0,-1.0,0.0,0.201,0.122,7.0,8.0,0.0,-261.0,-411.0,-411.0,0.0,1.0
2023-01-31,256.0,256.0,0.0,17.0,1.0,0.3671,0.2429,6.0,9.0,0.0,-163.0,-394.0,-394.0,0.0,1.0
2023-02-01,75.0,75.0,0.0,10.0,1.0,0.2053,0.1042,6.0,4.0,0.0,-173.0,-384.0,-384.0,0.0,1.0
2023-02-02,144.0,144.0,0.0,-64.0,0.0,0.171,0.1331,8.0,5.0,10.0,-265.0,-448.0,-448.0,0.0,1.0
2023-02-05,367.0,367.0,0.0,196.0,1.0,0.1069,0.0766,13.0,5.0,0.0,158.0,-252.0,-252.0,0.0,0.0
2023-02-06,109.0,109.0,0.0,-32.0,0.0,0.2916,0.2294,5.0,5.0,-41.0,127.0,-284.0,-284.0,0.0,0.0
2023-02-07,320.0,320.0,0.0,31.0,1.0,0.339,0.2206,4.0,14.0,-1.0,141.0,-253.0,-253.0,0.0,0.0
2023-02-08,54.0,54.0,0.0,34.0,1.0,0.5027,0.2685,2.0,4.0,25.0,165.0,-219.0,-219.0,0.0,0.0
2023-02-09,49.0,49.0,0.0,-34.0,0.0,0.6102,0.2535,2.0,3.0,0.0,195.0,-253.0,-253.0,0.0,0.0
2023-02-12,164.0,164.0,0.0,-105.0,0.0,0.2275,0.1207,5.0,4.0,0.0,-106.0,-358.0,-358.0,0.0,1.0
2023-02-14,108.0,108.0,0.0,74.0,1.0,0.2466,0.149,6.0,7.0,10.0,0.0,-284.0,-284.0,0.0,0.0
2023-02-15,159.0,159.0,0.0,-29.0,0.0,0.2853,0.2251,7.0,6.0,0.0,-60.0,-313.0,-313.0,0.0,1.0
2023-02-16,133.0,133.0,0.0,68.0,1.0,0.3188,0.2481,5.0,4.0,0.0,-26.0,-245.0,-245.0,0.0,1.0
2023-02-20,122.0,122.0,0.0,70.0,1.0,0.256,0.2033,6.0,4.0,-13.0,78.0,-175.0,-175.0,0.0,0.0
2023-02-22,350.0,350.0,0.0,40.0,1.0,0.3151,0.2282,9.0,9.0,7.0,223.0,-135.0,-135.0,0.0,0.0
2023-02-23,1451.0,1451.0,0.0,432.0,1.0,0.1818,0.1358,18.0,16.0,-87.0,581.0,447.0,297.0,0.0,0.0
2023-02-26,398.0,398.0,0.0,50.0,1.0,0.1287,0.0885,13.0,8.0,-50.0,660.0,578.0,347.0,0.0,0.0
2023-02-27,261.0,261.0,0.0,134.0,1.0,0.1378,0.0704,11.0,10.0,40.0,726.0,692.0,481.0,0.0,0.0
2023-02-28,64.0,64.0,0.0,20.0,1.0,0.2808,0.1488,4.0,5.0,25.0,676.0,684.0,501.0,0.0,0.0
2023-03-01,393.0,393.0,0.0,142.0,1.0,0.1394,0.1136,11.0,4.0,0.0,778.0,1053.0,643.0,0.0,0.0
2023-03-02,534.0,534.0,0.0,17.0,1.0,0.209,0.161,12.0,6.0,0.0,363.0,1071.0,660.0,0.0,0.0
2023-03-05,196.0,196.0,0.0,-24.0,0.0,0.2309,0.1786,7.0,6.0,0.0,289.0,1030.0,636.0,0.0,0.0
2023-03-07,296.0,296.0,0.0,-168.0,0.0,0.3658,0.1408,7.0,7.0,0.0,-13.0,852.0,468.0,0.0,1.0
2023-03-09,380.0,380.0,0.0,-242.0,0.0,0.2005,0.1463,9.0,4.0,10.0,-275.0,674.0,226.0,0.0,1.0
2023-03-12,101.0,101.0,0.0,-11.0,0.0,0.2942,0.2427,7.0,4.0,-21.0,-428.0,467.0,215.0,0.0,1.0
2023-03-13,132.0,132.0,0.0,-49.0,0.0,0.1523,0.1033,8.0,6.0,-51.0,-494.0,450.0,166.0,0.0,1.0
2023-03-14,495.0,495.0,0.0,-20.0,0.0,0.1714,0.1485,10.0,6.0,-155.0,-490.0,399.0,146.0,0.0,1.0
2023-03-15,221.0,221.0,0.0,31.0,1.0,0.2634,0.1171,4.0,8.0,-10.0,-291.0,396.0,177.0,0.0,1.0
2023-03-16,1247.0,1247.0,0.0,381.0,1.0,0.5194,0.2796,11.0,19.0,-22.0,332.0,811.0,558.0,0.0,0.0
2023-03-19,305.0,305.0,0.0,37.0,1.0,0.2944,0.1729,5.0,7.0,0.0,380.0,953.0,595.0,0.0,0.0
2023-03-20,1238.0,1238.0,0.0,-725.0,0.0,0.2244,0.1893,17.0,6.0,51.0,-296.0,154.0,-130.0,0.0,1.0
2023-03-22,317.0,317.0,0.0,24.0,1.0,0.2017,0.0737,9.0,6.0,40.0,-252.0,207.0,-106.0,0.0,1.0
2023-03-23,102.0,102.0,0.0,-49.0,0.0,0.1317,0.0694,9.0,5.0,-19.0,-332.0,90.0,-155.0,0.0,1.0
2023-03-26,347.0,347.0,0.0,-105.0,0.0,0.1706,0.0898,8.0,7.0,0.0,-818.0,-85.0,-260.0,0.0,1.0
2023-03-27,182.0,182.0,0.0,-21.0,0.0,0.3593,0.1592,6.0,5.0,0.0,-876.0,-146.0,-281.0,0.0,1.0
2023-03-28,327.0,327.0,0.0,-125.0,0.0,0.534,0.2596,5.0,11.0,56.0,-276.0,-703.0,-406.0,0.0,1.0
2023-03-29,10.0,10.0,0.0,0.0,0.0,1.0,0.0862,1.0,1.0,0.0,-300.0,-753.0,-406.0,0.0,1.0
2023-03-30,545.0,545.0,0.0,0.0,0.0,0.4793,0.2874,8.0,3.0,0.0,-251.0,-887.0,-406.0,0.0,1.0
2023-04-02,242.0,242.0,0.0,80.0,1.0,0.1347,0.0693,10.0,3.0,0.0,-66.0,-827.0,-326.0,0.0,1.0
2023-04-03,119.0,119.0,0.0,20.0,1.0,0.1526,0.0743,8.0,4.0,-10.0,-25.0,-949.0,-306.0,0.0,1.0
2023-04-04,69.0,69.0,0.0,-11.0,0.0,0.5463,0.3551,3.0,4.0,0.0,89.0,-977.0,-317.0,0.0,0.0
2023-04-05,192.0,192.0,0.0,87.0,1.0,0.1672,0.1302,7.0,4.0,0.0,176.0,-866.0,-230.0,0.0,0.0
2023-04-06,201.0,201.0,0.0,94.0,1.0,0.2589,0.1582,6.0,5.0,0.0,270.0,-604.0,-136.0,0.0,0.0
2023-04-09,405.0,405.0,0.0,306.0,1.0,0.9518,0.4877,2.0,6.0,0.0,496.0,-56.0,170.0,0.0,0.0
2023-04-10,67.0,67.0,0.0,0.0,0.0,0.4244,0.2209,3.0,3.0,0.0,476.0,-45.0,170.0,0.0,0.0
