date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-03-05,0.8582,0.7692,0.089,0.5339,1.0,0.5898,0.6139,3.0,37.0,-0.0905,0.5339,0.5339,0.5339,0.089,0.0
2023-03-07,0.7142,0.6495,0.0647,-0.0236,0.0,0.2332,0.2823,14.0,25.0,-0.1182,0.5103000000000001,0.5103000000000001,0.5103000000000001,0.07685,0.0
2023-03-09,0.4887,0.4756,0.0131,-0.1251,0.0,0.1013,0.0981,20.0,20.0,-0.0617,0.38520000000000004,0.38520000000000004,0.38520000000000004,0.055600000000000004,0.0
2023-03-12,0.6032,0.5948,0.0085,-0.2325,0.0,0.1306,0.148,20.0,20.0,-0.0033,0.15270000000000003,0.15270000000000003,0.15270000000000003,0.043824999999999996,0.0
2023-03-13,0.5586,0.5523,0.0063,-0.0324,0.0,0.085,0.1022,20.0,20.0,-0.022,0.12030000000000003,0.12030000000000003,0.12030000000000003,0.03632,0.0
2023-03-14,0.6071,0.5792,0.0279,-0.2343,0.0,0.1844,0.2102,16.0,24.0,-0.0049,-0.6479,-0.11399999999999998,-0.11399999999999998,0.034916666666666665,1.0
2023-03-15,0.63,0.6083,0.0217,-0.025,0.0,0.2198,0.2193,19.0,20.0,0.2193,-0.6493000000000001,-0.13899999999999998,-0.13899999999999998,0.03302857142857143,1.0
2023-03-16,0.5603,0.534,0.0263,-0.0537,0.0,0.1875,0.2144,20.0,20.0,0.0098,-0.5779,-0.19269999999999998,-0.19269999999999998,0.0321875,1.0
2023-03-19,0.715,0.6619,0.0531,-0.3815,0.0,0.5203,0.5083,12.0,28.0,-0.0828,-0.7269000000000001,-0.5742,-0.5742,0.03451111111111111,1.0
2023-03-20,0.6819,0.6084,0.0735,-0.3139,0.0,0.3944,0.412,11.0,29.0,-0.0444,-1.0084,-0.8881,-0.8881,0.03841,1.0
2023-03-22,0.6222,0.598,0.0242,-0.3518,0.0,0.3332,0.3454,19.0,21.0,-0.0203,-1.1259000000000001,-1.2399,-1.2399,0.03711818181818182,1.0
2023-03-23,0.6714,0.6435,0.028,-0.075,0.0,0.1933,0.2334,16.0,24.0,0.1442,-1.1759000000000002,-1.3149,-1.3149,0.03635833333333333,1.0
2023-03-26,0.7063,0.6692,0.0371,0.0434,1.0,0.2378,0.301,12.0,28.0,-0.046,-1.0788,-1.2715,-1.2715,0.03641538461538461,1.0
2023-03-27,0.6738,0.6588,0.015,-0.1138,0.0,0.0981,0.1097,20.0,20.0,-0.0546,-0.8111,-1.3853,-1.3853,0.034885714285714284,1.0
2023-03-28,0.5252,0.5059,0.0193,0.1351,1.0,0.167,0.1519,17.0,23.0,0.0,-0.3621,-1.2502,-1.2502,0.03384666666666667,1.0
2023-03-29,0.79,0.7781,0.0119,-0.6318,0.0,0.5387,0.5748,18.0,22.0,-0.5724,-0.6421,-1.8820000000000001,-1.8820000000000001,0.032475,1.0
2023-03-30,0.8872,0.8506,0.0366,-0.4942,0.0,0.3436,0.4738,9.0,30.0,-0.078,-1.0613000000000001,-2.3762,-2.3762,0.03271764705882353,1.0
2023-04-02,0.747,0.7223,0.0247,-0.2812,0.0,0.391,0.4532,16.0,24.0,-0.0294,-1.3859,-2.6574,-2.6574,0.03227222222222222,1.0
2023-04-03,0.74,0.6995,0.0405,-0.0173,0.0,0.3191,0.3937,14.0,26.0,-0.0646,-1.2894,-2.6747,-2.6747,0.03270526315789474,1.0
2023-04-04,0.5004,0.4737,0.0266,-0.1412,0.0,0.3098,0.2647,16.0,24.0,-0.0383,-1.5657,-2.8159,-2.8159,0.0324,1.0
2023-04-05,0.8239,0.8093,0.0146,-0.4168,0.0,0.1577,0.2388,16.0,24.0,-0.0495,-1.3507,-3.7666,-3.2327,0.02868,1.0
2023-04-06,0.8894,0.8455,0.044,-0.4447,0.0,0.3049,0.4648,11.0,29.0,-0.0503,-1.3012000000000001,-4.1876999999999995,-3.6774,0.027645000000000003,1.0
2023-04-09,0.8113,0.7783,0.033,-0.3066,0.0,0.1449,0.2366,14.0,26.0,-0.0209,-1.3266,-4.3692,-3.984,0.028640000000000006,1.0
2023-04-10,0.7556,0.7331,0.0225,0.0772,1.0,0.1364,0.1764,15.0,25.0,0.0227,-1.2321,-4.0595,-3.9068,0.029339999999999998,1.0
2023-04-11,0.768,0.6999,0.0681,-0.2289,0.0,0.1665,0.1942,9.0,30.0,-0.1686,-1.3198,-4.256,-4.1357,0.03243,1.0
2023-04-12,0.7662,0.7192,0.047,-0.0032,0.0,0.399,0.4574,10.0,30.0,-0.0183,-0.9062,-4.0249,-4.1389,0.033385,1.0
2023-04-13,0.8523,0.819,0.0333,-0.4998,0.0,0.2525,0.2885,9.0,31.0,-0.159,-0.9613,-4.4997,-4.6387,0.033965,1.0
2023-04-16,0.6473,0.6117,0.0356,-0.0604,0.0,0.1735,0.2096,11.0,29.0,0.075,-0.7151,-4.5064,-4.6991,0.03443,1.0
2023-04-17,0.8176,0.7973,0.0203,-0.156,0.0,0.2476,0.3536,12.0,27.0,0.1171,-0.9483,-4.2809,-4.8551,0.03279,1.0
2023-04-18,0.7966,0.7537,0.043,-0.2363,0.0,0.4832,0.5315,9.0,30.0,-0.0086,-0.9557000000000001,-4.2033,-5.0914,0.031265,1.0
2023-04-19,0.7533,0.6979,0.0554,0.1439,1.0,0.3819,0.3558,7.0,32.0,-0.0111,-0.8086,-3.7076000000000002,-4.9475,0.032825,1.0
2023-04-20,0.7892,0.7541,0.0351,-0.0655,0.0,0.1831,0.2415,9.0,31.0,-0.0612,-0.3743,-3.6980999999999997,-5.013,0.03318,1.0
2023-04-23,0.6958,0.6578,0.0379,0.0114,1.0,0.2164,0.2458,13.0,26.0,0.2458,-0.3025,-3.7300999999999997,-5.0016,0.03322,1.0
2023-04-24,0.6541,0.6057,0.0484,-0.0968,0.0,0.3037,0.3423,12.0,28.0,0.0538,-0.24330000000000002,-3.7131,-5.0984,0.03489,1.0
2023-04-25,0.7946,0.7548,0.0398,0.0217,1.0,0.3186,0.4123,8.0,32.0,-0.02,0.014699999999999994,-3.8265000000000002,-5.0767,0.035914999999999996,0.0
2023-04-26,0.6881,0.6468,0.0414,0.0759,1.0,0.235,0.2677,13.0,27.0,0.2677,-0.053300000000000014,-3.1188,-5.0008,0.03739,1.0
2023-04-27,0.7704,0.7452,0.0252,0.2423,1.0,0.2994,0.3349,6.0,32.0,0.2058,0.25449999999999995,-2.3823000000000003,-4.7585,0.03682,0.0
2023-04-30,0.8936,0.8298,0.0638,-0.4004,0.0,0.8347,0.8124,2.0,38.0,-0.0774,-0.15730000000000002,-2.5015,-5.1589,0.038775000000000004,1.0
2023-05-02,0.889,0.8609,0.0281,-0.3687,0.0,0.25,0.393,11.0,29.0,-0.1082,-0.4292,-2.8529,-5.5276,0.038155,1.0
2023-05-03,0.8922,0.8782,0.0141,-0.7467,0.0,0.2946,0.4265,13.0,27.0,-0.4701,-1.1976,-3.4584,-6.2743,0.037529999999999994,1.0
2023-05-04,0.8734,0.8343,0.0391,0.021,1.0,0.224,0.271,11.0,29.0,0.2102,-1.2525000000000002,-3.0206000000000004,-6.2533,0.038755,1.0
2023-05-07,0.9385,0.9029,0.0356,-0.3948,0.0,0.459,0.5728,7.0,33.0,-0.1262,-1.8896000000000002,-2.9707,-6.6481,0.038334999999999994,1.0
2023-05-08,0.2702,0.2567,0.0135,-0.1551,0.0,0.2335,0.0797,7.0,33.0,0.0036,-1.6443,-2.8192,-6.8032,0.03736,1.0
2023-05-09,0.6646,0.6356,0.029,0.1182,1.0,0.4468,0.3865,6.0,34.0,0.2117,-1.1574,-2.7782,-6.6850000000000005,0.037685,1.0
2023-05-10,0.9119,0.9076,0.0043,-0.1921,0.0,0.2938,0.4623,11.0,29.0,0.4623,-0.6028,-2.7414,-6.8771,0.034495,1.0
2023-05-11,0.7811,0.7512,0.0299,-0.5373,0.0,0.423,0.4876,8.0,32.0,-0.1095,-1.1611000000000002,-3.2755,-7.4144000000000005,0.03364,1.0
2023-05-14,0.82,0.82,0.0,0.0638,1.0,0.1088,0.1552,16.0,24.0,-0.077,-0.7025000000000001,-2.7119,-7.3506,0.031975,1.0
2023-05-15,0.6819,0.6719,0.01,0.1836,1.0,0.2654,0.311,11.0,29.0,0.311,-0.3638000000000002,-2.4679,-7.167,0.030695000000000007,1.0
