date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-04-13,0.3761,0.3808,-0.0047,0.043,1.0,0.1097,0.0946,20.0,20.0,-0.0332,0.043,0.043,0.043,-0.0047,0.0
2023-04-16,0.4555,0.4513,0.0042,-0.1442,0.0,0.0984,0.1045,20.0,20.0,0.0,-0.1012,-0.1012,-0.1012,-0.0002500000000000002,1.0
2023-04-17,0.4678,0.458,0.0098,-0.1314,0.0,0.147,0.1583,20.0,20.0,-0.1454,-0.23259999999999997,-0.23259999999999997,-0.23259999999999997,0.0031,1.0
2023-04-18,0.6879,0.6791,0.0088,0.1185,1.0,0.3253,0.3795,20.0,20.0,0.3795,-0.11410000000000001,-0.11410000000000001,-0.11410000000000001,0.0045249999999999995,1.0
2023-04-19,0.5517,0.5284,0.0233,-0.0792,0.0,0.1471,0.1654,20.0,20.0,0.0014,-0.19330000000000003,-0.19330000000000003,-0.19330000000000003,0.00828,1.0
2023-04-20,0.49,0.4833,0.0067,-0.0072,0.0,0.0911,0.0803,20.0,20.0,-0.0544,-0.2435,-0.2005,-0.2005,0.008016666666666667,1.0
2023-04-23,0.5798,0.5722,0.0076,0.306,1.0,0.1775,0.2126,20.0,20.0,-0.0098,0.2067,0.10549999999999998,0.10549999999999998,0.007957142857142857,0.0
2023-04-24,0.6243,0.6297,-0.0054,-0.3161,0.0,0.119,0.1316,20.0,20.0,-0.0753,0.021999999999999964,-0.2106,-0.2106,0.0062875,0.0
2023-04-25,0.6137,0.5977,0.016,0.0029,1.0,0.2827,0.2848,19.0,20.0,0.2848,-0.0936,-0.2077,-0.2077,0.007366666666666666,1.0
2023-04-26,0.5394,0.5182,0.0212,0.1338,1.0,0.1492,0.1512,20.0,20.0,-0.0262,0.1194,-0.07390000000000002,-0.07390000000000002,0.008749999999999999,0.0
2023-04-27,0.7269,0.6784,0.0484,0.0725,1.0,0.4668,0.4864,14.0,25.0,-0.0509,0.1991,-0.0014000000000000262,-0.0014000000000000262,0.012354545454545453,0.0
2023-04-30,0.6629,0.6646,-0.0017,0.165,1.0,0.1429,0.1594,20.0,20.0,-0.0193,0.05810000000000004,0.16359999999999997,0.16359999999999997,0.011183333333333332,0.0
2023-05-02,0.5691,0.5653,0.0038,-0.3324,0.0,0.1073,0.1276,20.0,20.0,-0.017,0.04180000000000006,-0.16879999999999995,-0.16879999999999995,0.010615384615384613,0.0
2023-05-03,0.7771,0.7841,-0.0069,-0.1959,0.0,0.1948,0.3053,20.0,20.0,0.122,-0.15699999999999992,-0.3646999999999999,-0.3646999999999999,0.009364285714285714,1.0
2023-05-04,0.6419,0.6269,0.015,0.1055,1.0,0.2924,0.3355,20.0,20.0,0.3355,-0.18529999999999996,-0.25919999999999993,-0.25919999999999993,0.00974,1.0
2023-05-07,0.6954,0.6836,0.0117,-0.2035,0.0,0.3062,0.3664,18.0,20.0,0.3664,-0.46129999999999993,-0.46269999999999994,-0.46269999999999994,0.0098625,1.0
2023-05-08,0.6106,0.6157,-0.0052,0.1333,1.0,0.0812,0.0782,20.0,20.0,0.0782,-0.493,-0.3293999999999999,-0.3293999999999999,0.008976470588235294,1.0
2023-05-09,0.5901,0.5657,0.0244,-0.189,0.0,0.1719,0.1695,17.0,22.0,0.1432,-0.3496,-0.5184,-0.5184,0.009833333333333333,1.0
2023-05-10,0.4992,0.496,0.0031,0.2378,1.0,0.1147,0.1227,20.0,20.0,0.0216,0.08410000000000001,-0.28059999999999996,-0.28059999999999996,0.009478947368421054,0.0
2023-05-11,0.6577,0.6396,0.0181,-0.2252,0.0,0.2472,0.2912,13.0,24.0,-0.0427,-0.24659999999999999,-0.5057999999999999,-0.5057999999999999,0.009909999999999999,1.0
2023-05-14,0.7191,0.7031,0.016,-0.101,0.0,0.208,0.2262,18.0,21.0,0.1846,-0.1441,-0.6497999999999999,-0.6068,0.010945,1.0
2023-05-15,0.5943,0.604,-0.0097,-0.0183,0.0,0.0994,0.0973,20.0,20.0,-0.0622,-0.29569999999999996,-0.5238999999999999,-0.6251,0.010249999999999999,1.0
2023-05-16,0.5432,0.5275,0.0157,0.2389,1.0,0.1864,0.1741,16.0,22.0,0.0921,0.13219999999999998,-0.15359999999999993,-0.3862,0.010545,0.0
2023-05-17,0.7319,0.7235,0.0084,-0.564,0.0,0.1395,0.2138,20.0,20.0,-0.3915,-0.6696,-0.8360999999999998,-0.9501999999999999,0.010525,1.0
2023-05-18,0.5351,0.5176,0.0175,-0.0483,0.0,0.1405,0.1635,17.0,22.0,-0.0404,-0.49269999999999997,-0.8051999999999999,-0.9984999999999999,0.010235,1.0
2023-05-21,0.5315,0.5194,0.0121,0.0409,1.0,0.1739,0.164,19.0,20.0,-0.1389,-0.35079999999999995,-0.7570999999999999,-0.9575999999999999,0.010505,1.0
2023-05-22,0.5894,0.5515,0.0379,0.3034,1.0,0.232,0.2032,12.0,26.0,0.1786,-0.02909999999999996,-0.7597,-0.6541999999999999,0.01202,1.0
2023-05-23,0.5451,0.5593,-0.0142,-0.2982,0.0,0.0939,0.1189,20.0,20.0,-0.12,-0.5662,-0.7418,-0.9523999999999999,0.01158,1.0
2023-05-24,0.6789,0.6747,0.0042,-0.1621,0.0,0.1178,0.1587,20.0,20.0,0.1587,-0.16430000000000003,-0.9067999999999999,-1.1145,0.01099,1.0
2023-05-28,0.5925,0.5707,0.0218,-0.0699,0.0,0.4796,0.406,20.0,20.0,-0.2577,-0.1859,-1.1105,-1.1844,0.01102,1.0
