date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-08-18,0.6813,0.6171,0.0642,-0.231,0.0,0.1669,0.1804,12.0,28.0,-0.0025,-0.231,-0.231,-0.231,0.0642,1.0
2024-08-21,0.5343,0.5618,-0.0276,0.1539,1.0,0.1321,0.1706,20.0,20.0,0.0,-0.0771,-0.0771,-0.0771,0.018299999999999997,1.0
2024-08-22,0.6344,0.5829,0.0515,-0.0707,0.0,0.2512,0.2981,20.0,20.0,0.0197,-0.1478,-0.1478,-0.1478,0.029366666666666662,1.0
2024-08-25,0.5249,0.5759,-0.051,-0.3368,0.0,0.0713,0.0739,20.0,20.0,0.0218,-0.4846,-0.4846,-0.4846,0.009274999999999999,1.0
2024-08-27,0.6465,0.6039,0.0426,-0.0006,0.0,0.0965,0.1252,20.0,20.0,0.0,-0.48519999999999996,-0.48519999999999996,-0.48519999999999996,0.01594,1.0
2024-08-28,0.5327,0.583,-0.0504,0.0386,1.0,0.0711,0.0748,20.0,20.0,-0.06,-0.21559999999999999,-0.4466,-0.4466,0.004883333333333332,1.0
2024-08-29,0.6189,0.6718,-0.0529,-0.2804,0.0,0.0696,0.0785,20.0,20.0,0.0328,-0.6498999999999999,-0.727,-0.727,-0.003371428571428573,1.0
2024-09-01,0.5678,0.5916,-0.0238,-0.0673,0.0,0.0843,0.108,20.0,20.0,-0.0171,-0.6465,-0.7943,-0.7943,-0.0059250000000000014,1.0
2024-09-02,0.6412,0.704,-0.0628,-0.0803,0.0,0.0717,0.0775,20.0,20.0,-0.053,-0.38999999999999996,-0.8745999999999999,-0.8745999999999999,-0.012244444444444445,1.0
2024-09-03,0.5815,0.5226,0.0589,0.0439,1.0,0.0976,0.1076,20.0,20.0,-0.0129,-0.3455,-0.8307,-0.8307,-0.005130000000000001,1.0
2024-09-04,0.7321,0.6672,0.065,0.0148,1.0,0.1544,0.1831,20.0,20.0,0.0,-0.3692999999999999,-0.8159,-0.8159,0.0012454545454545453,1.0
2024-09-05,0.7153,0.7359,-0.0205,-0.0666,0.0,0.0851,0.1188,20.0,20.0,-0.0409,-0.15549999999999994,-0.8825,-0.8825,-0.000566666666666667,1.0
2024-09-08,0.6441,0.6249,0.0192,0.154,1.0,0.1446,0.1809,20.0,20.0,0.0317,0.06580000000000005,-0.7284999999999999,-0.7284999999999999,0.0009538461538461534,0.0
2024-09-09,0.7907,0.8222,-0.0315,0.2163,1.0,0.0836,0.1453,21.0,19.0,0.0296,0.36240000000000006,-0.5122,-0.5122,-0.0013642857142857148,0.0
2024-09-10,0.748,0.7296,0.0184,-0.0059,0.0,0.2106,0.3123,20.0,20.0,-0.0172,0.31260000000000004,-0.5181,-0.5181,-4.666666666666708e-05,0.0
2024-09-11,0.6783,0.6839,-0.0056,0.1463,1.0,0.0903,0.1098,20.0,20.0,-0.1239,0.44410000000000005,-0.37179999999999996,-0.37179999999999996,-0.0003937500000000004,0.0
