date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6730.0,6730.0,0.0,245.0,1.0,0.1506,0.0972,16.0,23.0,-1600.0,245.0,245.0,245.0,0.0,0.0
2023-01-24,2230.0,2230.0,0.0,-1300.0,0.0,0.143,0.1187,16.0,16.0,-330.0,-1055.0,-1055.0,-1055.0,0.0,1.0
2023-01-25,5636.0,5636.0,0.0,-304.0,0.0,0.1204,0.0778,15.0,21.0,-59.0,-1359.0,-1359.0,-1359.0,0.0,1.0
2023-01-26,5368.0,5368.0,0.0,-1718.0,0.0,0.1572,0.0927,11.0,28.0,-550.0,-3077.0,-3077.0,-3077.0,0.0,1.0
2023-01-29,13932.0,13832.0,0.0027,-5810.0,0.0,0.2698,0.1365,16.0,24.0,-560.0,-8887.0,-8887.0,-8887.0,0.00054,1.0
2023-01-30,4540.0,4540.0,0.0,665.0,1.0,0.178,0.1344,18.0,18.0,228.0,-8467.0,-8222.0,-8222.0,0.00045000000000000004,1.0
2023-01-31,5464.0,5464.0,0.0,320.0,1.0,0.2715,0.1767,17.0,20.0,-40.0,-6847.0,-7902.0,-7902.0,0.0003857142857142857,1.0
2023-02-01,3612.0,3612.0,0.0,790.0,1.0,0.1899,0.1343,11.0,22.0,-10.0,-5753.0,-7112.0,-7112.0,0.0003375,1.0
2023-02-02,3113.0,3113.0,0.0,-1228.0,0.0,0.3119,0.2154,7.0,27.0,-13.0,-5263.0,-8340.0,-8340.0,0.00030000000000000003,1.0
2023-02-05,2026.0,2026.0,0.0,-287.0,0.0,0.1722,0.1046,9.0,19.0,-50.0,260.0,-8627.0,-8627.0,0.00027,0.0
2023-02-06,2989.0,2989.0,0.0,2090.0,1.0,0.4514,0.3138,9.0,19.0,-20.0,1685.0,-6537.0,-6537.0,0.00024545454545454545,0.0
2023-02-07,1406.0,1406.0,0.0,-423.0,0.0,0.2304,0.1527,8.0,25.0,-90.0,942.0,-6960.0,-6960.0,0.00022500000000000002,0.0
2023-02-08,4216.0,4216.0,0.0,-1029.0,0.0,0.168,0.1164,12.0,22.0,-260.0,-877.0,-7989.0,-7989.0,0.0002076923076923077,1.0
2023-02-09,5368.0,5368.0,0.0,70.0,1.0,0.1121,0.0989,17.0,12.0,-40.0,421.0,-7919.0,-7919.0,0.00019285714285714286,0.0
2023-02-12,19911.0,19332.0,0.0116,1213.0,1.0,0.276,0.1646,11.0,29.0,178.0,1921.0,-6706.0,-6706.0,0.0009533333333333334,0.0
2023-02-14,11821.0,11136.0,0.0204,1947.0,1.0,0.2465,0.1083,10.0,30.0,-391.0,1778.0,-4759.0,-4759.0,0.00216875,0.0
2023-02-15,4266.0,4266.0,0.0,1919.0,1.0,0.4196,0.2355,10.0,29.0,2690.0,4120.0,-2840.0,-2840.0,0.0020411764705882355,0.0
2023-02-16,4815.0,4815.0,0.0,1981.0,1.0,0.1594,0.0832,15.0,20.0,380.0,7130.0,-859.0,-859.0,0.0019277777777777778,0.0
2023-02-20,2437.0,2437.0,0.0,510.0,1.0,0.1699,0.1294,12.0,22.0,-190.0,7570.0,-349.0,-349.0,0.0018263157894736844,0.0
2023-02-22,2763.0,2763.0,0.0,1462.0,1.0,0.198,0.0741,10.0,18.0,721.0,7819.0,1113.0,1113.0,0.001735,0.0
2023-02-23,8340.0,8340.0,0.0,-3224.0,0.0,0.3824,0.2314,10.0,28.0,-960.0,2648.0,-2356.0,-2111.0,0.001735,0.0
2023-02-26,16727.0,15482.0,0.0279,8370.0,1.0,0.4336,0.2339,6.0,34.0,-1820.0,9099.0,7314.0,6259.0,0.00313,0.0
2023-02-27,14147.0,13748.0,0.0097,2979.0,1.0,0.5049,0.2206,8.0,31.0,-2018.0,10097.0,10597.0,9238.0,0.003615,0.0
2023-02-28,11295.0,11295.0,0.0,-5156.0,0.0,0.3426,0.2032,16.0,20.0,400.0,4431.0,7159.0,4082.0,0.003615,0.0
2023-03-01,4920.0,4920.0,0.0,-572.0,0.0,0.1822,0.1164,13.0,25.0,-95.0,2397.0,12397.0,3510.0,0.0034800000000000005,0.0
2023-03-02,6528.0,6528.0,0.0,-1781.0,0.0,0.2422,0.1341,13.0,20.0,-95.0,3840.0,9951.0,1729.0,0.0034800000000000005,0.0
2023-03-05,8959.0,8959.0,0.0,-123.0,0.0,0.1236,0.0726,22.0,12.0,224.0,-4653.0,9508.0,1606.0,0.0034800000000000005,1.0
2023-03-07,3016.0,3016.0,0.0,118.0,1.0,0.1244,0.0958,19.0,13.0,-185.0,-7514.0,8836.0,1724.0,0.0034800000000000005,1.0
2023-03-09,3956.0,3956.0,0.0,-754.0,0.0,0.1843,0.1454,15.0,13.0,-20.0,-3112.0,9310.0,970.0,0.0034800000000000005,1.0
2023-03-12,8198.0,8198.0,0.0,1355.0,1.0,0.1916,0.0963,12.0,20.0,-228.0,-1185.0,10952.0,2325.0,0.0034800000000000005,1.0
2023-03-13,2482.0,2482.0,0.0,1922.0,1.0,0.8716,0.329,4.0,21.0,-80.0,2518.0,10784.0,4247.0,0.0034800000000000005,0.0
2023-03-14,7207.0,7207.0,0.0,-303.0,0.0,0.2266,0.1724,17.0,12.0,-50.0,2338.0,10904.0,3944.0,0.0034800000000000005,0.0
2023-03-15,6052.0,6052.0,0.0,-2967.0,0.0,0.1103,0.0917,21.0,8.0,-772.0,-747.0,8966.0,977.0,0.0034800000000000005,1.0
2023-03-16,5824.0,5824.0,0.0,-5304.0,0.0,0.1762,0.0753,16.0,16.0,-390.0,-5297.0,3592.0,-4327.0,0.0034800000000000005,1.0
2023-03-19,2621.0,2621.0,0.0,-65.0,0.0,0.1916,0.1374,12.0,18.0,-20.0,-6717.0,2314.0,-4392.0,0.0029000000000000002,1.0
2023-03-20,2416.0,2416.0,0.0,154.0,1.0,0.249,0.1877,11.0,15.0,-316.0,-8485.0,521.0,-4238.0,0.0018800000000000002,1.0
2023-03-22,3571.0,3571.0,0.0,884.0,1.0,0.1208,0.0974,18.0,13.0,210.0,-7298.0,-514.0,-3354.0,0.0018800000000000002,1.0
2023-03-23,3195.0,3195.0,0.0,-1017.0,0.0,0.0941,0.0634,22.0,13.0,12.0,-5348.0,-3512.0,-4371.0,0.0018800000000000002,1.0
2023-03-26,3380.0,3380.0,0.0,-1770.0,0.0,0.1881,0.1174,12.0,21.0,-160.0,-1814.0,-5792.0,-6141.0,0.0018800000000000002,1.0
2023-03-27,4574.0,4574.0,0.0,-2876.0,0.0,0.1552,0.0666,15.0,11.0,-50.0,-4625.0,-10130.0,-9017.0,0.0018800000000000002,1.0
