date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,36402.0,36656.0,-0.0022,-18203.0,0.0,0.1559,0.1096,20.0,20.0,0.0,-18203.0,-18203.0,-18203.0,-0.0022,1.0
2023-01-24,25941.0,25932.0,0.0001,-857.0,0.0,0.1525,0.0974,20.0,20.0,-1023.0,-19060.0,-19060.0,-19060.0,-0.0010500000000000002,1.0
2023-01-25,29863.0,29010.0,0.0089,5754.0,1.0,0.208,0.1303,18.0,22.0,2542.0,-13306.0,-13306.0,-13306.0,0.0022666666666666664,1.0
2023-01-26,45748.0,45088.0,0.0058,25373.0,1.0,0.2209,0.1462,14.0,26.0,-2573.0,12067.0,12067.0,12067.0,0.00315,0.0
2023-01-29,36216.0,35958.0,0.0023,4170.0,1.0,0.1553,0.1047,18.0,22.0,11933.0,16237.0,16237.0,16237.0,0.00298,0.0
2023-01-30,46200.0,45323.0,0.0054,-2444.0,0.0,0.0735,0.0346,20.0,20.0,-3247.0,31996.0,13793.0,13793.0,0.0033833333333333332,0.0
2023-01-31,34039.0,33295.0,0.0074,8042.0,1.0,0.2074,0.1434,19.0,21.0,-1321.0,40895.0,21835.0,21835.0,0.003957142857142857,0.0
2023-02-01,27151.0,27251.0,-0.0009,5702.0,1.0,0.0785,0.0332,20.0,20.0,106.0,40843.0,27537.0,27537.0,0.00335,0.0
2023-02-02,17684.0,17711.0,-0.0006,5836.0,1.0,0.1421,0.1078,20.0,20.0,357.0,21306.0,33373.0,33373.0,0.0029111111111111113,0.0
2023-02-05,11503.0,11503.0,0.0,-53.0,0.0,0.139,0.0978,22.0,18.0,-1095.0,17083.0,33320.0,33320.0,0.00262,0.0
2023-02-06,4963.0,4963.0,0.0,-460.0,0.0,0.1771,0.1026,20.0,9.0,-719.0,19067.0,32860.0,32860.0,0.002381818181818182,0.0
2023-02-07,50970.0,54104.0,-0.021,15827.0,1.0,0.0769,0.0582,20.0,19.0,-11131.0,26852.0,48687.0,48687.0,0.0004333333333333333,0.0
2023-02-08,38849.0,37854.0,0.0085,-1442.0,0.0,0.1362,0.1016,20.0,20.0,-6234.0,19708.0,47245.0,47245.0,0.001053846153846154,0.0
2023-02-09,42871.0,42871.0,0.0,4237.0,1.0,0.1263,0.0965,28.0,10.0,-10570.0,18109.0,51482.0,51482.0,0.0009785714285714287,0.0
2023-02-12,48650.0,49601.0,-0.0068,12946.0,1.0,0.1176,0.0862,20.0,20.0,864.0,31108.0,64428.0,64428.0,0.00046000000000000007,0.0
