date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7169,0.6995,0.0175,0.082,1.0,0.1627,0.1607,10.0,29.0,0.1607,0.082,0.082,0.082,0.0175,0.0
2023-01-24,0.767,0.755,0.012,-0.1855,0.0,0.1861,0.2058,12.0,28.0,-0.033,-0.1035,-0.1035,-0.1035,0.014750000000000001,1.0
2023-01-25,0.6652,0.6519,0.0133,-0.1186,0.0,0.2244,0.277,13.0,27.0,-0.0119,-0.2221,-0.2221,-0.2221,0.014266666666666669,1.0
2023-01-26,0.5163,0.5085,0.0078,-0.2712,0.0,0.1518,0.1163,14.0,26.0,-0.1217,-0.49329999999999996,-0.49329999999999996,-0.49329999999999996,0.01265,1.0
2023-01-29,0.7016,0.6972,0.0044,-0.0857,0.0,0.1365,0.1382,18.0,22.0,0.1382,-0.579,-0.579,-0.579,0.011,1.0
2023-01-30,0.661,0.6451,0.016,-0.0376,0.0,0.1159,0.1302,17.0,23.0,0.024,-0.6985999999999999,-0.6165999999999999,-0.6165999999999999,0.011833333333333335,1.0
2023-01-31,0.7213,0.7149,0.0064,0.3439,1.0,0.1276,0.1841,19.0,20.0,-0.0051,-0.16919999999999996,-0.2727,-0.2727,0.011057142857142857,1.0
2023-02-01,0.7201,0.7058,0.0144,-0.3259,0.0,0.5786,0.543,13.0,27.0,-0.0104,-0.37650000000000006,-0.5986,-0.5986,0.011474999999999999,1.0
2023-02-02,0.6292,0.6153,0.0139,-0.1803,0.0,0.1694,0.2167,17.0,23.0,-0.0054,-0.2856000000000001,-0.7789,-0.7789,0.011744444444444445,1.0
2023-02-05,0.5853,0.5769,0.0084,0.2241,1.0,0.1271,0.1417,17.0,23.0,0.051,0.024199999999999944,-0.5548,-0.5548,0.01141,0.0
2023-02-06,0.8853,0.8853,0.0,0.1074,1.0,0.2401,0.3411,10.0,26.0,-0.028,0.16919999999999993,-0.4474,-0.4474,0.010372727272727271,0.0
2023-02-07,0.7142,0.7017,0.0125,-0.0668,0.0,0.0901,0.0949,17.0,21.0,-0.0302,-0.24150000000000005,-0.5142,-0.5142,0.010549999999999999,1.0
2023-02-08,0.7559,0.7559,0.0,0.3368,1.0,0.0865,0.0992,22.0,18.0,-0.0318,0.42119999999999996,-0.1774,-0.1774,0.009738461538461538,0.0
2023-02-09,0.8037,0.8037,0.0,0.0398,1.0,0.1497,0.1772,13.0,26.0,0.0089,0.6413,-0.1376,-0.1376,0.009042857142857142,0.0
2023-02-12,0.7283,0.7044,0.0239,-0.0824,0.0,0.1958,0.272,15.0,25.0,0.0,0.3348,-0.22,-0.22,0.010033333333333333,0.0
2023-02-14,0.793,0.7679,0.0251,-0.2218,0.0,0.168,0.224,12.0,26.0,-0.1036,0.005599999999999966,-0.44179999999999997,-0.44179999999999997,0.010975,0.0
2023-02-15,0.8226,0.8226,0.0,-0.129,0.0,0.1936,0.1996,9.0,25.0,-0.1673,-0.05660000000000004,-0.5708,-0.5708,0.010329411764705882,1.0
2023-02-16,0.766,0.766,0.0,0.2862,1.0,0.1398,0.21,16.0,24.0,-0.023,-0.10720000000000002,-0.28459999999999996,-0.28459999999999996,0.009755555555555556,1.0
2023-02-20,0.8334,0.8355,-0.0021,-0.2673,0.0,0.0988,0.1842,22.0,18.0,-0.209,-0.4143,-0.5519,-0.5519,0.009131578947368421,1.0
2023-02-22,0.7656,0.7656,0.0,-0.0924,0.0,0.1679,0.2018,11.0,25.0,0.0104,-0.42429999999999995,-0.6443,-0.6443,0.008675,1.0
2023-02-23,0.8741,0.8741,0.0,-0.0784,0.0,0.0871,0.1449,20.0,16.0,0.0689,-0.2809,-0.8046999999999999,-0.7226999999999999,0.007800000000000001,1.0
2023-02-26,0.7211,0.7211,0.0,0.4141,1.0,0.1715,0.2167,11.0,25.0,0.0592,0.26220000000000004,-0.2051,-0.30859999999999993,0.007200000000000001,0.0
2023-02-27,0.6604,0.6604,0.0,-0.0542,0.0,0.1451,0.2088,22.0,17.0,0.0263,-0.07819999999999996,-0.14069999999999994,-0.3627999999999999,0.006535000000000001,1.0
2023-02-28,0.8795,0.8795,0.0,-0.1565,0.0,0.1908,0.2593,10.0,26.0,-0.0925,0.03260000000000002,-0.025999999999999968,-0.5192999999999999,0.006144999999999999,0.0
2023-03-01,0.8615,0.8615,0.0,0.0923,1.0,0.1913,0.2769,9.0,14.0,-0.1077,0.2173,0.15200000000000002,-0.42699999999999994,0.005925,0.0
2023-03-02,0.9009,0.9009,0.0,0.3292,1.0,0.1152,0.1664,16.0,16.0,-0.0177,0.6249,0.5188,-0.09779999999999994,0.005125,0.0
2023-03-05,0.9367,0.9367,0.0,0.2294,1.0,0.1618,0.2921,17.0,16.0,-0.0118,0.4402,0.4043,0.13160000000000005,0.004805,0.0
2023-03-07,0.8649,0.8649,0.0,0.2568,1.0,0.2852,0.3243,9.0,18.0,0.0135,0.7511999999999999,0.9869999999999999,0.3884,0.004085,0.0
2023-03-09,0.8984,0.8984,0.0,-0.3246,0.0,0.7123,0.749,6.0,34.0,-0.1255,0.5831,0.8427,0.06380000000000002,0.00339,0.0
2023-03-12,0.7748,0.7748,0.0,-0.1163,0.0,0.1469,0.1976,16.0,22.0,-0.2239,0.37449999999999994,0.5023,-0.05249999999999998,0.00297,0.0
