date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-04-04,41540.0,41287.0,0.0026,-8497.0,0.0,0.215,0.1355,20.0,20.0,-1529.0,-8497.0,-8497.0,-8497.0,0.0026,1.0
2023-04-05,18965.0,18970.0,-0.0001,10258.0,1.0,0.1309,0.109,20.0,20.0,0.0,1761.0,1761.0,1761.0,0.00125,0.0
2023-04-06,11298.0,11298.0,0.0,4986.0,1.0,0.4062,0.2373,20.0,19.0,155.0,6747.0,6747.0,6747.0,0.0008333333333333334,0.0
2023-04-09,19657.0,19747.0,-0.001,-4219.0,0.0,0.1797,0.071,20.0,20.0,1023.0,2528.0,2528.0,2528.0,0.00037499999999999995,0.0
2023-04-10,4866.0,4866.0,0.0,-3736.0,0.0,0.1129,0.0669,24.0,12.0,-122.0,-1208.0,-1208.0,-1208.0,0.0003,1.0
2023-04-11,18562.0,18680.0,-0.0029,-8190.0,0.0,0.1157,0.1016,26.0,13.0,2586.0,-901.0,-9398.0,-9398.0,-0.00023333333333333333,1.0
2023-04-12,25129.0,25522.0,-0.0046,-7971.0,0.0,0.1257,0.0636,23.0,17.0,4155.0,-19130.0,-17369.0,-17369.0,-0.0008571428571428572,1.0
2023-04-13,9265.0,9246.0,0.0008,-3278.0,0.0,0.146,0.0999,19.0,21.0,-408.0,-27394.0,-20647.0,-20647.0,-0.00065,1.0
2023-04-16,14713.0,14713.0,0.0,-9515.0,0.0,0.2858,0.19,21.0,17.0,982.0,-32690.0,-30162.0,-30162.0,-0.0005777777777777778,1.0
2023-04-17,9302.0,9302.0,0.0,-749.0,0.0,0.3268,0.2554,15.0,23.0,5032.0,-29703.0,-30911.0,-30911.0,-0.00052,1.0
2023-04-18,12231.0,12231.0,0.0,-1822.0,0.0,0.2902,0.1643,15.0,24.0,-119.0,-23335.0,-32733.0,-32733.0,-0.0004727272727272727,1.0
2023-04-19,11341.0,11341.0,0.0,5009.0,1.0,0.1433,0.1037,17.0,22.0,-36.0,-10355.0,-27724.0,-27724.0,-0.0004333333333333333,1.0
2023-04-20,25016.0,24756.0,0.0046,6976.0,1.0,0.1771,0.1271,15.0,24.0,-1177.0,-101.0,-20748.0,-20748.0,-4.6153846153846145e-05,1.0
2023-04-23,4967.0,4967.0,0.0,2096.0,1.0,0.1909,0.1418,13.0,23.0,-656.0,11510.0,-18652.0,-18652.0,-4.285714285714284e-05,0.0
