date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6138,0.5891,0.0247,0.1144,1.0,0.1087,0.1472,20.0,20.0,0.1472,0.1144,0.1144,0.1144,0.0247,0.0
2023-01-24,0.4877,0.4607,0.027,-0.0646,0.0,0.0948,0.0805,20.0,20.0,0.0,0.0498,0.0498,0.0498,0.025849999999999998,0.0
2023-01-25,0.5589,0.5653,-0.0064,0.2636,1.0,0.1361,0.1233,20.0,20.0,0.024,0.3134,0.3134,0.3134,0.0151,0.0
2023-01-26,0.6511,0.701,-0.05,0.0683,1.0,0.0682,0.0946,22.0,18.0,-0.1101,0.38170000000000004,0.38170000000000004,0.38170000000000004,-0.0011750000000000007,0.0
2023-01-29,0.6487,0.6382,0.0105,0.3286,1.0,0.0854,0.1124,20.0,20.0,0.0164,0.7103,0.7103,0.7103,0.0011599999999999996,0.0
2023-01-30,0.591,0.6398,-0.0488,0.2069,1.0,0.141,0.1916,23.0,16.0,0.0335,0.8028000000000001,0.9172,0.9172,-0.0071666666666666675,0.0
2023-01-31,0.5832,0.5813,0.0018,0.3845,1.0,0.1055,0.1407,20.0,20.0,0.0308,1.2519,1.3017,1.3017,-0.005885714285714286,0.0
2023-02-01,0.7419,0.7364,0.0054,-0.0581,0.0,0.095,0.1327,20.0,20.0,0.1001,0.9302,1.2436,1.2436,-0.004475000000000001,0.0
2023-02-02,0.6156,0.6261,-0.0105,0.1471,1.0,0.1045,0.1318,20.0,20.0,0.1054,1.0090000000000001,1.3907,1.3907,-0.005144444444444445,0.0
2023-02-05,0.7653,0.8152,-0.0499,0.3539,1.0,0.103,0.1657,22.0,17.0,0.1657,1.0343,1.7446000000000002,1.7446000000000002,-0.00962,0.0
2023-02-06,0.8006,0.8093,-0.0087,0.3276,1.0,0.1295,0.2265,21.0,19.0,0.0,1.155,2.0722,2.0722,-0.009536363636363636,0.0
2023-02-07,0.5103,0.539,-0.0286,0.0737,1.0,0.0718,0.0817,20.0,20.0,0.0288,0.8442000000000001,2.1459,2.1459,-0.011125000000000001,0.0
2023-02-08,0.5192,0.5197,-0.0005,0.1092,1.0,0.0828,0.0743,20.0,20.0,-0.0971,1.0115,2.2551,2.2551,-0.010307692307692308,0.0
2023-02-09,0.6481,0.6573,-0.0092,0.2695,1.0,0.1352,0.1786,20.0,20.0,-0.0497,1.1339000000000001,2.5246,2.5246,-0.010228571428571429,0.0
2023-02-12,0.6109,0.652,-0.0411,0.0593,1.0,0.065,0.0861,21.0,18.0,-0.0268,0.8392999999999999,2.5839000000000003,2.5839000000000003,-0.012286666666666668,0.0
2023-02-14,0.6332,0.6645,-0.0313,0.1789,1.0,0.0912,0.1292,22.0,18.0,-0.0401,0.6906000000000001,2.7628,2.7628,-0.013475,0.0
2023-02-15,0.6521,0.6778,-0.0257,0.1424,1.0,0.0712,0.0933,22.0,17.0,0.022,0.7593,2.9052000000000002,2.9052000000000002,-0.014194117647058824,0.0
