date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,1567.0,1567.0,0.0,-880.0,0.0,0.5397,0.2944,10.0,24.0,-10.0,-880.0,-880.0,-880.0,0.0,1.0
2023-01-24,2721.0,2721.0,0.0,-1140.0,0.0,0.6366,0.3527,10.0,27.0,-70.0,-2020.0,-2020.0,-2020.0,0.0,1.0
2023-01-25,1277.0,1277.0,0.0,-423.0,0.0,0.2234,0.1386,12.0,17.0,-27.0,-2443.0,-2443.0,-2443.0,0.0,1.0
2023-01-26,1303.0,1303.0,0.0,-484.0,0.0,0.2092,0.1442,8.0,17.0,-45.0,-2927.0,-2927.0,-2927.0,0.0,1.0
2023-01-29,1110.0,1110.0,0.0,-593.0,0.0,0.151,0.0923,11.0,15.0,-80.0,-3520.0,-3520.0,-3520.0,0.0,1.0
2023-01-30,1610.0,1610.0,0.0,270.0,1.0,0.4123,0.2789,12.0,20.0,-150.0,-2370.0,-3250.0,-3250.0,0.0,1.0
2023-01-31,1733.0,1733.0,0.0,312.0,1.0,0.2902,0.1801,9.0,24.0,-61.0,-918.0,-2938.0,-2938.0,0.0,1.0
2023-02-01,483.0,483.0,0.0,-161.0,0.0,0.3504,0.2571,7.0,13.0,30.0,-656.0,-3099.0,-3099.0,0.0,1.0
2023-02-02,1301.0,1301.0,0.0,-820.0,0.0,0.5994,0.3181,9.0,18.0,-125.0,-992.0,-3919.0,-3919.0,0.0,1.0
2023-02-05,990.0,990.0,0.0,-362.0,0.0,0.2586,0.111,12.0,13.0,-98.0,-761.0,-4281.0,-4281.0,0.0,1.0
2023-02-06,679.0,679.0,0.0,-225.0,0.0,0.5252,0.2911,6.0,16.0,-78.0,-1256.0,-4506.0,-4506.0,0.0,1.0
2023-02-07,2933.0,2933.0,0.0,627.0,1.0,0.2268,0.1791,13.0,24.0,55.0,-941.0,-3879.0,-3879.0,0.0,1.0
2023-02-08,1493.0,1493.0,0.0,-1046.0,0.0,0.3504,0.2334,11.0,23.0,41.0,-1826.0,-4925.0,-4925.0,0.0,1.0
2023-02-09,1333.0,1333.0,0.0,26.0,1.0,0.1676,0.1371,10.0,12.0,-110.0,-980.0,-4899.0,-4899.0,0.0,1.0
2023-02-12,2312.0,2312.0,0.0,447.0,1.0,0.2597,0.1946,9.0,23.0,-5.0,-171.0,-4452.0,-4452.0,0.0,1.0
2023-02-14,2233.0,2233.0,0.0,-556.0,0.0,0.8927,0.4379,3.0,18.0,-242.0,-502.0,-5008.0,-5008.0,0.0,1.0
2023-02-15,2135.0,2135.0,0.0,-458.0,0.0,0.5544,0.3593,12.0,14.0,132.0,-1587.0,-5466.0,-5466.0,0.0,1.0
2023-02-16,2163.0,2163.0,0.0,255.0,1.0,0.4828,0.2291,8.0,18.0,64.0,-286.0,-5211.0,-5211.0,0.0,1.0
2023-02-20,26374.0,26374.0,0.0,24970.0,1.0,0.9063,0.4709,16.0,12.0,-144.0,24658.0,19759.0,19759.0,0.0,0.0
2023-02-22,1600.0,1600.0,0.0,378.0,1.0,0.1935,0.1496,14.0,14.0,90.0,24589.0,20137.0,20137.0,0.0,0.0
2023-02-23,1151.0,1151.0,0.0,-246.0,0.0,0.2066,0.1533,15.0,13.0,-254.0,24899.0,20771.0,19891.0,0.0,0.0
2023-02-26,1241.0,1241.0,0.0,131.0,1.0,0.2437,0.1551,10.0,21.0,-18.0,25488.0,22042.0,20022.0,0.0,0.0
2023-02-27,2034.0,2034.0,0.0,898.0,1.0,0.1777,0.1121,17.0,11.0,100.0,26131.0,23363.0,20920.0,0.0,0.0
2023-02-28,363.0,363.0,0.0,-165.0,0.0,0.2379,0.1196,6.0,10.0,-70.0,996.0,23682.0,20755.0,0.0,0.0
2023-03-01,1284.0,1284.0,0.0,-609.0,0.0,0.1381,0.0966,13.0,12.0,15.0,9.0,23666.0,20146.0,0.0,0.0
2023-03-02,2195.0,2195.0,0.0,165.0,1.0,0.1397,0.0746,21.0,4.0,-235.0,420.0,23561.0,20311.0,0.0,0.0
2023-03-05,1424.0,1424.0,0.0,39.0,1.0,0.2078,0.0997,17.0,20.0,-97.0,328.0,23288.0,20350.0,0.0,0.0
2023-03-07,26495.0,26495.0,0.0,19421.0,1.0,0.5786,0.3285,16.0,7.0,-55.0,18851.0,42870.0,39771.0,0.0,0.0
2023-03-09,2095.0,2095.0,0.0,-186.0,0.0,0.1527,0.0851,18.0,19.0,22.0,18830.0,43504.0,39585.0,0.0,0.0
2023-03-12,1313.0,1313.0,0.0,-534.0,0.0,0.1014,0.1126,23.0,8.0,10.0,18905.0,43332.0,39051.0,0.0,0.0
2023-03-13,970.0,970.0,0.0,-244.0,0.0,0.1552,0.1304,17.0,5.0,0.0,18496.0,43313.0,38807.0,0.0,0.0
2023-03-14,528.0,528.0,0.0,-156.0,0.0,0.1505,0.0991,14.0,5.0,-300.0,18301.0,42530.0,38651.0,0.0,0.0
2023-03-15,949.0,949.0,0.0,-633.0,0.0,0.167,0.0983,10.0,11.0,-30.0,-1753.0,42943.0,38018.0,0.0,1.0
2023-03-16,721.0,721.0,0.0,-399.0,0.0,0.4035,0.2659,7.0,12.0,0.0,-1966.0,42518.0,37619.0,0.0,1.0
2023-03-19,355.0,355.0,0.0,-155.0,0.0,0.4934,0.3187,6.0,12.0,-10.0,-1587.0,41916.0,37464.0,0.0,1.0
2023-03-20,816.0,816.0,0.0,-56.0,0.0,0.2137,0.163,7.0,18.0,-11.0,-1399.0,42416.0,37408.0,0.0,1.0
2023-03-22,1359.0,1359.0,0.0,465.0,1.0,0.175,0.1561,12.0,10.0,-116.0,-778.0,43339.0,37873.0,0.0,1.0
2023-03-23,557.0,557.0,0.0,5.0,1.0,0.2497,0.1922,10.0,9.0,-145.0,-140.0,43089.0,37878.0,0.0,1.0
