date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8507,0.8507,0.0,-0.2392,0.0,0.1509,0.2108,18.0,20.0,-0.0157,-0.2392,-0.2392,-0.2392,0.0,1.0
2023-01-24,0.9388,0.9388,0.0,0.0975,1.0,0.2742,0.453,18.0,15.0,-0.1302,-0.1417,-0.1417,-0.1417,0.0,1.0
2023-01-25,0.859,0.859,0.0,-0.0105,0.0,0.1524,0.2702,21.0,13.0,0.0341,-0.1522,-0.1522,-0.1522,0.0,1.0
2023-01-26,0.7826,0.7826,0.0,0.1284,1.0,0.1615,0.2834,20.0,13.0,0.2834,-0.023800000000000016,-0.023800000000000016,-0.023800000000000016,0.0,1.0
2023-01-29,0.7969,0.7969,0.0,-0.2356,0.0,0.0887,0.1106,20.0,14.0,0.0864,-0.2594,-0.2594,-0.2594,0.0,1.0
2023-01-30,0.7429,0.7766,-0.0337,0.1706,1.0,0.0784,0.1412,28.0,12.0,0.0263,0.15039999999999998,-0.08880000000000002,-0.08880000000000002,-0.0056166666666666665,0.0
2023-01-31,0.7539,0.7539,0.0,0.244,1.0,0.0956,0.1089,20.0,13.0,-0.0514,0.29689999999999994,0.15519999999999998,0.15519999999999998,-0.0048142857142857145,0.0
2023-02-01,0.8397,0.8397,0.0,0.4878,1.0,0.1938,0.3305,18.0,12.0,0.0086,0.7951999999999999,0.643,0.643,-0.0042125,0.0
2023-02-02,0.8221,0.8221,0.0,0.4443,1.0,0.155,0.1911,14.0,9.0,0.0326,1.1111,1.0873,1.0873,-0.0037444444444444443,0.0
2023-02-05,0.6079,0.6079,0.0,0.0312,1.0,0.1368,0.1614,14.0,7.0,0.1614,1.3779,1.1185,1.1185,-0.00337,0.0
2023-02-06,0.8511,0.8511,0.0,-0.0847,0.0,0.0864,0.1119,22.0,8.0,0.0,1.1225999999999998,1.0338,1.0338,-0.003063636363636364,0.0
2023-02-07,0.7782,0.7782,0.0,0.0516,1.0,0.1725,0.2813,18.0,20.0,0.0626,0.9301999999999999,1.0854,1.0854,-0.0028083333333333333,0.0
2023-02-08,0.8819,0.8819,0.0,-0.0694,0.0,0.1558,0.2879,18.0,15.0,-0.0138,0.3729999999999999,1.016,1.016,-0.0025923076923076924,0.0
2023-02-09,0.8477,0.8477,0.0,-0.1848,0.0,0.1397,0.1702,12.0,9.0,-0.3358,-0.25610000000000005,0.8311999999999999,0.8311999999999999,-0.0024071428571428573,1.0
2023-02-12,0.8153,0.8153,0.0,0.0706,1.0,0.283,0.4073,17.0,19.0,0.0586,-0.21670000000000006,0.9017999999999999,0.9017999999999999,-0.0022466666666666668,1.0
2023-02-14,0.7457,0.7457,0.0,-0.1185,0.0,0.166,0.2117,15.0,16.0,-0.1525,-0.25050000000000006,0.7833,0.7833,-0.00210625,1.0
2023-02-15,0.9027,0.9027,0.0,0.263,1.0,0.1636,0.2284,12.0,8.0,-0.1052,-0.039100000000000024,1.0463,1.0463,-0.0019823529411764707,1.0
2023-02-16,0.9148,0.9148,0.0,-0.2256,0.0,0.1392,0.2786,23.0,10.0,0.0092,-0.19530000000000003,0.8207,0.8207,-0.0018722222222222222,1.0
2023-02-20,0.3338,0.3337,0.0001,0.1971,1.0,0.105,0.0541,19.0,20.0,0.0365,0.18659999999999996,1.0178,1.0178,-0.0017684210526315788,0.0
2023-02-22,0.5543,0.5543,0.0,0.0576,1.0,0.073,0.086,22.0,17.0,0.0413,0.17359999999999998,1.0754,1.0754,-0.0016799999999999999,0.0
2023-02-23,0.5526,0.591,-0.0384,-0.1847,0.0,0.0647,0.067,22.0,18.0,-0.0001,0.10739999999999994,1.1299000000000001,0.8907,-0.0036,0.0
2023-02-26,0.6875,0.6983,-0.0108,-0.0362,0.0,0.0905,0.128,20.0,20.0,-0.017,-0.19180000000000008,0.9962,0.8545,-0.00414,1.0
2023-02-27,0.7461,0.7461,0.0,-0.0862,0.0,0.0978,0.1387,26.0,12.0,-0.0214,-0.052400000000000085,0.9204999999999999,0.7683,-0.00414,1.0
2023-02-28,0.808,0.808,0.0,-0.0268,0.0,0.0863,0.1529,24.0,5.0,0.0481,-0.2763000000000001,0.7653,0.7414999999999999,-0.00414,1.0
2023-03-01,0.6348,0.6348,0.0,-0.1618,0.0,0.0944,0.12,20.0,12.0,-0.085,-0.49570000000000003,0.8391,0.5797,-0.00414,1.0
2023-03-02,0.6886,0.6886,0.0,-0.1935,0.0,0.1421,0.1665,16.0,13.0,-0.0359,-0.5045000000000001,0.475,0.3862,-0.0024549999999999997,1.0
2023-03-05,0.759,0.759,0.0,0.1079,1.0,0.1089,0.1599,23.0,13.0,0.0105,-0.36040000000000005,0.3389,0.4941,-0.0024549999999999997,1.0
2023-03-07,0.7164,0.7164,0.0,0.1567,1.0,0.1873,0.2687,16.0,14.0,0.2687,-0.11750000000000008,0.007800000000000001,0.6508,-0.0024549999999999997,1.0
2023-03-09,0.731,0.731,0.0,0.4782,1.0,0.4765,0.4965,12.0,14.0,0.4965,0.38749999999999996,0.041700000000000015,1.129,-0.0024549999999999997,0.0
2023-03-12,0.5878,0.5878,0.0,0.1342,1.0,0.0866,0.0974,20.0,11.0,0.0785,0.6834999999999999,0.14470000000000008,1.2632,-0.0024549999999999997,0.0
2023-03-13,0.7216,0.7216,0.0,-0.0169,0.0,0.1073,0.1412,14.0,9.0,0.022,0.8601000000000001,0.21250000000000008,1.2463,-0.0024549999999999997,0.0
