date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,4015.0,4015.0,0.0,1922.0,1.0,0.1018,0.0723,19.0,18.0,83.0,1922.0,1922.0,1922.0,0.0,0.0
2023-01-24,7024.0,6868.0,0.0089,3280.0,1.0,0.2555,0.1657,9.0,31.0,1798.0,5202.0,5202.0,5202.0,0.00445,0.0
2023-01-25,9133.0,8953.0,0.006,-660.0,0.0,0.1027,0.0533,20.0,20.0,753.0,4542.0,4542.0,4542.0,0.004966666666666667,0.0
2023-01-26,8342.0,8342.0,0.0,2870.0,1.0,0.0888,0.0783,25.0,9.0,960.0,7412.0,7412.0,7412.0,0.003725,0.0
2023-01-29,9015.0,9119.0,-0.0044,-2393.0,0.0,0.1807,0.1489,24.0,16.0,0.0,5019.0,5019.0,5019.0,0.0021,0.0
2023-01-30,8858.0,8858.0,0.0,5084.0,1.0,0.2981,0.2011,18.0,22.0,4646.0,8181.0,10103.0,10103.0,0.0017499999999999998,0.0
2023-01-31,3059.0,3059.0,0.0,-373.0,0.0,0.1551,0.1191,16.0,12.0,0.0,4528.0,9730.0,9730.0,0.0014999999999999998,0.0
2023-02-01,3366.0,3366.0,0.0,367.0,1.0,0.3161,0.2152,13.0,17.0,-35.0,5555.0,10097.0,10097.0,0.0013124999999999999,0.0
2023-02-02,3656.0,3656.0,0.0,1255.0,1.0,0.5558,0.3574,14.0,15.0,100.0,3940.0,11352.0,11352.0,0.0011666666666666665,0.0
2023-02-05,2129.0,2129.0,0.0,-459.0,0.0,0.137,0.0832,12.0,17.0,10.0,5874.0,10893.0,10893.0,0.00105,0.0
2023-02-06,1655.0,1655.0,0.0,788.0,1.0,0.3491,0.2091,11.0,18.0,-50.0,1578.0,11681.0,11681.0,0.0009545454545454544,0.0
2023-02-07,3947.0,3947.0,0.0,2473.0,1.0,0.181,0.1322,17.0,18.0,-173.0,4424.0,14154.0,14154.0,0.0008749999999999999,0.0
2023-02-08,2385.0,2385.0,0.0,-179.0,0.0,0.1133,0.0659,18.0,12.0,-20.0,3878.0,13975.0,13975.0,0.0008076923076923077,0.0
2023-02-09,2685.0,2685.0,0.0,152.0,1.0,0.141,0.0782,13.0,19.0,0.0,2775.0,14127.0,14127.0,0.0007499999999999999,0.0
2023-02-12,4057.0,4057.0,0.0,-1790.0,0.0,0.1465,0.1227,15.0,18.0,-1176.0,1444.0,12337.0,12337.0,0.0006999999999999999,0.0
2023-02-14,2583.0,2583.0,0.0,-707.0,0.0,0.27,0.1546,13.0,15.0,-400.0,-51.0,11630.0,11630.0,0.0006562499999999999,1.0
2023-02-15,2585.0,2585.0,0.0,31.0,1.0,0.1852,0.1297,11.0,16.0,0.0,-2493.0,11661.0,11661.0,0.0006176470588235293,1.0
2023-02-16,2406.0,2406.0,0.0,441.0,1.0,0.1889,0.1429,13.0,16.0,-54.0,-1873.0,12102.0,12102.0,0.0005833333333333333,1.0
2023-02-20,4413.0,4413.0,0.0,714.0,1.0,0.1056,0.0716,16.0,18.0,485.0,-1311.0,12816.0,12816.0,0.0005526315789473684,1.0
2023-02-22,4761.0,4761.0,0.0,1246.0,1.0,0.2037,0.1857,22.0,16.0,142.0,1725.0,14062.0,14062.0,0.000525,0.0
2023-02-23,11578.0,11962.0,-0.0114,-3203.0,0.0,0.0769,0.0445,20.0,20.0,-701.0,-771.0,8937.0,10859.0,-4.500000000000008e-05,1.0
2023-02-26,7397.0,7375.0,0.0009,1764.0,1.0,0.1073,0.061,20.0,20.0,-176.0,962.0,7421.0,12623.0,-0.0004450000000000001,0.0
2023-02-27,5763.0,5763.0,0.0,1575.0,1.0,0.1154,0.1172,27.0,13.0,810.0,2096.0,9656.0,14198.0,-0.0007450000000000001,0.0
2023-02-28,4137.0,4137.0,0.0,-748.0,0.0,0.2302,0.1642,14.0,12.0,-750.0,634.0,6038.0,13450.0,-0.0007450000000000001,0.0
2023-03-01,16025.0,16717.0,-0.0167,-7912.0,0.0,0.1399,0.1217,27.0,13.0,-9891.0,-8524.0,519.0,5538.0,-0.00136,1.0
2023-03-02,8211.0,8451.0,-0.0126,-4493.0,0.0,0.057,0.0391,31.0,9.0,-5377.0,-9814.0,-9058.0,1045.0,-0.00199,1.0
2023-03-05,5107.0,5149.0,-0.0034,186.0,1.0,0.1259,0.1016,25.0,14.0,-90.0,-11392.0,-8499.0,1231.0,-0.00216,1.0
2023-03-07,1537.0,1537.0,0.0,-467.0,0.0,0.2514,0.1167,9.0,16.0,-80.0,-13434.0,-9333.0,764.0,-0.00216,1.0
2023-03-09,6153.0,6153.0,0.0,-2629.0,0.0,0.0739,0.0633,25.0,12.0,-3647.0,-15315.0,-13217.0,-1865.0,-0.00216,1.0
2023-03-12,2657.0,2657.0,0.0,385.0,1.0,0.1694,0.0975,14.0,19.0,-428.0,-7018.0,-12373.0,-1480.0,-0.00216,1.0
2023-03-13,1052.0,1052.0,0.0,408.0,1.0,0.1279,0.0865,13.0,10.0,0.0,-2117.0,-12753.0,-1072.0,-0.00216,1.0
2023-03-14,1835.0,1835.0,0.0,-180.0,0.0,0.1242,0.0979,17.0,8.0,27.0,-2483.0,-15406.0,-1252.0,-0.00216,1.0
2023-03-15,2649.0,2649.0,0.0,-711.0,0.0,0.1351,0.102,15.0,13.0,0.0,-2727.0,-15938.0,-1963.0,-0.00216,1.0
2023-03-16,1961.0,1961.0,0.0,-516.0,0.0,0.1615,0.1311,20.0,9.0,0.0,-614.0,-16606.0,-2479.0,-0.00216,1.0
2023-03-19,1386.0,1386.0,0.0,359.0,1.0,0.1812,0.1525,16.0,7.0,51.0,-640.0,-14457.0,-2120.0,-0.00216,1.0
2023-03-20,1410.0,1410.0,0.0,-382.0,0.0,0.1625,0.1307,17.0,10.0,-530.0,-1430.0,-14132.0,-2502.0,-0.00216,1.0
2023-03-22,3315.0,3315.0,0.0,920.0,1.0,0.1755,0.1343,17.0,7.0,89.0,-330.0,-13243.0,-1582.0,-0.00216,1.0
2023-03-23,2194.0,2194.0,0.0,169.0,1.0,0.1461,0.1222,13.0,14.0,-30.0,550.0,-13515.0,-1413.0,-0.00216,0.0
2023-03-26,2194.0,2194.0,0.0,-535.0,0.0,0.4585,0.2602,13.0,15.0,-340.0,531.0,-14764.0,-1948.0,-0.00216,0.0
