date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-12-10,230.0,230.0,0.0,-130.0,0.0,0.8412,0.35,2.0,16.0,20.0,-130.0,-130.0,-130.0,0.0,1.0
2025-12-11,240.0,240.0,0.0,30.0,1.0,0.5347,0.2656,5.0,16.0,170.0,-100.0,-100.0,-100.0,0.0,1.0
2025-12-14,490.0,490.0,0.0,-310.0,0.0,0.8092,0.44,5.0,24.0,-100.0,-410.0,-410.0,-410.0,0.0,1.0
2025-12-15,390.0,390.0,0.0,190.0,1.0,0.812,0.3804,3.0,23.0,350.0,-220.0,-220.0,-220.0,0.0,1.0
2025-12-16,410.0,410.0,0.0,130.0,1.0,0.7775,0.3214,4.0,26.0,360.0,-90.0,-90.0,-90.0,0.0,1.0
2025-12-17,440.0,440.0,0.0,160.0,1.0,0.8698,0.3203,4.0,28.0,410.0,200.0,70.0,70.0,0.0,0.0
2025-12-18,880.0,860.0,0.0094,440.0,1.0,0.9336,0.4009,3.0,37.0,850.0,610.0,510.0,510.0,0.0013428571428571428,0.0
2025-12-21,1800.0,1640.0,0.0455,-1000.0,0.0,0.5075,0.2869,2.0,38.0,-430.0,-80.0,-490.0,-490.0,0.0068625,1.0
2025-12-22,38730.0,32440.0,0.0546,-17800.0,0.0,0.1836,0.1257,20.0,20.0,-9500.0,-18070.0,-18290.0,-18290.0,0.012166666666666666,1.0
2025-12-23,107664.0,122788.0,-0.0248,-36491.0,0.0,0.0794,0.0327,20.0,20.0,-53279.0,-54691.0,-54781.0,-54781.0,0.00847,1.0
2025-12-24,65019.0,68489.0,-0.0117,-19757.0,0.0,0.0743,0.0292,20.0,20.0,-20380.0,-74608.0,-74538.0,-74538.0,0.0066363636363636356,1.0
2025-12-28,101683.0,88643.0,0.0324,-12116.0,0.0,0.1773,0.0953,20.0,20.0,-30775.0,-87164.0,-86654.0,-86654.0,0.008783333333333332,1.0
2025-12-29,86152.0,62736.0,0.0625,-24224.0,0.0,0.0684,0.0345,20.0,20.0,-6470.0,-110388.0,-110878.0,-110878.0,0.012915384615384615,1.0
2025-12-31,47460.0,39979.0,0.0452,-21229.0,0.0,0.1866,0.0906,20.0,20.0,-1955.0,-113817.0,-132107.0,-132107.0,0.01522142857142857,1.0
2026-01-01,63965.0,60969.0,0.0091,-1483.0,0.0,0.0652,0.0225,20.0,20.0,7008.0,-78809.0,-133590.0,-133590.0,0.014813333333333333,1.0
2026-01-04,97048.0,88030.0,0.0187,1318.0,1.0,0.1062,0.0402,20.0,20.0,-1603.0,-57734.0,-132272.0,-132272.0,0.01505625,1.0
2026-01-05,68146.0,61987.0,0.025,-17772.0,0.0,0.1137,0.057,20.0,20.0,-12030.0,-63390.0,-150044.0,-150044.0,0.015641176470588235,1.0
2026-01-06,65706.0,75061.0,-0.0304,-221.0,0.0,0.0834,0.0334,20.0,20.0,5748.0,-39387.0,-150265.0,-150265.0,0.013083333333333332,1.0
2026-01-07,85759.0,83708.0,0.0057,-13937.0,0.0,0.1388,0.0744,20.0,20.0,-13172.0,-32095.0,-164202.0,-164202.0,0.012694736842105264,1.0
2026-01-08,75006.0,71107.0,0.0143,-14345.0,0.0,0.0795,0.0357,20.0,20.0,-13004.0,-44957.0,-178547.0,-178547.0,0.012775,1.0
2026-01-12,144168.0,122641.0,0.042,-11976.0,0.0,0.0901,0.0425,20.0,20.0,-21488.0,-58251.0,-190393.0,-190523.0,0.014875,1.0
2026-01-13,79683.0,88888.0,-0.0249,21534.0,1.0,0.1067,0.0387,20.0,20.0,3287.0,-18945.0,-168889.0,-168989.0,0.01363,1.0
2026-01-14,53851.0,57826.0,-0.0167,4796.0,1.0,0.0791,0.0337,20.0,20.0,-2439.0,-13928.0,-163783.0,-164193.0,0.012795,1.0
2026-01-18,80241.0,89489.0,-0.0261,-37474.0,0.0,0.0916,0.0385,20.0,20.0,0.0,-37465.0,-201447.0,-201667.0,0.01149,1.0
2026-01-20,48105.0,47270.0,0.0034,2983.0,1.0,0.0753,0.034,20.0,20.0,0.0,-20137.0,-198594.0,-198684.0,0.01166,1.0
2026-01-21,53142.0,51933.0,0.0053,14211.0,1.0,0.0908,0.0477,20.0,20.0,-3253.0,6050.0,-184543.0,-184473.0,0.011925,0.0
2026-01-22,66434.0,64616.0,0.0058,2386.0,1.0,0.09,0.0381,20.0,20.0,-3418.0,-13098.0,-182597.0,-182087.0,0.011745,1.0
2026-01-25,44698.0,41123.0,0.0154,928.0,1.0,0.0973,0.0422,20.0,20.0,2045.0,-16966.0,-180669.0,-181159.0,0.010239999999999999,1.0
2026-01-26,64806.0,56781.0,0.0232,7290.0,1.0,0.0901,0.0344,20.0,20.0,1224.0,27798.0,-155579.0,-173869.0,0.00867,0.0
2026-01-27,103991.0,85192.0,0.0457,-27624.0,0.0,0.2704,0.1257,20.0,20.0,0.0,-2809.0,-146712.0,-201493.0,0.012195000000000001,1.0
2026-01-28,78216.0,73004.0,0.0144,-28864.0,0.0,0.0761,0.0298,20.0,20.0,-6868.0,-45884.0,-155819.0,-230357.0,0.013499999999999998,1.0
2026-01-29,77981.0,78074.0,-0.0002,-12988.0,0.0,0.0841,0.0298,20.0,20.0,-3194.0,-61258.0,-156691.0,-243345.0,0.01187,1.0
2026-02-01,71068.0,78629.0,-0.0177,-31909.0,0.0,0.0771,0.0281,20.0,20.0,-21665.0,-94095.0,-164376.0,-275254.0,0.00786,1.0
2026-02-02,99007.0,84006.0,0.0481,-42462.0,0.0,0.0999,0.0762,20.0,20.0,-12009.0,-143847.0,-185609.0,-317716.0,0.008005000000000002,1.0
