date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-04-10,73302.0,75398.0,-0.0056,-3562.0,0.0,0.1789,0.0668,20.0,20.0,-7957.0,-3562.0,-3562.0,-3562.0,-0.0056,1.0
2023-04-11,65216.0,67009.0,-0.0062,-23590.0,0.0,0.0916,0.0493,20.0,20.0,-11775.0,-27152.0,-27152.0,-27152.0,-0.0059,1.0
2023-04-12,41248.0,39628.0,0.0104,-10924.0,0.0,0.1295,0.0668,19.0,21.0,-7.0,-38076.0,-38076.0,-38076.0,-0.0004666666666666667,1.0
2023-04-13,24610.0,24151.0,0.0051,-9097.0,0.0,0.1037,0.0713,20.0,20.0,-4446.0,-47173.0,-47173.0,-47173.0,0.000925,1.0
2023-04-16,35390.0,35755.0,-0.0032,-7338.0,0.0,0.1022,0.0707,20.0,20.0,-4405.0,-54511.0,-54511.0,-54511.0,0.0001,1.0
2023-04-17,24669.0,23229.0,0.0186,-7175.0,0.0,0.1351,0.0702,18.0,22.0,-2252.0,-58124.0,-61686.0,-61686.0,0.003183333333333333,1.0
2023-04-18,20685.0,19075.0,0.0221,5820.0,1.0,0.1745,0.0852,17.0,23.0,4800.0,-28714.0,-55866.0,-55866.0,0.005885714285714286,1.0
2023-04-19,30764.0,28470.0,0.0239,8140.0,1.0,0.2212,0.1362,16.0,24.0,2860.0,-9650.0,-47726.0,-47726.0,0.0081375,1.0
2023-04-20,22345.0,22337.0,0.0001,-1905.0,0.0,0.0956,0.0531,20.0,20.0,3985.0,-2458.0,-49631.0,-49631.0,0.007244444444444446,1.0
2023-04-23,34817.0,33229.0,0.016,-23199.0,0.0,0.123,0.0786,18.0,21.0,-2870.0,-18319.0,-72830.0,-72830.0,0.008119999999999999,1.0
2023-04-24,26545.0,26956.0,-0.0051,-16271.0,0.0,0.0867,0.0688,20.0,20.0,310.0,-27415.0,-89101.0,-89101.0,0.006918181818181818,1.0
2023-04-25,30187.0,28997.0,0.0127,2155.0,1.0,0.1551,0.0869,18.0,21.0,8140.0,-31080.0,-86946.0,-86946.0,0.0074,1.0
2023-04-26,27570.0,27075.0,0.007,-6885.0,0.0,0.1056,0.0759,20.0,20.0,-1725.0,-46105.0,-93831.0,-93831.0,0.0073692307692307685,1.0
2023-04-27,15040.0,14210.0,0.0216,-6850.0,0.0,0.1871,0.1165,16.0,24.0,-2920.0,-51050.0,-100681.0,-100681.0,0.008385714285714286,1.0
2023-04-30,35909.0,36800.0,-0.0097,-18558.0,0.0,0.1126,0.0898,20.0,20.0,-10560.0,-46409.0,-119239.0,-119239.0,0.007180000000000001,1.0
2023-05-02,20239.0,19746.0,0.0096,-5858.0,0.0,0.1552,0.1236,20.0,20.0,-2983.0,-35996.0,-125097.0,-125097.0,0.00733125,1.0
2023-05-03,15234.0,15044.0,0.0044,-2460.0,0.0,0.1347,0.1005,20.0,20.0,-730.0,-40611.0,-127557.0,-127557.0,0.007158823529411765,1.0
2023-05-04,11590.0,11000.0,0.0167,-2825.0,0.0,0.1904,0.104,12.0,27.0,-328.0,-36551.0,-130382.0,-130382.0,0.007688888888888888,1.0
2023-05-07,14734.0,14144.0,0.0132,-7679.0,0.0,0.2579,0.1324,13.0,25.0,-2810.0,-37380.0,-138061.0,-138061.0,0.007978947368421052,1.0
2023-05-08,21566.0,21406.0,0.0027,-2543.0,0.0,0.1601,0.1133,20.0,20.0,-1999.0,-21365.0,-140604.0,-140604.0,0.007715,1.0
2023-05-09,19312.0,19267.0,0.0008,-1991.0,0.0,0.134,0.0992,20.0,20.0,320.0,-17498.0,-139033.0,-142595.0,0.008034999999999999,1.0
2023-05-10,4921.0,4861.0,0.0029,1690.0,1.0,0.1493,0.0668,20.0,20.0,387.0,-13348.0,-113753.0,-140905.0,0.008490000000000001,1.0
2023-05-11,5780.0,5500.0,0.0143,-180.0,0.0,0.1466,0.0555,14.0,24.0,960.0,-10703.0,-103009.0,-141085.0,0.008685000000000002,1.0
2023-05-14,9148.0,8828.0,0.0137,932.0,1.0,0.2061,0.1346,11.0,26.0,-540.0,-2092.0,-92980.0,-140153.0,0.009115,1.0
2023-05-15,6000.0,5480.0,0.0298,-750.0,0.0,0.1338,0.0785,13.0,27.0,-700.0,-299.0,-86392.0,-140903.0,0.010765,1.0
2023-05-16,8820.0,8340.0,0.0219,-1991.0,0.0,0.6121,0.3135,13.0,27.0,-830.0,-299.0,-81208.0,-142894.0,0.010929999999999999,1.0
2023-05-17,17510.0,17130.0,0.0089,7840.0,1.0,0.175,0.1445,19.0,21.0,-980.0,5851.0,-79188.0,-135054.0,0.01027,0.0
2023-05-18,14784.0,14624.0,0.003,1825.0,1.0,0.1015,0.0517,20.0,20.0,-1560.0,7856.0,-85503.0,-133229.0,0.009225,0.0
2023-05-21,16720.0,16137.0,0.0111,-2069.0,0.0,0.155,0.099,18.0,21.0,-622.0,4855.0,-85667.0,-135298.0,0.009774999999999999,0.0
2023-05-22,8911.0,8161.0,0.0312,-1979.0,0.0,0.2739,0.1707,11.0,28.0,-650.0,3626.0,-64447.0,-137277.0,0.010535,0.0
2023-05-23,25384.0,25154.0,0.0027,-8239.0,0.0,0.1162,0.0762,20.0,20.0,2359.0,-2622.0,-56415.0,-145516.0,0.010925,1.0
2023-05-24,14973.0,15276.0,-0.0062,646.0,1.0,0.0785,0.0496,20.0,20.0,-160.0,-9816.0,-57924.0,-144870.0,0.00998,1.0
2023-05-28,35063.0,33353.0,0.0147,-6086.0,0.0,0.0944,0.0455,15.0,24.0,2427.0,-17727.0,-57125.0,-150956.0,0.010365000000000001,1.0
2023-05-30,23773.0,23373.0,0.0065,-4009.0,0.0,0.1147,0.0844,20.0,20.0,-2064.0,-19667.0,-54284.0,-154965.0,0.009609999999999999,1.0
2023-05-31,28035.0,28774.0,-0.0098,-13983.0,0.0,0.0963,0.0724,20.0,20.0,-9730.0,-31671.0,-49709.0,-168948.0,0.009604999999999999,1.0
2023-06-01,15963.0,15863.0,0.0021,1255.0,1.0,0.1224,0.0879,20.0,20.0,-3739.0,-22177.0,-42596.0,-167693.0,0.00923,1.0
2023-06-04,20315.0,19779.0,0.0103,-5126.0,0.0,0.2091,0.1161,13.0,27.0,0.0,-27949.0,-45262.0,-172819.0,0.009525,1.0
2023-06-05,15875.0,15445.0,0.0096,-2435.0,0.0,0.1578,0.111,17.0,22.0,35.0,-24298.0,-44872.0,-175254.0,0.009170000000000001,1.0
2023-06-06,27341.0,25951.0,0.0168,98.0,1.0,0.11,0.0618,17.0,23.0,-990.0,-20191.0,-37095.0,-175156.0,0.00935,1.0
2023-06-07,40924.0,39679.0,0.0089,-12349.0,0.0,0.1348,0.0766,19.0,21.0,-1510.0,-18557.0,-46901.0,-187505.0,0.00966,1.0
2023-06-08,33545.0,34730.0,-0.0132,5668.0,1.0,0.0818,0.0567,20.0,20.0,1477.0,-14144.0,-39242.0,-181837.0,0.00896,1.0
2023-06-11,38850.0,37810.0,0.0074,14027.0,1.0,0.1002,0.0503,20.0,20.0,-2545.0,5009.0,-26905.0,-167810.0,0.009185,0.0
2023-06-12,19124.0,18834.0,0.0037,82.0,1.0,0.0886,0.0349,20.0,20.0,-1643.0,7526.0,-26643.0,-167728.0,0.008655,0.0
2023-06-13,34391.0,33421.0,0.0088,-14822.0,0.0,0.1806,0.1079,17.0,23.0,-5729.0,-7394.0,-42397.0,-182550.0,0.008409999999999999,1.0
2023-06-14,48240.0,47033.0,0.0087,-28253.0,0.0,0.1405,0.095,20.0,20.0,-16710.0,-23298.0,-69900.0,-210803.0,0.007355,1.0
