date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8256,0.8162,0.0094,0.1909,1.0,0.261,0.3062,12.0,28.0,-0.0479,0.1909,0.1909,0.1909,0.0094,0.0
2023-01-24,0.7126,0.7126,0.0,0.1131,1.0,0.1537,0.174,11.0,22.0,-0.0239,0.304,0.304,0.304,0.0047,0.0
2023-01-25,0.5057,0.5057,0.0,0.1798,1.0,0.4732,0.329,9.0,30.0,0.329,0.4838,0.4838,0.4838,0.0031333333333333335,0.0
2023-01-26,0.6128,0.6084,0.0044,-0.1653,0.0,0.3016,0.318,14.0,26.0,0.318,0.3185,0.3185,0.3185,0.00345,0.0
2023-01-29,0.7572,0.7246,0.0326,0.2647,1.0,0.607,0.5866,15.0,25.0,0.5866,0.5831999999999999,0.5831999999999999,0.5831999999999999,0.00928,0.0
2023-01-30,0.6937,0.7084,-0.0146,0.0562,1.0,0.0919,0.1178,26.0,14.0,-0.1976,0.4485,0.6394,0.6394,0.005299999999999999,0.0
2023-01-31,0.5695,0.5695,0.0,-0.1485,0.0,0.2211,0.2056,18.0,22.0,-0.1693,0.18689999999999996,0.49089999999999995,0.49089999999999995,0.004542857142857142,0.0
2023-02-01,0.6472,0.6472,0.0,-0.1301,0.0,0.4178,0.4004,15.0,15.0,0.4004,-0.12300000000000003,0.36079999999999995,0.36079999999999995,0.003974999999999999,1.0
2023-02-02,0.68,0.68,0.0,-0.5733,0.0,0.4439,0.446,20.0,13.0,0.0186,-0.531,-0.21250000000000008,-0.21250000000000008,0.0035333333333333328,1.0
2023-02-05,0.7932,0.7932,0.0,0.2745,1.0,0.4776,0.5383,12.0,16.0,0.5383,-0.5212000000000001,0.061999999999999944,0.061999999999999944,0.0031799999999999997,1.0
2023-02-06,0.9511,0.9511,0.0,-0.1565,0.0,0.3001,0.3926,21.0,13.0,-0.8917,-0.7339,-0.09450000000000006,-0.09450000000000006,0.0028909090909090903,1.0
2023-02-07,0.8108,0.8173,-0.0065,0.0371,1.0,0.2137,0.3348,21.0,19.0,-0.4694,-0.5483,-0.057400000000000055,-0.057400000000000055,0.002108333333333333,1.0
2023-02-08,0.1027,0.1027,0.0,0.045,1.0,0.2652,0.05,22.0,15.0,0.05,-0.37320000000000003,-0.012400000000000057,-0.012400000000000057,0.001946153846153846,1.0
2023-02-09,0.9414,0.9414,0.0,0.2643,1.0,0.262,0.4103,8.0,10.0,0.4103,0.4644,0.2518999999999999,0.2518999999999999,0.0018071428571428568,0.0
2023-02-12,0.6857,0.6857,0.0,0.0442,1.0,0.1427,0.1569,21.0,13.0,-0.2218,0.23409999999999997,0.2960999999999999,0.2960999999999999,0.0016866666666666664,0.0
