date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-13,3441.0,3291.0,0.0203,-180.0,0.0,0.4773,0.2964,5.0,35.0,-420.0,-180.0,-180.0,-180.0,0.0203,1.0
2023-08-14,8542.0,7552.0,0.0605,-4090.0,0.0,1.0,0.5223,1.0,39.0,-599.0,-4270.0,-4270.0,-4270.0,0.0404,1.0
2023-08-15,25419.0,24868.0,0.0053,129.0,1.0,0.1165,0.0497,20.0,20.0,-3067.0,-4141.0,-4141.0,-4141.0,0.0287,1.0
2023-08-16,10669.0,9989.0,0.0225,-3563.0,0.0,0.1466,0.0931,18.0,22.0,-1380.0,-7704.0,-7704.0,-7704.0,0.02715,1.0
2023-08-17,7171.0,6658.0,0.0241,-2844.0,0.0,0.2418,0.1453,12.0,27.0,322.0,-10548.0,-10548.0,-10548.0,0.026539999999999998,1.0
2023-08-20,5951.0,5431.0,0.0233,-699.0,0.0,0.2668,0.0946,11.0,29.0,-750.0,-11067.0,-11247.0,-11247.0,0.026,1.0
2023-08-21,4498.0,4268.0,0.0172,-550.0,0.0,0.2102,0.1175,11.0,29.0,-270.0,-7527.0,-11797.0,-11797.0,0.024742857142857143,1.0
2023-08-22,3862.0,3580.0,0.0252,804.0,1.0,0.1619,0.103,12.0,28.0,-10.0,-6852.0,-10993.0,-10993.0,0.0248,1.0
2023-08-23,10047.0,9827.0,0.0075,-793.0,0.0,0.1043,0.0637,19.0,21.0,390.0,-4082.0,-11786.0,-11786.0,0.022877777777777778,1.0
2023-08-24,5082.0,4872.0,0.0153,48.0,1.0,0.1433,0.0896,14.0,26.0,690.0,-1190.0,-11738.0,-11738.0,0.02212,1.0
2023-08-27,3739.0,3539.0,0.0182,1055.0,1.0,0.1192,0.0646,13.0,27.0,0.0,564.0,-10683.0,-10683.0,0.021763636363636363,0.0
2023-08-28,3271.0,3221.0,0.0059,-1160.0,0.0,0.1654,0.1095,14.0,26.0,-390.0,-46.0,-11843.0,-11843.0,0.020441666666666667,1.0
2023-08-29,7670.0,7580.0,0.0052,3170.0,1.0,0.1239,0.0986,17.0,22.0,-1160.0,2320.0,-8673.0,-8673.0,0.019269230769230768,0.0
2023-08-30,7691.0,7471.0,0.0105,-488.0,0.0,0.1895,0.115,10.0,30.0,-433.0,2625.0,-9161.0,-9161.0,0.018642857142857145,0.0
2023-09-03,15258.0,14358.0,0.0261,-5878.0,0.0,0.3573,0.2057,11.0,29.0,-1690.0,-3301.0,-15039.0,-15039.0,0.01914,1.0
2023-09-04,22161.0,20731.0,0.029,-8195.0,0.0,0.6289,0.352,9.0,30.0,-60.0,-12551.0,-23234.0,-23234.0,0.01975625,1.0
2023-09-05,22645.0,21218.0,0.0237,-12137.0,0.0,0.3139,0.1688,15.0,25.0,-2402.0,-23528.0,-35371.0,-35371.0,0.019988235294117647,1.0
