date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-07-17,483.0,483.0,0.0,177.0,1.0,0.9079,0.3898,4.0,24.0,-65.0,177.0,177.0,177.0,0.0,0.0
2025-07-20,531.0,531.0,0.0,209.0,1.0,0.7012,0.3915,5.0,25.0,-122.0,386.0,386.0,386.0,0.0,0.0
2025-07-21,490.0,490.0,0.0,160.0,1.0,0.9217,0.4608,2.0,30.0,-100.0,546.0,546.0,546.0,0.0,0.0
2025-07-22,680.0,680.0,0.0,270.0,1.0,0.971,0.4855,2.0,32.0,-110.0,816.0,816.0,816.0,0.0,0.0
2025-07-23,710.0,710.0,0.0,-300.0,0.0,0.5057,0.2877,3.0,34.0,-110.0,516.0,516.0,516.0,0.0,0.0
2025-07-24,1050.0,1020.0,0.0142,-648.0,0.0,0.5,0.2512,2.0,38.0,-138.0,-309.0,-132.0,-132.0,0.0023666666666666667,1.0
2025-07-27,1360.0,1280.0,0.0294,-760.0,0.0,0.7924,0.4412,2.0,38.0,-130.0,-1278.0,-892.0,-892.0,0.006228571428571429,1.0
2025-07-28,1201.0,1031.0,0.0747,-611.0,0.0,0.934,0.5097,3.0,37.0,-143.0,-2049.0,-1503.0,-1503.0,0.0147875,1.0
2025-07-29,1560.0,1430.0,0.039,-880.0,0.0,0.3803,0.2462,4.0,36.0,-150.0,-3199.0,-2383.0,-2383.0,0.017477777777777776,1.0
2025-07-30,2215.0,1946.0,0.0599,-1101.0,0.0,0.6126,0.3763,5.0,35.0,-301.0,-4000.0,-3484.0,-3484.0,0.02172,1.0
2025-07-31,14730.0,11600.0,0.1104,-7772.0,0.0,0.7038,0.4298,5.0,35.0,-2565.0,-11124.0,-11256.0,-11256.0,0.029781818181818184,1.0
2025-08-03,22580.0,19820.0,0.039,-7275.0,0.0,0.2475,0.1498,20.0,20.0,-5542.0,-17639.0,-18531.0,-18531.0,0.030549999999999997,1.0
2025-08-04,59382.0,76231.0,-0.0423,-39209.0,0.0,0.0584,0.016,20.0,20.0,-19227.0,-56237.0,-57740.0,-57740.0,0.024946153846153847,1.0
2025-08-05,76709.0,107952.0,-0.0608,-69872.0,0.0,0.066,0.0217,20.0,20.0,-50716.0,-125229.0,-127612.0,-127612.0,0.018821428571428572,1.0
2025-08-06,28063.0,31940.0,-0.0248,-16672.0,0.0,0.0621,0.0188,20.0,20.0,-11506.0,-140800.0,-144284.0,-144284.0,0.01591333333333333,1.0
2025-08-07,33935.0,35722.0,-0.0093,-597.0,0.0,0.065,0.0189,20.0,20.0,830.0,-133625.0,-144881.0,-144881.0,0.0143375,1.0
2025-08-11,34311.0,39817.0,-0.0234,2130.0,1.0,0.0603,0.0169,20.0,20.0,3974.0,-124220.0,-142751.0,-142751.0,0.01211764705882353,1.0
2025-08-12,22615.0,22426.0,0.0021,-3209.0,0.0,0.0751,0.039,20.0,20.0,-4103.0,-88220.0,-145960.0,-145960.0,0.011561111111111112,1.0
2025-08-13,20865.0,20025.0,0.011,1589.0,1.0,0.1057,0.0582,20.0,20.0,-3146.0,-16759.0,-144371.0,-144371.0,0.011531578947368422,1.0
2025-08-14,27611.0,27353.0,0.0023,4.0,1.0,0.0657,0.0276,20.0,20.0,-3986.0,-83.0,-144367.0,-144367.0,0.01107,1.0
2025-08-17,24958.0,27346.0,-0.0139,-4853.0,0.0,0.1028,0.0365,20.0,20.0,-1908.0,-4339.0,-149397.0,-149220.0,0.010375,1.0
2025-08-18,14168.0,14116.0,0.0007,877.0,1.0,0.0671,0.0226,20.0,20.0,-2904.0,-5592.0,-148729.0,-148343.0,0.010409999999999999,1.0
2025-08-19,9639.0,8559.0,0.0231,4433.0,1.0,0.0733,0.0343,20.0,20.0,0.0,2050.0,-144456.0,-143910.0,0.011565,0.0
2025-08-20,10848.0,10459.0,0.0089,609.0,1.0,0.0773,0.0365,20.0,20.0,-717.0,1070.0,-144117.0,-143301.0,0.01201,0.0
2025-08-21,12631.0,12460.0,0.0031,609.0,1.0,0.0765,0.0358,20.0,20.0,-2431.0,1675.0,-143208.0,-142692.0,0.012165,0.0
2025-08-24,15447.0,15786.0,-0.0047,487.0,1.0,0.0709,0.0311,20.0,20.0,-739.0,7015.0,-142073.0,-142205.0,0.01122,0.0
2025-08-25,12031.0,13208.0,-0.0217,-680.0,0.0,0.0816,0.0369,20.0,20.0,-2202.0,5458.0,-141993.0,-142885.0,0.008665,0.0
2025-08-26,12865.0,11549.0,0.0268,-1753.0,0.0,0.0717,0.0371,20.0,20.0,-1635.0,-728.0,-143135.0,-144638.0,0.00627,1.0
2025-08-27,14805.0,14446.0,0.0069,-183.0,0.0,0.0753,0.0387,20.0,20.0,-665.0,-1520.0,-142438.0,-144821.0,0.004665,1.0
