date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-12-07,0.6132,0.5263,0.0869,0.0334,1.0,0.1216,0.1508,18.0,22.0,-0.0351,0.0334,0.0334,0.0334,0.0869,0.0
2023-12-10,0.8951,0.8801,0.015,-0.2472,0.0,0.2435,0.3596,8.0,31.0,-0.0412,-0.2138,-0.2138,-0.2138,0.05095,1.0
2023-12-11,0.507,0.4521,0.0549,-0.1809,0.0,0.1125,0.1172,20.0,20.0,-0.0587,-0.39470000000000005,-0.39470000000000005,-0.39470000000000005,0.05226666666666666,1.0
2023-12-12,0.6142,0.5384,0.0758,-0.0422,0.0,0.1241,0.1612,20.0,20.0,-0.1814,-0.4369,-0.4369,-0.4369,0.05815,1.0
2023-12-13,0.5485,0.4409,0.1076,-0.1175,0.0,0.1023,0.0839,17.0,21.0,0.0149,-0.5544,-0.5544,-0.5544,0.06804,1.0
2023-12-14,0.6303,0.5964,0.034,-0.0283,0.0,0.1092,0.1433,20.0,20.0,-0.1013,-0.6161,-0.5827,-0.5827,0.06236666666666666,1.0
2023-12-17,0.5619,0.5388,0.0231,-0.0309,0.0,0.0948,0.1053,20.0,20.0,-0.0994,-0.39980000000000004,-0.6136,-0.6136,0.05675714285714285,1.0
2023-12-18,0.5994,0.5479,0.0514,0.1452,1.0,0.1063,0.1522,19.0,21.0,0.027,-0.07370000000000002,-0.46840000000000004,-0.46840000000000004,0.0560875,1.0
2023-12-19,0.6004,0.5638,0.0366,0.08,1.0,0.1156,0.1507,20.0,20.0,-0.0315,0.04849999999999999,-0.3884,-0.3884,0.053922222222222226,0.0
2023-12-20,0.7027,0.5949,0.1077,0.1481,1.0,0.1299,0.1488,20.0,20.0,0.1243,0.3141,-0.2403,-0.2403,0.0593,0.0
2023-12-21,0.609,0.5918,0.0172,0.0781,1.0,0.0849,0.1237,20.0,20.0,0.0352,0.4205,-0.1622,-0.1622,0.05547272727272727,0.0
2023-12-24,0.6678,0.599,0.0688,-0.0563,0.0,0.0787,0.0988,20.0,20.0,-0.0328,0.39509999999999995,-0.21850000000000003,-0.21850000000000003,0.05658333333333334,0.0
2023-12-27,0.5876,0.5355,0.0521,-0.1598,0.0,0.1254,0.1376,20.0,20.0,-0.041,0.09009999999999999,-0.3783,-0.3783,0.056238461538461536,0.0
2023-12-28,0.6576,0.6063,0.0513,-0.0326,0.0,0.1886,0.2219,20.0,20.0,0.0,-0.022500000000000013,-0.41090000000000004,-0.41090000000000004,0.05588571428571428,1.0
2024-01-01,0.6196,0.5915,0.0281,0.0461,1.0,0.1168,0.1446,20.0,20.0,0.0133,-0.12450000000000003,-0.3648,-0.3648,0.054033333333333336,1.0
2024-01-02,0.5596,0.5391,0.0205,0.1278,1.0,0.0759,0.08,20.0,20.0,0.0,-0.07480000000000003,-0.23700000000000002,-0.23700000000000002,0.0519375,1.0
2024-01-03,0.596,0.5559,0.0401,-0.2312,0.0,0.0943,0.1063,20.0,20.0,0.0068,-0.24970000000000003,-0.4682,-0.4682,0.051241176470588234,1.0
2024-01-04,0.6592,0.6339,0.0253,0.1713,1.0,0.1462,0.2151,20.0,20.0,-0.0271,0.0814,-0.2969,-0.2969,0.0498,0.0
2024-01-07,0.7421,0.6997,0.0424,-0.1804,0.0,0.1249,0.1462,19.0,21.0,-0.0092,-0.06640000000000001,-0.4773,-0.4773,0.049410526315789474,1.0
2024-01-08,0.7191,0.6734,0.0457,-0.2209,0.0,0.1822,0.2719,20.0,20.0,-0.066,-0.33340000000000003,-0.6982,-0.6982,0.049225,1.0
2024-01-09,0.7861,0.6708,0.1153,-0.2722,0.0,0.2599,0.3052,17.0,23.0,0.0,-0.7334,-1.0038,-0.9704,0.050644999999999996,1.0
2024-01-10,0.7781,0.6572,0.1209,-0.1645,0.0,0.2753,0.3768,14.0,26.0,-0.0238,-0.6667,-0.9211,-1.1349,0.055940000000000004,1.0
2024-01-11,0.6797,0.5916,0.0881,-0.0751,0.0,0.1184,0.1502,20.0,20.0,-0.036,-0.9131000000000001,-0.8153,-1.21,0.057600000000000005,1.0
2024-01-14,0.58,0.5064,0.0736,0.0345,1.0,0.1186,0.1416,20.0,20.0,-0.039,-0.6982000000000002,-0.7386000000000001,-1.1755,0.05749,1.0
2024-01-16,0.7131,0.5826,0.1304,0.1953,1.0,0.2854,0.3476,17.0,23.0,0.0,-0.28200000000000003,-0.42580000000000007,-0.9802000000000001,0.05863,1.0
2024-01-17,0.7199,0.6362,0.0838,0.0239,1.0,0.1752,0.2166,20.0,20.0,0.0,0.014099999999999998,-0.37360000000000004,-0.9563,0.061119999999999994,0.0
2024-01-18,0.6876,0.5479,0.1397,-0.0062,0.0,0.1223,0.1496,19.0,21.0,-0.0227,0.1724,-0.34890000000000004,-0.9625,0.06695,0.0
2024-01-21,0.6517,0.5803,0.0715,0.1355,1.0,0.0692,0.0732,20.0,20.0,-0.0281,0.383,-0.35860000000000003,-0.8270000000000001,0.067955,0.0
2024-01-22,0.6996,0.6441,0.0555,0.3029,1.0,0.1159,0.1437,20.0,20.0,0.0048,0.6514,-0.1357000000000001,-0.5241,0.06889999999999999,0.0
