date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-07-17,0.9636,0.9636,0.0,0.6135,1.0,0.674,0.787,14.0,16.0,-0.0098,0.6135,0.6135,0.6135,0.0,0.0
2023-07-18,0.9796,0.9796,0.0,-0.6595,0.0,0.6393,0.7714,11.0,21.0,0.0012,-0.04599999999999993,-0.04599999999999993,-0.04599999999999993,0.0,1.0
2023-07-19,0.5639,0.5541,0.0098,0.0183,1.0,0.1013,0.1007,20.0,20.0,0.0165,-0.02769999999999993,-0.02769999999999993,-0.02769999999999993,0.0032666666666666664,1.0
2023-07-20,0.6327,0.656,-0.0233,-0.0819,0.0,0.0946,0.111,20.0,20.0,-0.0229,-0.10959999999999993,-0.10959999999999993,-0.10959999999999993,-0.0033750000000000004,1.0
2023-07-23,0.7242,0.7078,0.0164,-0.1992,0.0,0.2089,0.2434,20.0,20.0,-0.0354,-0.3087999999999999,-0.3087999999999999,-0.3087999999999999,0.00058,1.0
2023-07-24,0.5781,0.5581,0.02,-0.0736,0.0,0.2422,0.235,20.0,20.0,-0.0227,-0.9958999999999999,-0.3823999999999999,-0.3823999999999999,0.0038166666666666666,1.0
2023-07-25,0.6818,0.6808,0.0011,0.0467,1.0,0.1436,0.1687,20.0,20.0,-0.0203,-0.2897,-0.3356999999999999,-0.3356999999999999,0.003428571428571429,1.0
2023-07-26,0.6876,0.6808,0.0068,-0.1051,0.0,0.2355,0.2982,16.0,23.0,-0.0044,-0.4131,-0.4407999999999999,-0.4407999999999999,0.00385,1.0
2023-07-27,0.7137,0.7023,0.0113,-0.1586,0.0,0.1291,0.2006,20.0,20.0,0.0428,-0.4898,-0.5993999999999999,-0.5993999999999999,0.004677777777777777,1.0
2023-07-30,0.6987,0.7512,-0.0526,0.0974,1.0,0.102,0.1694,21.0,19.0,0.0153,-0.19320000000000004,-0.5019999999999999,-0.5019999999999999,-0.0010500000000000002,1.0
2023-07-31,0.769,0.7656,0.0033,-0.0689,0.0,0.2305,0.3284,20.0,20.0,0.0066,-0.18850000000000006,-0.5709,-0.5709,-0.0006545454545454547,1.0
2023-08-01,0.7056,0.7289,-0.0232,0.2398,1.0,0.1184,0.1819,24.0,15.0,0.0299,0.004599999999999965,-0.3310999999999999,-0.3310999999999999,-0.002533333333333333,0.0
2023-08-02,0.6958,0.6982,-0.0024,0.0088,1.0,0.1062,0.1731,20.0,20.0,-0.0452,0.11849999999999997,-0.3222999999999999,-0.3222999999999999,-0.0025230769230769235,0.0
2023-08-03,0.7225,0.7432,-0.0206,0.0577,1.0,0.0688,0.0922,25.0,15.0,0.0128,0.3348,-0.2645999999999999,-0.2645999999999999,-0.0038142857142857145,0.0
2023-08-06,0.8453,0.8453,0.0,-0.3442,0.0,0.0813,0.1324,24.0,14.0,0.0031,-0.10680000000000006,-0.6087999999999999,-0.6087999999999999,-0.0035600000000000002,1.0
2023-08-07,0.719,0.7267,-0.0077,-0.1382,0.0,0.1038,0.1253,22.0,17.0,-0.0435,-0.17610000000000006,-0.7469999999999999,-0.7469999999999999,-0.00381875,1.0
2023-08-08,0.8212,0.8233,-0.0021,0.0805,1.0,0.1342,0.1929,20.0,20.0,0.1462,-0.33540000000000003,-0.6664999999999999,-0.6664999999999999,-0.00371764705882353,1.0
2023-08-09,0.6787,0.6809,-0.0022,0.1552,1.0,0.0952,0.1191,20.0,20.0,0.0252,-0.18900000000000006,-0.5112999999999999,-0.5112999999999999,-0.0036333333333333335,1.0
2023-08-10,0.7811,0.7473,0.0338,0.4411,1.0,0.2846,0.3369,14.0,25.0,-0.0976,0.19439999999999993,-0.07019999999999987,-0.07019999999999987,-0.0016631578947368423,0.0
2023-08-13,0.5865,0.5873,-0.0008,-0.0409,0.0,0.0998,0.1104,20.0,20.0,-0.0034,0.4977,-0.11109999999999987,-0.11109999999999987,-0.0016200000000000003,0.0
2023-08-14,0.7616,0.7326,0.029,-0.2564,0.0,0.3478,0.4071,20.0,20.0,-0.0564,0.3794999999999999,-0.9809999999999999,-0.3674999999999999,-0.00017,0.0
2023-08-15,0.6553,0.6495,0.0058,-0.0389,0.0,0.1471,0.2021,20.0,20.0,0.0559,0.2600999999999999,-0.36039999999999994,-0.4063999999999999,0.00011999999999999996,0.0
2023-08-16,0.8442,0.8337,0.0104,0.0232,1.0,0.2953,0.4174,20.0,20.0,-0.0078,0.12809999999999988,-0.3554999999999999,-0.3831999999999999,0.00014999999999999996,0.0
2023-08-17,0.7865,0.778,0.0085,-0.1359,0.0,0.1804,0.225,14.0,25.0,-0.0197,-0.4489000000000001,-0.4095,-0.5190999999999999,0.0017399999999999998,1.0
2023-08-20,0.6873,0.6953,-0.008,-0.0989,0.0,0.1299,0.1921,25.0,14.0,-0.0207,-0.5069000000000001,-0.3092,-0.6179999999999999,0.00052,1.0
2023-08-21,0.8868,0.8868,0.0,-0.3912,0.0,0.1658,0.2807,25.0,14.0,0.0015,-0.6417000000000002,-0.6268,-1.0091999999999999,-0.00048000000000000007,1.0
2023-08-22,0.7841,0.8016,-0.0175,-0.1805,0.0,0.2186,0.3187,28.0,11.0,0.0004,-0.7833000000000001,-0.8539999999999999,-1.1896999999999998,-0.0014100000000000002,1.0
2023-08-23,0.6514,0.6232,0.0283,0.2031,1.0,0.1698,0.2158,17.0,23.0,0.0,-0.6034,-0.5458,-0.9865999999999999,-0.00033500000000000023,1.0
2023-08-24,0.7484,0.7447,0.0037,0.3821,1.0,0.3244,0.3612,20.0,20.0,-0.0026,-0.08540000000000014,-0.005099999999999993,-0.6044999999999998,-0.0007150000000000001,1.0
2023-08-27,0.8778,0.8934,-0.0157,-0.101,0.0,0.2703,0.4173,24.0,16.0,0.0072,-0.08750000000000012,-0.20349999999999996,-0.7054999999999999,0.0011300000000000001,1.0
2023-08-28,0.7258,0.726,-0.0002,-0.2502,0.0,0.1936,0.2359,20.0,20.0,0.0751,0.05349999999999988,-0.3847999999999999,-0.9556999999999999,0.0009550000000000001,0.0
2023-08-29,0.8669,0.8656,0.0013,0.0212,1.0,0.324,0.4445,17.0,21.0,-0.0094,0.25519999999999987,-0.6033999999999999,-0.9344999999999999,0.00218,0.0
2023-08-30,0.7173,0.7221,-0.0048,-0.221,0.0,0.2009,0.275,20.0,20.0,0.0,-0.16890000000000013,-0.8331999999999999,-1.1555,0.00206,1.0
2023-09-03,0.7712,0.7729,-0.0018,-0.1915,0.0,0.264,0.2967,20.0,17.0,0.0,-0.7425000000000002,-1.0824,-1.347,0.003,1.0
2023-09-04,0.4235,0.4272,-0.0037,-0.1532,0.0,0.0951,0.0863,23.0,16.0,-0.0011,-0.7947000000000002,-0.8913999999999999,-1.5002,0.002815,1.0
2023-09-05,0.7669,0.7669,0.0,-0.3726,0.0,0.1196,0.1597,23.0,14.0,0.004,-0.9171000000000002,-1.1258,-1.8727999999999998,0.0032,1.0
2023-09-07,0.7826,0.7826,0.0,0.2677,1.0,0.1548,0.2069,18.0,20.0,0.0031,-0.6706000000000002,-0.9385999999999999,-1.6051,0.003305,1.0
