date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,21567.0,20977.0,0.0114,-3394.0,0.0,0.1744,0.1169,18.0,22.0,0.0,-3394.0,-3394.0,-3394.0,0.0114,1.0
2023-01-24,8988.0,8838.0,0.005,-188.0,0.0,0.1373,0.0775,16.0,24.0,-750.0,-3582.0,-3582.0,-3582.0,0.0082,1.0
2023-01-25,32322.0,32162.0,0.002,-8054.0,0.0,0.1101,0.08,20.0,20.0,1160.0,-11636.0,-11636.0,-11636.0,0.0061333333333333335,1.0
2023-01-26,9190.0,8990.0,0.0086,-2705.0,0.0,0.149,0.0941,15.0,25.0,-480.0,-14341.0,-14341.0,-14341.0,0.00675,1.0
2023-01-29,9393.0,9193.0,0.0071,-3120.0,0.0,0.1353,0.0887,16.0,23.0,-3013.0,-17461.0,-17461.0,-17461.0,0.00682,1.0
2023-01-30,12052.0,12022.0,0.0008,-4202.0,0.0,0.1178,0.0749,18.0,20.0,-1656.0,-18269.0,-21663.0,-21663.0,0.005816666666666667,1.0
2023-01-31,17373.0,17063.0,0.0078,-2918.0,0.0,0.411,0.2747,15.0,25.0,-335.0,-20999.0,-24581.0,-24581.0,0.0061,1.0
2023-02-01,6665.0,6615.0,0.0028,-995.0,0.0,0.2989,0.1882,14.0,26.0,-180.0,-13940.0,-25576.0,-25576.0,0.0056875,1.0
2023-02-02,7715.0,7565.0,0.0078,1440.0,1.0,0.1275,0.0853,17.0,22.0,-190.0,-9795.0,-24136.0,-24136.0,0.005922222222222222,1.0
2023-02-05,5544.0,5414.0,0.01,-1244.0,0.0,0.1136,0.0832,16.0,23.0,-350.0,-7919.0,-25380.0,-25380.0,0.00633,1.0
2023-02-06,1915.0,1875.0,0.0055,-210.0,0.0,0.1041,0.0426,17.0,22.0,-240.0,-3927.0,-25590.0,-25590.0,0.0062545454545454545,1.0
2023-02-07,5839.0,5709.0,0.0065,-1495.0,0.0,0.1321,0.0845,18.0,22.0,-240.0,-2504.0,-27085.0,-27085.0,0.006275,1.0
2023-02-08,13152.0,13112.0,0.0013,9291.0,1.0,0.1573,0.1351,19.0,20.0,1120.0,7782.0,-17794.0,-17794.0,0.005892307692307692,0.0
2023-02-09,6306.0,6276.0,0.0018,489.0,1.0,0.267,0.1605,14.0,26.0,-170.0,6831.0,-17305.0,-17305.0,0.0056,0.0
2023-02-12,7530.0,7470.0,0.0027,-320.0,0.0,0.1403,0.077,14.0,26.0,-670.0,7755.0,-17625.0,-17625.0,0.005406666666666667,0.0
2023-02-14,10005.0,9955.0,0.0022,2829.0,1.0,0.14,0.1414,19.0,21.0,-130.0,10794.0,-14796.0,-14796.0,0.00520625,0.0
2023-02-15,8552.0,8482.0,0.0035,-2237.0,0.0,0.1335,0.1118,19.0,21.0,170.0,10052.0,-17033.0,-17033.0,0.005105882352941176,0.0
2023-02-16,6889.0,6839.0,0.0026,3445.0,1.0,0.1269,0.0954,19.0,21.0,10.0,4206.0,-13588.0,-13588.0,0.004966666666666666,0.0
2023-02-20,2100.0,2070.0,0.0052,160.0,1.0,0.1066,0.0674,16.0,22.0,-230.0,3877.0,-13428.0,-13428.0,0.004978947368421052,0.0
2023-02-22,2595.0,2555.0,0.005,-200.0,0.0,0.2003,0.101,10.0,28.0,-300.0,3997.0,-13628.0,-13628.0,0.00498,0.0
2023-02-23,4765.0,4775.0,-0.0009,-916.0,0.0,0.0829,0.0661,20.0,20.0,-250.0,252.0,-11150.0,-14544.0,0.004365,0.0
2023-02-26,2160.0,2110.0,0.0078,640.0,1.0,0.1036,0.0529,15.0,24.0,-110.0,3129.0,-10322.0,-13904.0,0.004505,0.0
2023-02-27,4615.0,4605.0,0.0008,700.0,1.0,0.1025,0.0841,18.0,22.0,-70.0,384.0,-1568.0,-13204.0,0.004445,0.0
2023-02-28,4432.0,4392.0,0.003,-1266.0,0.0,0.1619,0.091,13.0,27.0,840.0,-1042.0,-129.0,-14470.0,0.004165,1.0
2023-03-01,14122.0,14482.0,-0.0114,1845.0,1.0,0.0844,0.083,27.0,13.0,355.0,1003.0,4836.0,-12625.0,0.00324,0.0
2023-03-02,3506.0,3506.0,0.0,-1374.0,0.0,0.3374,0.2119,11.0,23.0,-40.0,545.0,7664.0,-13999.0,0.0032,0.0
2023-03-05,1995.0,1995.0,0.0,5.0,1.0,0.2011,0.1298,13.0,20.0,-140.0,-90.0,10587.0,-13994.0,0.00281,1.0
2023-03-07,3790.0,3790.0,0.0,-1710.0,0.0,0.1623,0.1115,17.0,21.0,930.0,-2500.0,9872.0,-15704.0,0.00267,1.0
2023-03-09,2345.0,2285.0,0.0108,1430.0,1.0,0.2647,0.1508,8.0,30.0,840.0,196.0,9862.0,-14274.0,0.00282,0.0
2023-03-12,11553.0,11553.0,0.0,5929.0,1.0,0.3287,0.2189,15.0,24.0,6194.0,4280.0,17035.0,-8345.0,0.00232,0.0
2023-03-13,1930.0,1930.0,0.0,110.0,1.0,0.1551,0.1323,14.0,24.0,-100.0,5764.0,17355.0,-8235.0,0.002045,0.0
2023-03-14,5505.0,5505.0,0.0,-2253.0,0.0,0.272,0.2006,17.0,22.0,2550.0,3506.0,16597.0,-10488.0,0.00172,0.0
2023-03-15,1610.0,1610.0,0.0,-950.0,0.0,0.1895,0.0886,10.0,28.0,-190.0,4266.0,6356.0,-11438.0,0.0016549999999999998,0.0
2023-03-16,4670.0,4670.0,0.0,-470.0,0.0,0.2773,0.0888,7.0,28.0,2000.0,2366.0,5397.0,-11908.0,0.001565,0.0
2023-03-19,5110.0,5110.0,0.0,-4347.0,0.0,0.442,0.2582,7.0,26.0,-3265.0,-7910.0,1370.0,-16255.0,0.00143,1.0
2023-03-20,1550.0,1540.0,0.0024,-470.0,0.0,0.2642,0.1509,10.0,30.0,-130.0,-8490.0,-1929.0,-16725.0,0.00144,1.0
2023-03-22,3458.0,3458.0,0.0,-2083.0,0.0,0.3712,0.2462,11.0,28.0,-1095.0,-8320.0,-1775.0,-18808.0,0.001265,1.0
2023-03-23,6651.0,6651.0,0.0,261.0,1.0,0.1972,0.1589,13.0,26.0,-1060.0,-7109.0,-4959.0,-18547.0,0.0011350000000000002,1.0
2023-03-26,1844.0,1844.0,0.0,-1115.0,0.0,0.5702,0.2706,7.0,25.0,-125.0,-7754.0,-6234.0,-19662.0,0.0008750000000000001,1.0
2023-03-27,3470.0,3470.0,0.0,-1530.0,0.0,0.5823,0.3621,8.0,31.0,-110.0,-4937.0,-7564.0,-21192.0,0.0006249999999999999,1.0
2023-03-28,3155.0,3155.0,0.0,-165.0,0.0,0.1152,0.0914,19.0,21.0,-30.0,-4632.0,-6813.0,-21357.0,0.00067,1.0
2023-03-29,1365.0,1365.0,0.0,230.0,1.0,0.4405,0.2816,7.0,27.0,-100.0,-2319.0,-7223.0,-21127.0,0.00028000000000000003,1.0
2023-03-30,840.0,840.0,0.0,130.0,1.0,0.1803,0.1275,10.0,28.0,-100.0,-2450.0,-7793.0,-20997.0,0.00024000000000000003,1.0
2023-04-02,6705.0,6685.0,0.0013,-815.0,0.0,0.2572,0.2023,18.0,21.0,-450.0,-2150.0,-7342.0,-21812.0,0.00015500000000000003,1.0
2023-04-03,5160.0,5160.0,0.0,-1730.0,0.0,0.2793,0.1867,6.0,33.0,-150.0,-2350.0,-10917.0,-23542.0,0.0007250000000000001,1.0
2023-04-04,2470.0,2470.0,0.0,-1560.0,0.0,0.2857,0.1889,7.0,30.0,-100.0,-3745.0,-11103.0,-25102.0,0.0007250000000000001,1.0
2023-04-05,920.0,920.0,0.0,-428.0,0.0,0.1695,0.1065,8.0,23.0,-150.0,-4403.0,-11536.0,-25530.0,0.0007250000000000001,1.0
2023-04-06,1350.0,1350.0,0.0,-470.0,0.0,0.3483,0.2467,9.0,24.0,-160.0,-5003.0,-10296.0,-26000.0,0.0007250000000000001,1.0
2023-04-09,3210.0,3210.0,0.0,-1250.0,0.0,0.3271,0.2184,9.0,26.0,-930.0,-5438.0,-12976.0,-27250.0,0.000185,1.0
2023-04-10,1810.0,1810.0,0.0,760.0,1.0,0.2329,0.1736,13.0,23.0,750.0,-2948.0,-18145.0,-26490.0,0.000185,1.0
2023-04-11,1340.0,1340.0,0.0,-40.0,0.0,0.2169,0.1341,7.0,25.0,-140.0,-1428.0,-18295.0,-26530.0,0.000185,1.0
2023-04-12,2220.0,2140.0,0.0127,-300.0,0.0,0.1598,0.0873,14.0,26.0,-70.0,-1300.0,-16342.0,-26830.0,0.0008199999999999999,1.0
2023-04-13,3995.0,3995.0,0.0,-550.0,0.0,0.1348,0.0876,17.0,21.0,-440.0,-1380.0,-15942.0,-27380.0,0.0008199999999999999,1.0
2023-04-16,2065.0,2065.0,0.0,-520.0,0.0,0.173,0.1284,15.0,24.0,25.0,-650.0,-15992.0,-27900.0,0.0008199999999999999,1.0
2023-04-17,2410.0,2410.0,0.0,-126.0,0.0,0.247,0.1837,14.0,22.0,-200.0,-1536.0,-11771.0,-28026.0,0.0008199999999999999,1.0
2023-04-18,3130.0,3130.0,0.0,1090.0,1.0,0.4101,0.2774,9.0,23.0,1870.0,-406.0,-10211.0,-26936.0,0.0007,1.0
2023-04-19,1730.0,1730.0,0.0,-430.0,0.0,0.2782,0.2228,10.0,30.0,-150.0,-536.0,-8558.0,-27366.0,0.0007,1.0
2023-04-20,1450.0,1450.0,0.0,0.0,0.0,0.1813,0.1453,16.0,20.0,130.0,14.0,-8819.0,-27366.0,0.0007,0.0
2023-04-23,2610.0,2610.0,0.0,-100.0,0.0,0.1827,0.1284,12.0,23.0,-160.0,434.0,-7804.0,-27466.0,0.0007,0.0
2023-04-24,1025.0,1025.0,0.0,-60.0,0.0,0.1394,0.0734,10.0,22.0,-275.0,500.0,-6334.0,-27526.0,0.0007,0.0
2023-04-25,1310.0,1310.0,0.0,100.0,1.0,0.2154,0.1201,12.0,27.0,-70.0,-490.0,-6069.0,-24032.0,0.0007,1.0
2023-04-26,2485.0,2485.0,0.0,-310.0,0.0,0.1794,0.1035,10.0,26.0,615.0,-370.0,-6609.0,-24154.0,0.0007,1.0
2023-04-27,630.0,630.0,0.0,140.0,1.0,0.232,0.1867,12.0,21.0,-110.0,-230.0,-6599.0,-15960.0,0.0007,1.0
2023-04-30,1130.0,1130.0,0.0,400.0,1.0,0.2037,0.15,9.0,23.0,420.0,270.0,-5384.0,-12855.0,0.0006349999999999999,0.0
